2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",0:02,90%,5.1,Not enough data available,95%,0.24,100,4%,Medicare shows only a star rating for this topic,91%,88%,92%,99,3.50%,90.00%,73.00%,72.50%,67.40%
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",0:20,88%,0,Not enough data available,98%,0.17,100,9%,Medicare shows only a star rating for this topic,83%,86%,92%,Not enough data available,8.80%,84.60%,73.30%,74.50%,69.40%
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,0:45,81%,0.3,Not enough data available,95%,0.08,60,5%,Medicare shows only a star rating for this topic,90%,86%,91%,96,6.60%,83.40%,75.30%,76.60%,74.90%
H0401,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,7,Not enough data available,98%,0.4,0,12%,Medicare shows only a star rating for this topic,87%,84%,92%,99,9.80%,85.60%,72.00%,73.20%,72.00%
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,12,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.50%,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,0:24,28%,3.9,100%,98%,0.35,60,16%,Medicare shows only a star rating for this topic,Not enough data available,80%,85%,99,6.00%,91.60%,68.20%,65.70%,56.50%
H0435,Local CCP,"GLOBALHEALTH,  INC.",GLOBALHEALTH MEDICARE,"The Oklahoma City Clinic, P.C.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,MOLINA HEALTHCARE OF OHIO,Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0:24,77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,11.30%,85.40%,Not enough data available,62.90%,63.60%
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,0:01,89%,1.9,100%,87%,0.25,80,11%,Medicare shows only a star rating for this topic,84%,90%,92%,99,7.40%,85.90%,75.10%,76.60%,73.10%
H0523,Local CCP,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Medicare,Aetna Inc.,0:42,89%,4.2,Not enough data available,92%,0.34,40,9%,Medicare shows only a star rating for this topic,Not enough data available,85%,92%,99,4.30%,84.60%,72.80%,73.00%,69.80%
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0:06,95%,CMS identified issues with plan’s data,67%,96%,0.13,80,1%,Medicare shows only a star rating for this topic,87%,91%,95%,99,3.40%,88.40%,84.40%,84.30%,81.20%
H0543,Local CCP,UNITEDHEALTHCARE OF CALIFORNIA,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,1.1,91%,96%,0.35,0,6%,Medicare shows only a star rating for this topic,82%,86%,92%,99,7.20%,85.10%,74.90%,76.30%,72.60%
H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",0:10,96%,0,Not enough data available,90%,0.27,80,6%,Medicare shows only a star rating for this topic,83%,89%,91%,99,5.10%,88.20%,73.20%,73.90%,67.60%
H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,0:07,94%,0,Not enough data available,98%,0.07,100,6%,Medicare shows only a star rating for this topic,89%,88%,92%,99,8.30%,84.20%,74.70%,76.00%,70.60%
H0562,Local CCP,HEALTH NET OF CALIFORNIA,Health Net of California,"Health Net, Inc.",0:19,90%,3.6,45%,97%,0.25,100,5%,Medicare shows only a star rating for this topic,79%,86%,92%,Not enough data available,7.80%,87.10%,73.60%,75.80%,72.40%
H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",0:06,64%,0.8,Not enough data available,90%,0.68,47,12%,Medicare shows only a star rating for this topic,Not enough data available,84%,89%,97,6.70%,84.40%,70.70%,73.80%,69.60%
H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,0:07,71%,3.7,Not enough data available,97%,0.04,80,4%,Medicare shows only a star rating for this topic,Not enough data available,86%,88%,99,3.30%,85.00%,82.80%,81.60%,77.50%
H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",Plan not required to report measure,Plan not required to report measure,0,Not enough data available,96%,0.1,100,4%,Medicare shows only a star rating for this topic,90%,86%,94%,94,8.10%,85.50%,75.40%,78.50%,73.80%
H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",0:10,91%,1.6,92%,96%,0.24,0,5%,Medicare shows only a star rating for this topic,82%,84%,91%,99,7.20%,86.90%,73.30%,75.80%,71.60%
H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:10,87%,9.5,Not enough data available,Not enough data available,0.16,12,2%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,93,7.60%,69.50%,81.90%,77.90%,75.50%
H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,0:13,84%,CMS identified issues with plan’s data,Not enough data available,97%,0.2,80,7%,Medicare shows only a star rating for this topic,77%,80%,85%,98,12.60%,90.30%,71.10%,66.90%,67.90%
H0623,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:08,97%,0,Not enough data available,94%,0.4,67,25%,Medicare shows only a star rating for this topic,83%,84%,91%,97,7.60%,89.90%,76.00%,77.70%,73.60%
H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:10,87%,4.5,Not enough data available,Not enough data available,0.42,12,14%,Medicare shows only a star rating for this topic,Not enough data available,86%,91%,98,13.30%,87.20%,71.40%,71.00%,69.00%
H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0:06,95%,0.6,Not enough data available,92%,0.13,100,1%,Medicare shows only a star rating for this topic,88%,92%,95%,99,3.50%,88.10%,78.90%,80.80%,79.80%
H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,0,Not enough data available,Not enough data available,0.15,12,11%,Medicare shows only a star rating for this topic,Not enough data available,84%,86%,99,8.20%,84.20%,71.70%,72.80%,69.00%
H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,86%,0,Not enough data available,98%,0.32,80,15%,Medicare shows only a star rating for this topic,75%,82%,88%,99,5.80%,88.00%,65.50%,66.80%,61.10%
H0752,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,94%,0.16,12,18%,Medicare shows only a star rating for this topic,Not enough data available,82%,91%,99,4.70%,85.50%,73.20%,76.70%,72.00%
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,2.2,88%,95%,0.27,12,17%,Medicare shows only a star rating for this topic,83%,81%,91%,99,4.70%,81.80%,75.90%,78.20%,71.60%
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",0:07,86%,0,Not enough data available,90%,0.47,100,15%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,14.80%,91.60%,70.90%,67.30%,74.30%
H0879,Local CCP,CRESTPOINT HEALTH INSURANCE COMPANY,CrestPoint Health Insurance Company,Mountain States Health Alliance,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:47,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,40,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,1.90%,88.70%,67.70%,68.70%,64.20%
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,0:15,83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,8.30%,90.00%,52.60%,52.40%,55.30%
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,86%,0,Not enough data available,100%,1.08,80,23%,Medicare shows only a star rating for this topic,Not enough data available,79%,84%,99,4.00%,90.80%,58.30%,60.50%,47.50%
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",0:12,93%,0,Not enough data available,100%,0.47,100,8%,Medicare shows only a star rating for this topic,80%,82%,93%,99,8.80%,85.00%,78.40%,76.50%,68.20%
H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Care Inc.,0:11,89%,7,Not enough data available,88%,0.13,40,16%,Medicare shows only a star rating for this topic,Not enough data available,90%,92%,99,7.70%,85.70%,74.30%,71.60%,62.90%
H1016,Local CCP,"AVMED, INC",AvMed Medicare,"AvMed, Inc.",0:11,81%,CMS identified issues with plan’s data,50%,98%,0.17,80,7%,Medicare shows only a star rating for this topic,86%,89%,92%,96,7.60%,84.90%,73.10%,73.50%,64.00%
H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,0:11,97%,0.6,Not enough data available,96%,0.3,67,20%,Medicare shows only a star rating for this topic,Not enough data available,88%,91%,97,8.20%,89.40%,74.00%,72.50%,61.90%
H1026,Local CCP,"HEALTH OPTIONS, INC",Florida Blue HMO,Blue Cross and Blue Shield of Florida,0:23,93%,3.2,Not enough data available,89%,0.5,60,16%,Medicare shows only a star rating for this topic,85%,85%,93%,99,4.30%,82.90%,73.40%,72.00%,64.80%
H1032,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,86%,1.3,Not enough data available,98%,0.4,80,18%,Medicare shows only a star rating for this topic,Not enough data available,85%,91%,99,9.10%,86.60%,72.40%,70.70%,67.00%
H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,0:03,89%,0,Not enough data available,94%,0.09,100,5%,Medicare shows only a star rating for this topic,93%,91%,94%,98,8.40%,83.90%,78.80%,79.00%,74.10%
H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,0:11,97%,0.6,98%,97%,0.23,67,8%,Medicare shows only a star rating for this topic,83%,89%,92%,97,6.90%,89.00%,75.90%,73.30%,67.80%
H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",0:11,80%,CMS identified issues with plan’s data,Not enough data available,99%,0.43,80,12%,Medicare shows only a star rating for this topic,86%,91%,93%,99,9.20%,87.10%,80.30%,79.00%,68.50%
H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care Inc.,0:11,89%,3.1,Not enough data available,Not enough data available,0.24,40,21%,Medicare shows only a star rating for this topic,Not enough data available,89%,90%,99,7.60%,86.40%,72.40%,66.70%,64.00%
H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,1.9,100%,96%,0.43,12,8%,Medicare shows only a star rating for this topic,Not enough data available,83%,91%,99,6.50%,81.90%,72.10%,71.00%,66.90%
H1099,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Health Plans,Health First,0:25,83%,0,Not enough data available,96%,0.15,100,5%,Medicare shows only a star rating for this topic,89%,84%,92%,99,6.60%,84.50%,75.50%,73.20%,71.70%
H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,6,Not enough data available,Not enough data available,0.06,0,11%,Medicare shows only a star rating for this topic,Not enough data available,88%,91%,99,11.90%,78.00%,67.50%,70.50%,63.20%
H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,0:47,89%,3.8,Not enough data available,86%,0.17,40,16%,Medicare shows only a star rating for this topic,80%,82%,89%,99,2.70%,85.40%,71.30%,68.90%,65.50%
H1110,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,0:47,89%,0,Not enough data available,Not enough data available,0.16,40,1%,Medicare shows only a star rating for this topic,Not enough data available,82%,90%,98,5.00%,84.00%,71.50%,72.80%,70.50%
H1111,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,2.2,Not enough data available,97%,0.64,0,20%,Medicare shows only a star rating for this topic,Not enough data available,86%,92%,99,11.20%,84.80%,67.60%,65.40%,61.10%
H1112,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,86%,1.1,Not enough data available,99%,0.49,80,13%,Medicare shows only a star rating for this topic,78%,86%,91%,99,7.90%,87.40%,63.20%,61.10%,56.70%
H1170,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0:07,95%,0,Not enough data available,93%,0.45,100,3%,Medicare shows only a star rating for this topic,87%,90%,92%,99,4.00%,87.80%,74.50%,77.50%,69.20%
H1216,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",0:16,86%,0,Not enough data available,99%,1.5,80,17%,Medicare shows only a star rating for this topic,Not enough data available,86%,88%,98,5.50%,82.80%,58.50%,64.40%,56.60%
H1230,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0:03,95%,0,Not enough data available,90%,0.18,100,1%,Medicare shows only a star rating for this topic,84%,90%,93%,99,3.20%,91.30%,78.00%,79.30%,79.40%
H1251,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,Plan not required to report measure,Plan not required to report measure,0,Not enough data available,Not enough data available,0.1,80,38%,Medicare shows only a star rating for this topic,Not enough data available,83%,92%,99,4.50%,82.10%,73.20%,73.70%,70.40%
H1264,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",0:16,86%,1.3,Not enough data available,99%,0.65,80,21%,Medicare shows only a star rating for this topic,Not enough data available,83%,87%,99,7.00%,89.60%,60.80%,62.50%,53.50%
H1266,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1286,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0,Not enough data available,96%,0.36,0,9%,Medicare shows only a star rating for this topic,85%,83%,90%,99,7.70%,85.60%,78.30%,75.80%,73.20%
