Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
E7848,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,Oklahoma State and Educ Employees Group Ins Board,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,Not measured,Not measured,Not measured,Not measured,11.9%,2.1%,99.70%,100.00%
H0084,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,XLHealth Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,N/A,0:18,91%,Not measured,Not measured,100.00%,0.45%,0:40,80.00%,4.5%,0.0%,98.30%,100.00%
H0104,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,Local CCP,39%,92%,37%,83%,91%,78%,39%,90%,0:15,86%,0.00%,100.00%,98.90%,15.70%,0:15,79.00%,10.4%,1.9%,98.20%,100.00%
H0108,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:51,96%,Not measured,Not measured,96.49%,3.87%,0:51,96.00%,7.5%,0.7%,99.60%,92.31%
H0117,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",Local CCP,21%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,56%,Not enough data available to calculate measure,91%,0:20,86%,100.00%,Not measured,Not measured,2.93%,0:20,86.00%,6.7%,0.6%,99.80%,100.00%
H0141,CARESOURCE MICHIGAN,CareSource,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,3.5%,0.0%,99.10%,100.00%
H0150,"HEALTHSPRING OF ALABAMA, INC.","HealthSpring, Inc.",Local CCP,39%,71%,49%,76%,92%,62%,39%,90%,1:05,94%,100.00%,100.00%,95.69%,1.01%,1:05,77.00%,9.7%,1.6%,98.20%,100.00%
H0151,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",Local CCP,44%,88%,44%,79%,92%,60%,32%,91%,0:25,95%,Not measured,Not measured,100.00%,1.50%,0:25,86.00%,10.0%,1.7%,99.80%,100.00%
H0154,"VIVA HEALTH, INC.",UAB Health System,Local CCP,3%,65%,48%,83%,93%,63%,30%,90%,1:00,96%,85.71%,100.00%,65.12%,0.00%,1:00,91.00%,9.9%,1.5%,99.90%,100.00%
H0248,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,72%,Not enough data available to calculate measure,90%,0:53,96%,Not measured,Not measured,96.15%,4.17%,0:53,96.00%,5.7%,1.5%,99.70%,92.31%
H0251,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,72%,88%,48%,91%,92%,61%,30%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,92.31%,Not measured,Not measured,Not measured,9.1%,0.7%,98.90%,100.00%
H0302,"BANNER MEDISUN, INC.",Banner Health,Local CCP,55%,84%,62%,93%,94%,88%,38%,89%,0:20,94%,100.00%,Not measured,60.00%,1.59%,0:20,87.00%,5.3%,1.2%,97.90%,100.00%
H0303,"PACIFICARE OF ARIZONA, INC","UnitedHealth Group, Inc.",Local CCP,74%,88%,56%,84%,91%,78%,39%,90%,0:40,95%,Not measured,Not measured,100.00%,0.36%,0:40,86.00%,7.4%,1.1%,98.90%,100.00%
H0307,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,37%,97%,63%,83%,91%,75%,38%,N/A,0:53,96%,Not measured,Not measured,89.58%,4.35%,0:53,96.00%,6.1%,0.8%,99.70%,92.31%
H0316,"UNITEDHEALTHCARE OF ARIZONA,  INC.","UnitedHealth Group, Inc.",Local CCP,59%,88%,49%,66%,88%,80%,36%,89%,0:28,95%,100.00%,100.00%,100.00%,1.68%,0:28,86.00%,6.2%,1.6%,99.50%,100.00%
H0317,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,61%,Not enough data available to calculate measure,90%,83%,Not enough data available to calculate measure,88%,0:53,96%,100.00%,Not measured,93.62%,4.35%,0:53,96.00%,6.7%,0.9%,99.70%,92.31%
H0318,AETNA HEALTH INC.,Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,83%,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,Not measured,Not measured,Not measured,Not measured,6.1%,1.8%,99.90%,100.00%
H0319,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,52%,Not enough data available to calculate measure,93%,72%,26%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.2%,1.6%,99.40%,100.00%
H0320,"ARCADIAN HEALTH PLAN, INC.",Arcadian Management Services Inc.,Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,70%,23%,85%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.9%,1.5%,100.00%,100.00%
H0321,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",Local CCP,0 - Plan reported a Biased Rate,80%,46%,76%,91%,71%,31%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,100.00%,Not measured,Not measured,Not measured,7.6%,0.6%,99.90%,100.00%
H0332,"KS PLAN ADMINISTRATORS, LLC","KS Plan Administrators, LLC",Local CCP,65%,97%,51%,Not enough data available to calculate measure,94%,80%,65%,93%,0:23,95%,0.00%,100.00%,100.00%,0.00%,0:23,91.00%,5.3%,1.1%,99.80%,100.00%
H0351,"HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",Local CCP,74%,83%,53%,84%,91%,81%,36%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,100.00%,Not measured,Not measured,Not measured,7.4%,1.2%,99.80%,100.00%
H0354,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Local CCP,42%,91%,53%,78%,95%,82%,34%,89%,0:25,95%,Not measured,Not measured,92.86%,2.00%,0:25,91.00%,7.2%,1.0%,99.50%,100.00%
H0370,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,89%,0:18,94%,Not measured,Not measured,Not measured,0.00%,0:26,84.00%,6.3%,1.0%,99.50%,100.00%
H0401,"UNITEDHEALTHCARE OF ARKANSAS, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,72%,Not enough data available to calculate measure,90%,0:26,95%,Not measured,Not measured,Not measured,1.45%,0:26,86.00%,8.0%,1.4%,99.00%,100.00%
H0408,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,12.4%,0.0%,100.00%,100.00%
H0423,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Local CCP,51%,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,61%,Not enough data available to calculate measure,N/A,1:06,91%,100.00%,50.00%,Not measured,0.00%,1:06,83.00%,3.5%,0.6%,99.80%,92.31%
H0474,"ESSENCE HEALTHCARE OF NEW YORK, INC.",Essence Group Holdings Corporation,Local CCP,Not enough data available to calculate measure,95%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,0:13,91%,Not measured,100.00%,100.00%,5.00%,0:13,83.00%,4.7%,1.3%,99.50%,92.31%
H0490,MOLINA HEALTHCARE OF OHIO,"Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:12,96%,Not measured,Not measured,Not measured,1.30%,0:12,76.00%,3.8%,1.9%,93.70%,100.00%
H0502,CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H0504,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Local CCP,28%,Plan not required to report measure,47%,82%,86%,72%,25%,88%,0:54,92%,85.71%,100.00%,90.91%,1.63%,0:54,77.00%,7.9%,1.2%,96.80%,100.00%
H0523,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Inc.,Local CCP,23%,78%,46%,71%,88%,72%,23%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,9.2%,1.4%,99.70%,100.00%
H0524,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,80%,81%,70%,89%,95%,78%,55%,91%,0:17,96%,97.78%,66.67%,100.00%,0.00%,0:17,85.00%,3.5%,1.9%,99.70%,100.00%
H0540,UNICARE LIFE AND HEALTH INS. COMPANY,"WellPoint, Inc.",PFFS,37%,86%,58%,77%,80%,71%,29%,94%,0:08,86%,Not measured,Not measured,98.11%,0.66%,0:08,68.00%,7.0%,1.7%,99.80%,100.00%
H0543,UNITEDHEALTHCARE OF CALIFORNIA,"UnitedHealth Group, Inc.",Local CCP,42%,88%,52%,82%,90%,64%,26%,89%,0:37,95%,75.00%,71.43%,100.00%,0.34%,0:37,86.00%,7.8%,1.1%,99.10%,100.00%
H0544,CAREMORE HEALTH PLAN,"WellPoint, Inc.",Local CCP,49%,90%,52%,85%,95%,64%,41%,88%,0:21,92%,0.00%,Not measured,82.35%,1.59%,0:21,80.00%,7.3%,1.5%,98.90%,100.00%
H0545,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,Local CCP,3%,96%,54%,86%,83%,72%,17%,89%,0:19,93%,100.00%,Not measured,100.00%,0.00%,0:08,86.00%,9.0%,1.7%,99.90%,100.00%
H0562,HEALTH NET OF CALIFORNIA,"Health Net, Inc.",Local CCP,56%,89%,52%,84%,87%,70%,27%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,62.50%,100.00%,Not measured,Not measured,Not measured,7.7%,1.3%,99.70%,100.00%
H0564,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,83%,24%,70%,85%,61%,23%,89%,0:33,86%,100.00%,Not measured,100.00%,0.00%,0:33,68.00%,8.2%,1.0%,100.00%,100.00%
H0571,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Local CCP,Not enough data available to calculate measure,93%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,58%,10%,N/A,0:26,96%,Not measured,Not measured,Not measured,0.00%,0:26,83.00%,6.3%,0.8%,99.00%,100.00%
H0602,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",1876 Cost,63%,81%,61%,87%,74%,81%,36%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,85.71%,Not measured,Not measured,Not measured,6.5%,2.1%,99.20%,100.00%
H0609,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",Local CCP,62%,88%,53%,79%,92%,80%,38%,90%,0:40,95%,60.00%,100.00%,100.00%,0.62%,0:40,86.00%,7.0%,1.3%,99.40%,100.00%
H0620,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,100%,57%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,7.9%,0.3%,99.60%,100.00%
H0621,COLORADO ACCESS,Colorado Access,Local CCP,80%,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,55%,30%,N/A,0:18,98%,100.00%,Not measured,Not measured,0.00%,0:18,90.00%,6.5%,1.5%,99.10%,100.00%
H0623,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,44%,Not enough data available to calculate measure,88%,78%,Not enough data available to calculate measure,90%,0:50,96%,50.00%,Not measured,94.59%,4.07%,0:50,96.00%,6.4%,1.4%,99.50%,92.31%
H0624,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,57%,88%,51%,Not enough data available to calculate measure,90%,63%,27%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,8.7%,1.8%,99.30%,100.00%
H0630,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",Local CCP,93%,85%,81%,92%,95%,71%,61%,93%,0:12,96%,Not measured,Not measured,100.00%,0.00%,0:12,85.00%,2.7%,1.1%,97.70%,100.00%
H0657,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,54%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H0710,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,59%,88%,48%,Not enough data available to calculate measure,94%,60%,25%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.6%,1.4%,99.70%,100.00%
H0712,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",Local CCP,49%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,59%,35%,N/A,0:21,86%,100.00%,Not measured,Not measured,0.00%,0:21,86.00%,3.8%,1.1%,99.90%,100.00%
H0752,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,71%,45%,92%,0:21,95%,Not measured,Not measured,100.00%,0.39%,0:21,86.00%,5.3%,1.1%,98.90%,100.00%
H0755,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,77%,89%,58%,85%,92%,76%,41%,90%,0:25,94%,100.00%,100.00%,98.91%,0.00%,0:25,84.00%,5.9%,1.5%,99.70%,100.00%
H0838,"UNIVERSAL CARE, INC.","Universal Care, Inc",Local CCP,86%,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.0%,1.5%,98.90%,100.00%
H0901,AETNA HEALTH INC.,Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.1%,0.0%,99.80%,100.00%
H0908,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.0%,0.0%,98.20%,100.00%
H0913,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",Local CCP,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,50%,Not enough data available to calculate measure,N/A,0:23,86%,Not measured,Not measured,Not measured,1.80%,0:23,86.00%,3.6%,1.1%,99.80%,100.00%
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America?s 1st Choice Insurance Company of NC, Inc.",PFFS,34%,69%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,69%,Not enough data available to calculate measure,91%,0:17,93%,Not measured,Not measured,100.00%,1.82%,0:17,86.00%,6.5%,1.9%,99.90%,100.00%
H1013,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Care Inc.,Local CCP,67%,71%,43%,Not enough data available to calculate measure,94%,64%,24%,90%,0:23,94%,100.00%,Not measured,100.00%,0.00%,0:24,84.00%,6.8%,0.9%,99.00%,100.00%
H1016,"AVMED, INC","AvMed, Inc.",Local CCP,51%,63%,58%,92%,94%,82%,43%,89%,3:17,94%,66.67%,100.00%,77.78%,2.51%,3:17,92.00%,7.7%,0.6%,99.70%,100.00%
H1019,"CAREPLUS HEALTH PLANS, INC.",Humana Inc.,Local CCP,52%,97%,38%,87%,95%,73%,41%,N/A,0:56,98%,50.00%,100.00%,86.30%,0.41%,0:56,95.00%,6.1%,0.9%,99.70%,92.31%
H1026,"HEALTH OPTIONS, INC",Blue Cross and Blue Shield of Florida,Local CCP,46%,0 - Plan reported a Biased Rate,48%,85%,95%,79%,34%,91%,1:35,90%,100.00%,100.00%,100.00%,0.81%,1:35,80.00%,5.9%,1.2%,99.80%,100.00%
H1032,"WELL CARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",Local CCP,52%,97%,44%,82%,94%,69%,28%,88%,0:20,86%,100.00%,100.00%,97.30%,2.20%,0:20,86.00%,6.4%,1.0%,99.90%,100.00%
H1035,"FLORIDA HEALTH CARE PLAN, INC.",Blue Cross and Blue Shield of Florida,Local CCP,57%,92%,52%,90%,93%,83%,64%,89%,0:11,94%,Not measured,Not measured,Not measured,0.00%,0:11,89.00%,10.6%,1.6%,99.60%,100.00%
H1036,"HUMANA MEDICAL PLAN, INC.",Humana Inc.,Local CCP,37%,97%,44%,88%,97%,75%,39%,89%,0:47,96%,90.00%,100.00%,94.30%,3.49%,0:47,96.00%,6.2%,1.2%,99.90%,92.31%
H1045,PREFERRED CARE PARTNERS INC.,Preferred Care Partners Holding Corp,Local CCP,58%,76%,85%,86%,94%,84%,29%,90%,0:30,93%,81.82%,100.00%,99.43%,1.00%,0:30,93.00%,8.0%,1.8%,100.00%,100.00%
H1076,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,71%,50%,Not enough data available to calculate measure,93%,70%,28%,N/A,0:23,94%,Not measured,Not measured,93.33%,0.00%,0:29,84.00%,6.7%,1.0%,99.20%,100.00%
H1080,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Local CCP,52%,88%,45%,87%,93%,80%,36%,91%,0:28,95%,Not measured,Not measured,100.00%,1.31%,0:28,86.00%,6.7%,1.2%,99.00%,100.00%
H1099,"HEALTH FIRST HEALTH PLANS, INC.",Health First,Local CCP,90%,75%,54%,90%,95%,85%,41%,90%,1:15,91%,100.00%,Not measured,38.24%,0.50%,1:15,86.00%,8.0%,1.6%,95.10%,100.00%
H1108,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,59%,88%,44%,84%,95%,52%,29%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,8.0%,1.6%,99.70%,100.00%
H1109,AETNA HEALTH INC.(GEORGIA),Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,71%,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,Not measured,Not measured,Not measured,Not measured,Not measured,6.5%,0.3%,99.90%,100.00%
H1110,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,93%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.4%,1.6%,97.90%,100.00%
H1111,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,61%,Not enough data available to calculate measure,91%,0:28,95%,Not measured,Not measured,100.00%,1.31%,0:28,86.00%,6.5%,1.8%,99.10%,100.00%
