2010 Domain Star View: Medicare Part D Report Card Master Table,,,,,,
,,,,,,
Medicare Part D Report Card Master Table,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Drug Plan Customer Service,"Drug Plan Member Complaints, Members Who Choose to Leave, and Medicare Audit Findings",Member Experience with Drug Plan,Drug Pricing and Patient Safety
H0401,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0408,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0474,Essence Healthcare,"ESSENCE HEALTHCARE OF NEW YORK, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Molina Healthcare of Ohio,MOLINA HEALTHCARE OF OHIO,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,4,4,3,3
H0523,Aetna Medicare,"AETNA HEALTH OF CALIFORNIA,INC.",3,3,4,3
H0524,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",4,5,5,4
H0532,Western Health Advantage,WESTERN HEALTH ADVANTAGE,5,4,4,4
H0540,Unicare Life & Health Ins. Company,UNICARE LIFE AND HEALTH INS. COMPANY,3,1,3,4
H0543,SecureHorizons by UnitedHealthcare,PACIFICARE OF CALIFORNIA/SECURE HORIZONS,4,3,4,3
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,4,4,4,4
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",5,5,5,3
H0562,Health Net of CA,HEALTH NET_OF CA,4,3,2,4
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,4,3,2,4
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,4,5,2,2
H0609,AARP MedicareComplete from SecureHorizons,"PACIFICARE OF COLORADO, INC",4,3,3,4
H0620,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0621,Colorado Access,COLORADO ACCESS,4,3,2,4
H0623,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,1,3,4
H0624,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,4,3
H0630,Kaiser Permanente Senior Advantage,KAISER FOUNDATION HP OF CO,5,5,5,4
H0710,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,1,3
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",3,3,2,5
H0747,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,4,2,5,4
H0752,AARP MedicareComplete from SecureHorizons,"OXFORD HEALTH PLANS (CT), INC.",3,3,4,3
H0755,Health Net of Connecticut,HEALTH NET OF CONNECTICUT,3,4,2,3
H0806,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (WYOMING)",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0838,Brand New Day,HMO CALIFORNIA,5,Not enough data to calculate stars for this category,3,3
H0901,Aetna Medicare,AETNA HEALTH INC.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H0908,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",3,2,1,5
H0974,Blue Plus,HMO MINNESOTA D/B/A BLUE PLUS,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",3,1,Not enough data to calculate stars for this category,3
H1013,"Vista Healthplan of South Florida, Inc.","VISTA HEALTHPLAN OF SOUTH FLORIDA, INC.",3,2,4,4
H1016,AvMed Medicare Preferred,"AVMED, INC",3,5,3,4
H1019,"CarePlus Health Plans, Inc.",CARE PLUS HEALTH PLAN,4,4,4,3
H1026,"Health Options, Inc / Blue Cross Blue Shield of FL","HEALTH OPTIONS, INC",4,3,2,3
H1032,WellCare,"WELL CARE OF FLORIDA, INC.",3,3,4,3
H1035,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",4,5,5,4
H1036,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC",3,3,4,3
H1045,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,4,3,5,2
H1076,"Vista Healthplan, Inc.","VISTA HEALTHPLAN, INC.",4,3,4,4
H1080,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",3,3,3,3
H1099,Health First Medicare Plans,"HEALTH FIRST HEALTH PLANS, INC.",4,5,4,4
H1108,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,2,2
H1109,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),3,2,3,3
H1110,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H1111,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.",4,2,3,2
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",3,2,2,4
H1170,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP OF GA, INC.",4,3,5,4
H1216,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",3,2,2,4
H1230,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",5,4,5,4
H1264,WellCare,"WELLCARE OF TEXAS, INC.",3,2,1,4
H1286,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,3
H1302,Blue Cross of Idaho,BLUE CROSS OF IDAHO HLTH SERVICES INC,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H1303,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,2,3,3
H1304,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,4,4,5,3
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",5,5,4,4
H1355,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1364,Unison Advantage,"UNISON HEALTH PLAN OF OHIO, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1365,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1406,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",3,3,4,4
H1415,"HealthSpring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",4,2,3,4
H1416,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",3,3,3,5
H1417,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,5,5,5,3
H1418,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,2,4
H1419,Aetna Medicare,"AETNA HEALTH OF ILLINOIS, INC.",3,2,1,4
H1463,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,5,5,4,3
H1468,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC",3,3,5,3
H1509,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,3
H1510,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,4,3
H1517,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H1595,HealthPlus,HEALTHPLUS INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1607,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",4,2,3,4
H1608,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INS COMPANY,4,2,4,3
H1609,"Coventry Health Care of Iowa, Inc.","COVENTRY HEALTH CARE OF IOWA, INC.",4,2,4,3
H1643,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H1657,WellCare,"HARMONY HEALTH PLANS OF ILLINOIS, INC.",3,2,2,4
H1681,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1689,"Anthem Insurance Companies, Inc.","ANTHEM INSURANCE COMPANIES, INC.",2,2,4,4
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,3
H1717,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,Not enough data to calculate stars for this category,3
H1777,ArchCare Advantage,"CATHOLIC SPECIAL NEEDS PLAN, LLC",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H1804,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,3
H1806,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,3
H1807,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.",4,3,4,3
H1837,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",4,2,3,3
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",4,3,4,4
H1903,WellCare,"WELLCARE OF LOUISIANA, INC.",3,3,2,3
H1906,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LA, INC.",3,3,5,2
H1944,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H1951,Humana Health Benefit Plan of Louisiana Inc,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC,3,4,5,3
H1961,Peoples Health,"PEOPLES HEALTH, INC.",4,5,5,3
H2001,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,3,3,3
H2012,"Humana Health Plan, Inc","HUMANA HEALTH PLAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",4,2,2,3
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2108,Bravo Health,BRAVO HEALTH MID- ATLANTIC INC.,4,2,1,4
H2111,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,1,2
H2112,Aetna Medicare,AETNA HEALTH INC. (MARYLAND),3,2,2,4
H2165,HealthSpring Life & Health,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2169,UPMC Health Plan,UPMC HEALTH PLAN INC.,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2174,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,4,5,4,2
H2182,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC",3,Not enough data to calculate stars for this category,5,2
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.",4,Not enough data to calculate stars for this category,5,3
H2226,Evercare® Senior Care Options,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,4,3
H2228,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,3,2
H2230,Blue Cross and Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",4,3,3,3
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,3,4
H2241,Golden State Medicare Health Plan,GOLDEN STATE MEDICARE HEALTH PLAN,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2256,Tufts Health Plan,"TUFTS ASSOCIATED HMO, INC.",4,5,5,3
H2261,Blue Cross and Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",4,5,4,3
H2291,ProSalud HMO Corp,"PROSALUD HMO, CORP.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H2312,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,4,4,4,4
H2319,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,3,3,3,3
H2320,Priority Health Medicare,PRIORITY HEALTH,4,4,4,3
H2322,Alliance Medicare PPO,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",4,3,4,3
H2323,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,3,4,Not enough data to calculate stars for this category,2
H2354,HealthPlus of Michigan,HEALTHPLUS OF MICHIGAN,5,4,5,2
H2406,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H2410,Medica Health Plans,MEDICA HEALTH PLANS,4,4,2,3
H2411,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H2416,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,5,Not enough data to calculate stars for this category,5,3
H2417,Itasca Medical Care,ITASCA MEDICAL CARE,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,5,Not enough data to calculate stars for this category,5,3
H2422,HealthPartners Classic MN Senior Health Options,"HEALTHPARTNERS, INC.",5,Not enough data to calculate stars for this category,5,4
H2425,Blue Plus,BLUE PLUS,4,Not enough data to calculate stars for this category,4,3
H2456,UCare,UCARE MINNESOTA,4,Not enough data to calculate stars for this category,4,3
H2457,Metropolitan Health Plan MSHO,METROPOLITAN HEALTH PLAN,4,Not enough data to calculate stars for this category,4,3
H2458,Medica Health Plans,MEDICA HEALTH PLANS,4,Not enough data to calculate stars for this category,5,3
H2459,UCare,UCARE MINNESOTA,4,4,5,3
H2481,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H2486,Humana Medical Plan of Utah,HUMANA MEDICAL PLAN OF UTAH,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2542,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2593,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",4,3,5,3
H2611,Mercy Health Plans,MERCY HEALTH PLANS,4,2,3,3
H2613,Blue Cross Blue Shield of Missouri,HEALTHY ALLIANCE LIFE INSURANCE COMPANY,3,2,2,4
H2643,L.A. Care Health Plan Medicare Advantage,L. A. CARE HEALTH PLAN,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H2649,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",3,4,4,3
H2654,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",4,3,4,3
H2663,"Group Health Plan, Inc.","GROUP HEALTH PLAN, INC.",4,3,4,2
H2667,"Mercy Health Plans of Missouri, Inc.",MERCY HEALTH PLANS OF MISSOURI INC.,3,4,4,3
H2672,"Coventry Health Care of Kansas, Inc.","COVENTRY HEALTH CARE OF KANSAS, INC.",4,3,4,3
H2701,New West Health Services,NEW WEST HEALTH SERVICES,3,4,5,3
H2762,CIGNA Medicare Access,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,3,1,3,4
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2775,Universal American,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2802,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",4,4,4,3
H2803,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,3,4,3
H2810,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2899,Southeast Community Care,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",4,2,2,4
H2905,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H2906,Senior Care Plus,HOMETOWN HEALTH PLAN,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H2926,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H2931,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",3,4,3,3
H2944,Humana Insurance Company,HUMANA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2949,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",3,3,2,4
H2960,Senior Care Plus,HOMETOWN HEALTH PLAN,4,4,4,2
H2961,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",3,5,3,4
H2997,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H3028,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3044,Welborn Health Plans,"NHP OF INDIANA, LLC",3,5,3,3
H3059,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,PHYSICIANS HEALTH CHOICE OF NEW MEXICO,4,1,Not enough data to calculate stars for this category,4
H3081,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3107,AARP MedicareComplete from SecureHorizons,"OXFORD HEALTH PLANS (NJ), INC.",3,2,2,3
H3113,Evercare® Health Plans,"OXFORD HEALTH PLANS (NJ), INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H3132,Positive Healthcare Partners,"AIDS HEALTHCARE FOUNDATION MCO OF FLORIDA, INC.",5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H3152,Aetna Medicare,"AETNA HEALTH, INC.",3,3,2,3
H3154,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","HORIZON HEALTHCARE OF NEW JERSEY, INC.",3,3,2,4
H3156,AmeriHealth 65,AMERIHEALTH HMO_INC,5,2,2,4
H3164,AmeriChoice Personal Care Plus,"AMERICHOICE OF NEW JERSEY, INC",4,Not enough data to calculate stars for this category,1,3
H3204,Presbyterian Senior Care,PRESBYTERIAN HEALTH PLAN,4,5,5,3
H3206,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",4,3,3,3
H3209,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H3214,"First Medical Health Plan of Florida, Inc.",FIRST MEDICAL HEALTH PLAN (OF FLORIDA),3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H3240,AMERIGROUP Community Care,"AMERIGROUP NEW JERSEY, INC.",4,1,Not enough data to calculate stars for this category,3
H3251,Lovelace Senior Plan,"LOVELACE HEALTH SYSTEM, INC.",4,5,4,4
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",4,5,4,3
H3307,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.",3,3,2,3
H3312,Aetna Medicare,AETNA HEALTH INC.,3,3,2,3
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",4,2,2,4
H3328,Fidelis Care,NEW YORK STATE CATHOLIC HLTH PLAN INC,4,2,2,4
H3330,HIP Medicare HMO,HIP OF GREATER NEW YORK,3,4,3,4
H3333,Universal American,AMERICAN PROGRESSIVE LIFE/HLTH INS.,4,2,3,2
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",5,4,4,3
H3336,Neighborhood Health Providers,NEIGHBORHOOD HEALTH PROVIDERS LLC,4,3,3,4
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.",4,2,1,3
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",4,2,2,4
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,5,3,5,2
H3346,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",5,4,4,3
H3347,Elderplan,"ELDERPLAN, INC.",4,2,2,5
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.",5,4,3,3
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.",3,4,2,4
H3361,WellCare,"WELLCARE_OF NEW YORK, INC.",3,3,1,4
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.",4,4,5,2
H3366,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.",4,Not enough data to calculate stars for this category,2,3
H3370,Empire BlueCross BlueShield HMO,"EMPIRE HEALTHCHOICE HMO, INC.",3,3,2,4
H3379,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.",4,3,2,2
H3384,Senior Blue,HEALTHNOW NEW YORK INC,4,4,2,3
H3387,AmeriChoice Personal Care Plus,"UNITEDHEALTHCARE OF NEW YORK, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H3388,CDPHP Medicare Choices,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",4,5,5,3
H3404,"PARTNERS National Health Plans, a BCBSNC company",PARTNERS NATIONAL HEALTH PLANS OF NC INC,3,3,3,3
H3405,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,Not enough data to calculate stars for this category,3
H3449,"PARTNERS National Health Plans, a BCBSNC company","PARTNERS NATIONAL HEALTH PLANS OF NC, INC.",3,4,4,2
H3456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.",4,3,4,3
H3518,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS BLUE SHIELD OF FLORIDA, INC.",4,2,3,2
H3528,"ConnectiCare, Inc.","CONNECTICARE, INC.",4,3,5,4
H3533,Northeast Community Care,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H3597,Aetna Medicare,AETNA HEALTH,3,2,Not enough data to calculate stars for this category,2
H3619,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,3
