2010 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,"Drug Plan Member Complaints, Members Who Choose to Leave, and Medicare Audit Findings",,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,,,,
H0320,Desert Canyon Community Care,"ARCADIAN HEALTH PLAN, INC.",0:35,0:51,89.4%,29.1%,3.3,Not enough data available to calculate measure,73.3%,0.38,0.27,10.9%,58,80.8%,83.0%,90.6%,99.7%,77.9%,37.0,17.4%,80.3%,,,,
H0321,APIPA Personal Care Plus,"ARIZONA PHYSICIANS IPA, INC.",1:31,0:29,70.1%,59.5%,0.7,Not enough data available to calculate measure,100.0%,0.18,0.14,0.0%,0,72.5%,81.4%,85.7%,99.9%,82.4%,28.9,28.9%,86.4%,,,,
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC",0:36,0:44,57.9%,51.0%,4.3,Not enough data available to calculate measure,14.6%,0.85,0.81,3.7%,No data available,88.9%,88.3%,88.1%,99.9%,77.1%,17.3,25.3%,91.5%,,,,
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",1:21,0:39,80.1%,61.2%,1.3,47.1%,31.1%,0.22,0.1,8.5%,11,78.0%,82.0%,89.2%,99.6%,72.8%,9.2,21.8%,85.1%,,,,
H0354,CIGNA Medicare Select,"CIGNA HEALTHCARE OF ARIZONA, INC.",0:26,0:21,84.1%,71.1%,15.5,84.6%,91.7%,0.05,0.06,1.9%,27,86.5%,88.1%,91.3%,99.5%,85.3%,10.5,22.7%,85.3%,,,,
H0370,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INSURANCE CO. (SOUTH DAKO,0:35,0:31,71.6%,35.8%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,57.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,
H0401,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.",0:38,0:38,76.0%,51.0%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,10.7%,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.8%,77.6%,17.0,20.4%,86.5%,,,,
H0408,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:35,0:38,78.7%,40.6%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,76.9%,13.6,36.8%,74.2%,,,,
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",1:34,0:44,84.5%,41.6%,0,No appeals required review,72.1%,0.58,0.12,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.2%,80.4%,24.2,10.6%,92.1%,,,,
H0474,Essence Healthcare,"ESSENCE HEALTHCARE OF NEW YORK, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,
H0490,Molina Healthcare of Ohio,MOLINA HEALTHCARE OF OHIO,0:35,0:46,74.2%,25.8%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,59.8%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,1:04,0:02,77.1%,63.3%,3.3,Not enough data available to calculate measure,69.6%,0.19,0.12,6.7%,12,79.2%,83.2%,85.8%,99.7%,80.5%,22.9,20.9%,83.8%,,,,
H0523,Aetna Medicare,"AETNA HEALTH OF CALIFORNIA,INC.",0:47,0:16,65.1%,48.9%,5.4,60.0%,36.4%,0.4,0.21,8.8%,43,79.6%,83.7%,90.5%,98.5%,79.7%,16.2,8.0%,84.3%,,,,
H0524,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",1:04,0:07,67.2%,59.8%,1.3,83.3%,88.5%,0.1,0.04,2.2%,No data available,85.0%,89.2%,93.3%,97.2%,82.4%,7.7,14.4%,88.2%,,,,
H0532,Western Health Advantage,WESTERN HEALTH ADVANTAGE,0:35,0:28,77.5%,76.7%,0,No appeals required review,Not enough data available to calculate measure,0,0.14,5.8%,40,79.2%,85.4%,91.8%,99.8%,74.3%,11.0,21.2%,87.3%,,,,
H0540,Unicare Life & Health Ins. Company,UNICARE LIFE AND HEALTH INS. COMPANY,0:50,0:53,Not enough data available to calculate measure,Not enough data available to calculate measure,1.9,55.6%,77.2%,4.38,1.2,16.9%,66,82.5%,80.1%,89.8%,94.7%,100.0%,7.2,18.0%,82.6%,,,,
H0543,SecureHorizons by UnitedHealthcare,PACIFICARE OF CALIFORNIA/SECURE HORIZONS,0:40,0:37,75.4%,53.2%,1.8,76.8%,65.5%,0.32,0.19,5.9%,No data available,80.6%,84.7%,89.9%,98.2%,77.5%,12.9,17.5%,84.0%,,,,
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,0:18,0:17,75.2%,81.4%,0.3,80.0%,12.2%,0.15,0.14,5.9%,No data available,80.6%,87.5%,91.0%,99.9%,Not enough data available to calculate measure,11.3,23.5%,85.8%,,,,
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",0:08,0:12,82.8%,86.8%,0,Not enough data available to calculate measure,34.5%,0.05,0.03,6.6%,21,89.6%,86.6%,91.5%,99.8%,76.4%,11.6,23.4%,81.7%,,,,
H0562,Health Net of CA,HEALTH NET_OF CA,0:50,0:39,82.9%,72.0%,0.1,66.7%,61.1%,0.21,0.29,10.1%,11,76.8%,82.9%,89.6%,99.8%,37.0%,10.1,19.6%,85.2%,,,,
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,0:42,0:46,Not enough data available to calculate measure,Not enough data available to calculate measure,0.6,Not enough data available to calculate measure,44.8%,0.4,0.12,12.6%,66,67.1%,81.0%,87.9%,99.6%,100.0%,6.0,20.2%,82.7%,,,,
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,0:45,0:32,76.6%,65.2%,0,No appeals required review,Not enough data available to calculate measure,0,0.02,2.0%,1,73.1%,77.7%,82.6%,99.8%,58.5%,34.4,15.1%,78.8%,,,,
H0609,AARP MedicareComplete from SecureHorizons,"PACIFICARE OF COLORADO, INC",0:43,0:37,73.9%,69.2%,1.2,100.0%,81.4%,0.33,0.18,3.0%,No data available,81.9%,83.0%,89.7%,98.5%,77.1%,11.5,17.1%,85.3%,,,,
H0620,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:37,76.7%,41.7%,0,No appeals required review,Not enough data available to calculate measure,0.08,0,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,76.9%,29.6,17.9%,73.8%,,,,
H0621,Colorado Access,COLORADO ACCESS,0:19,0:18,84.4%,44.4%,0,No appeals required review,Not enough data available to calculate measure,0.48,0.11,8.3%,No data available,81.3%,80.9%,84.4%,96.7%,80.6%,14.1,20.7%,88.8%,,,,
H0623,Humana Insurance Company,HUMANA INSURANCE COMPANY,0:36,0:21,67.5%,53.5%,0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.34,0.81,27.3%,No data available,78.4%,80.4%,89.7%,99.4%,80.7%,18.3,19.6%,88.0%,,,,
H0624,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:40,0:37,76.7%,41.7%,4.1,Not enough data available to calculate measure,43.8%,0.62,0.51,Not enough data available to calculate measure,No data available,81.4%,83.7%,89.7%,99.4%,76.7%,21.7,22.5%,87.0%,,,,
H0630,Kaiser Permanente Senior Advantage,KAISER FOUNDATION HP OF CO,0:29,0:07,79.6%,77.3%,1.3,66.7%,98.6%,0.06,0.04,1.9%,0,88.7%,89.7%,94.0%,99.6%,82.2%,34.3,9.4%,88.2%,,,,
H0710,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:35,0:39,79.5%,40.3%,4.7,Not enough data available to calculate measure,70.0%,0.5,0.34,Not enough data available to calculate measure,No data available,74.1%,79.5%,83.5%,99.4%,76.7%,24.5,17.9%,81.3%,,,,
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",0:41,0:45,60.4%,22.7%,0,No appeals required review,53.3%,0.73,0.64,10.3%,12,73.8%,79.5%,85.1%,99.8%,85.2%,16.7,12.8%,90.0%,,,,
H0747,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,0:31,0:30,58.2%,21.0%,0,No appeals required review,100.0%,0.24,0.59,31.3%,No data available,90.1%,90.4%,94.8%,96.7%,77.3%,Not enough data available to calculate measure,21.8%,88.5%,,,,
H0752,AARP MedicareComplete from SecureHorizons,"OXFORD HEALTH PLANS (CT), INC.",0:52,0:39,73.9%,67.4%,20.4,Not enough data available to calculate measure,33.3%,0.79,0.45,8.7%,No data available,83.4%,83.3%,90.3%,93.2%,77.1%,9.7,11.3%,75.8%,,,,
H0755,Health Net of Connecticut,HEALTH NET OF CONNECTICUT,1:18,0:32,79.9%,63.4%,0,35.7%,39.4%,0.23,0.15,11.6%,11,79.3%,79.8%,88.9%,99.5%,65.6%,15.1,14.7%,81.0%,,,,
H0806,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (WYOMING)",1:16,0:30,63.6%,63.8%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.0%,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,57.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,86.4%,,,,
H0838,Brand New Day,HMO CALIFORNIA,0:04,0:08,73.7%,85.2%,0,No appeals required review,Not enough data available to calculate measure,0.13,0.39,Not enough data available to calculate measure,No data available,84.2%,81.0%,87.9%,98.3%,83.4%,22.7,19.5%,91.0%,,,,
H0901,Aetna Medicare,AETNA HEALTH INC.,0:40,0:15,67.1%,48.2%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,29.0%,43,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.9%,80.4%,13.4,5.5%,86.9%,,,,
H0908,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",0:22,0:16,64.8%,78.5%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,91.7%,Not enough data available to calculate measure,0.0,12.6%,92.4%,,,,
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",0:43,0:30,64.7%,23.6%,4,No appeals required review,33.3%,1.47,1.86,31.8%,12,73.7%,74.7%,77.2%,99.8%,85.2%,13.3,15.3%,87.8%,,,,
H0974,Blue Plus,HMO MINNESOTA D/B/A BLUE PLUS,0:39,0:15,91.4%,64.8%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.4%,84.0%,11.4,Not enough data available to calculate measure,86.7%,,,,
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",1:22,0:43,80.9%,35.6%,0,No appeals required review,0.0%,4.72,3.05,28.6%,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,95.6%,77.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,,,
H1013,"Vista Healthplan of South Florida, Inc.","VISTA HEALTHPLAN OF SOUTH FLORIDA, INC.",0:36,0:56,67.7%,10.3%,0,Not enough data available to calculate measure,80.6%,0.29,0.15,16.8%,No data available,77.5%,85.3%,90.2%,99.4%,82.7%,10.8,22.6%,85.8%,,,,
H1016,AvMed Medicare Preferred,"AVMED, INC",0:55,1:23,71.7%,54.5%,0,Not enough data available to calculate measure,0.0%,0.06,0.07,6.8%,No data available,80.9%,81.6%,91.5%,99.7%,83.8%,18.3,14.8%,80.7%,,,,
H1019,"CarePlus Health Plans, Inc.",CARE PLUS HEALTH PLAN,0:30,0:15,79.7%,62.2%,0.8,60.0%,99.1%,0.15,0.15,8.2%,No data available,82.8%,88.2%,91.1%,99.9%,79.7%,16.8,28.7%,85.7%,,,,
H1026,"Health Options, Inc / Blue Cross Blue Shield of FL","HEALTH OPTIONS, INC",0:32,0:14,73.6%,25.0%,0,Not enough data available to calculate measure,60.5%,0.42,0.29,10.3%,12,75.3%,79.3%,88.4%,99.7%,81.8%,13.1,20.7%,79.1%,,,,
H1032,WellCare,"WELL CARE OF FLORIDA, INC.",0:50,0:30,65.6%,25.6%,1.7,Not enough data available to calculate measure,70.7%,0.78,0.58,16.8%,12,77.7%,84.8%,89.9%,99.9%,85.2%,14.0,26.8%,84.5%,,,,
H1035,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",0:07,0:16,65.0%,46.1%,0,No appeals required review,81.8%,0.04,0.05,7.5%,No data available,90.5%,87.2%,93.7%,99.5%,86.3%,6.7,28.0%,84.3%,,,,
H1036,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC",0:35,0:21,68.4%,52.2%,3.4,36.1%,61.6%,0.23,0.16,6.8%,No data available,81.0%,88.9%,91.8%,99.7%,79.9%,18.8,26.9%,84.4%,,,,
H1045,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,1:05,0:31,62.5%,70.0%,0,Not enough data available to calculate measure,92.1%,0.28,0.21,16.8%,10,83.5%,88.3%,92.2%,91.6%,66.7%,4.0,24.5%,81.6%,,,,
H1076,"Vista Healthplan, Inc.","VISTA HEALTHPLAN, INC.",0:12,0:19,67.7%,10.3%,0,No appeals required review,91.7%,0.1,0.95,20.0%,No data available,82.3%,86.1%,89.5%,99.6%,83.2%,9.0,22.1%,84.6%,,,,
H1080,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",0:38,0:39,76.3%,50.2%,1.9,42.9%,57.6%,0.25,0.27,7.9%,No data available,81.6%,81.6%,90.7%,99.2%,76.4%,23.2,15.3%,80.5%,,,,
H1099,Health First Medicare Plans,"HEALTH FIRST HEALTH PLANS, INC.",0:36,0:44,88.6%,74.4%,0,Not enough data available to calculate measure,33.3%,0.04,0.06,6.3%,15,91.7%,83.5%,91.8%,99.8%,84.1%,14.3,25.7%,84.9%,,,,
H1108,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:37,0:39,76.3%,53.3%,0.8,Not enough data available to calculate measure,67.7%,0.58,0.48,17.5%,No data available,74.4%,81.7%,85.1%,99.2%,76.7%,48.7,27.6%,80.3%,,,,
H1109,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),0:40,0:15,67.1%,48.2%,0,No appeals required review,25.0%,0.78,0.78,22.9%,43,83.5%,81.6%,88.4%,96.7%,67.3%,18.1,7.5%,89.5%,,,,
H1110,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0:40,0:15,67.1%,48.2%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,18.8%,43,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,94.2%,67.3%,7.2,7.4%,84.2%,,,,
H1111,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.",0:38,0:39,76.3%,53.3%,0,No appeals required review,66.7%,0.76,1.05,12.4%,No data available,80.0%,85.3%,89.0%,98.3%,76.8%,13.8,27.1%,80.7%,,,,
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",0:43,0:30,69.0%,15.9%,0,No appeals required review,65.4%,1.27,1.09,19.5%,12,74.0%,84.1%,87.3%,99.9%,85.2%,18.3,21.2%,87.6%,,,,
H1170,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP OF GA, INC.",0:36,0:07,62.5%,70.5%,0,No appeals required review,100.0%,0.39,0.09,5.4%,No data available,91.7%,88.4%,91.1%,99.6%,82.4%,31.3,14.6%,87.5%,,,,
H1216,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",1:04,0:31,64.0%,14.0%,0,No appeals required review,50.0%,1.61,1.18,26.3%,12,60.8%,74.0%,73.4%,99.7%,85.2%,19.5,15.1%,85.1%,,,,
H1230,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",0:11,0:04,67.4%,81.5%,0,No appeals required review,98.0%,0.13,0.09,3.2%,No data available,84.9%,90.2%,94.2%,99.4%,82.4%,32.2,9.9%,92.8%,,,,
H1264,WellCare,"WELLCARE OF TEXAS, INC.",0:58,0:31,69.9%,19.8%,1.5,Not enough data available to calculate measure,67.3%,1.39,1.01,33.8%,12,70.5%,79.0%,80.2%,99.8%,85.2%,14.5,20.8%,88.4%,,,,
H1286,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:41,0:37,75.4%,53.2%,2.7,No appeals required review,76.2%,1.48,0.58,14.9%,No data available,79.5%,82.2%,89.7%,98.8%,77.1%,22.0,13.8%,86.0%,,,,
H1302,Blue Cross of Idaho,BLUE CROSS OF IDAHO HLTH SERVICES INC,0:34,0:23,83.1%,85.9%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,15.2%,2,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.5%,85.9%,5.1,18.8%,100.0%,,,,
H1303,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:45,0:37,75.2%,52.1%,6,Not enough data available to calculate measure,80.0%,0.45,0.3,15.0%,No data available,77.0%,79.6%,90.7%,98.5%,77.0%,14.7,20.2%,85.6%,,,,
H1304,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,0:30,2:20,81.5%,63.8%,4.2,No appeals required review,57.1%,0.11,0.11,4.2%,No data available,91.4%,83.2%,92.7%,99.9%,83.8%,61.2,24.8%,84.2%,,,,
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",0:34,0:23,83.1%,85.9%,1.8,Not enough data available to calculate measure,90.0%,0.14,0.05,3.2%,22,83.7%,83.2%,91.1%,99.6%,80.7%,10.2,28.0%,84.6%,,,,
