CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
H1419,Aetna Medicare,"AETNA HEALTH OF ILLINOIS, INC.",Not measured,Not measured,69.89%,0.00%,0.00%,97.14%,,0.00%,0.00%,100.00%,78.06%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1463,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Not measured,Not measured,70.27%,0.00%,0.00%,98.92%,,0.00%,2.90%,100.00%,76.06%,92.00%,Not enough data available to calculate measure,54.67%,93.75%,,,,,,,,,,
H1468,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC",100.00%,100.00%,Not measured,1.01%,0.80%,89.83%,,0.86%,1.24%,100.00%,63.54%,78.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1509,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,66.67%,82.41%,1.94%,1.88%,96.08%,,0.00%,1.49%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1510,Humana Insurance Company,HUMANA INSURANCE COMPANY,66.67%,100.00%,84.54%,1.06%,0.79%,92.80%,,0.00%,1.49%,100.00%,78.20%,79.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1517,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Not measured,Not measured,Not measured,0.00%,5.94%,Not measured,,0.00%,7.39%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1553,"Clarian Health Plans, Inc. - Senior Smart Choice","CLARIAN HEALTH PLANS, INC.",,,,,,,,,,,77.15%,Not enough data available to calculate measure,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,,,,,,,,,,
H1558,Welborn Health Plans,WELBORN HEALTH PLAN,,,,,,,,,,,84.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1595,HealthPlus,HEALTHPLUS INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1607,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",100.00%,100.00%,Not measured,0.00%,5.71%,Not measured,,0.00%,1.65%,100.00%,75.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1608,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INS COMPANY,0.00%,Not measured,30.83%,0.77%,2.21%,97.50%,,0.00%,3.42%,100.00%,Plan too small to be measured,75.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1609,"Coventry Health Care of Iowa, Inc.","COVENTRY HEALTH CARE OF IOWA, INC.",0.00%,Not measured,23.50%,0.00%,2.21%,93.06%,,0.37%,2.13%,100.00%,74.10%,77.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1643,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,Not measured,Not measured,82.76%,0.83%,2.17%,95.70%,,0.00%,2.29%,95.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1651,"Medical Associates Health Plan, Inc.","MEDICAL ASSOCIATES HEALTH PLAN, INC.",,,,,,,,,,,57.74%,Not enough data available to calculate measure,41.67%,Benefit not offered by plan,Benefit not offered by plan,,,,,,,,,,
H1657,WellCare,"HARMONY HEALTH PLANS OF ILLINOIS, INC.",Not measured,Not measured,Not measured,2.33%,0.00%,87.50%,,0.00%,0.60%,100.00%,88.46%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1681,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,100.00%,88.18%,2.51%,0.80%,94.37%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1689,"Anthem Insurance Companies, Inc.","ANTHEM INSURANCE COMPANIES, INC.",42.86%,100.00%,0.00%,2.99%,5.73%,Not measured,,0.29%,0.96%,100.00%,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,87.50%,100.00%,83.90%,2.51%,0.80%,94.37%,,0.70%,0.78%,100.00%,78.20%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1717,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,72.20%,1.89%,1.87%,95.81%,,1.90%,0.00%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1777,ArchCare Advantage,"CATHOLIC SPECIAL NEEDS PLAN, LLC",Not measured,Not measured,50.57%,0.00%,0.80%,87.34%,,0.00%,1.05%,100.00%,Plan too small to be measured,77.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1804,Humana Insurance Company,HUMANA INSURANCE COMPANY,84.48%,93.39%,83.86%,2.51%,0.80%,88.16%,,0.78%,1.47%,100.00%,78.20%,78.00%,56.82%,47.30%,72.14%,,,,,,,,,,
H1806,Humana Insurance Company,HUMANA INSURANCE COMPANY,75.00%,92.86%,88.96%,2.56%,0.79%,90.74%,,1.16%,0.98%,100.00%,78.20%,79.00%,66.67%,42.50%,81.82%,,,,,,,,,,
H1807,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.",100.00%,100.00%,Not measured,1.69%,0.00%,94.44%,,1.20%,1.08%,100.00%,96.66%,79.00%,53.00%,26.25%,88.10%,,,,,,,,,,
H1837,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Not measured,100.00%,51.07%,1.52%,1.19%,98.91%,,0.00%,1.09%,100.00%,97.50%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Not measured,Not measured,90.59%,0.73%,0.80%,97.87%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Not measured,Not measured,Not measured,0.00%,5.71%,Not measured,,0.43%,0.74%,100.00%,75.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,47.27%,62.50%,,,,,,,,,,
H1903,WellCare,"WELLCARE OF LOUISIANA, INC.",Not measured,Not measured,Not measured,2.26%,0.00%,88.33%,,0.57%,1.29%,100.00%,89.40%,89.00%,37.84%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1906,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LA, INC.",75.00%,75.00%,85.71%,2.51%,0.80%,89.83%,,0.52%,1.34%,100.00%,78.20%,78.00%,54.84%,52.94%,80.65%,,,,,,,,,,
H1944,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,77.84%,3.96%,1.88%,97.30%,,0.00%,2.07%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1951,Humana Health Benefit Plan of Louisiana Inc,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC,95.65%,94.44%,84.63%,2.51%,0.80%,89.83%,,0.74%,1.14%,100.00%,78.20%,78.00%,58.33%,41.70%,82.51%,,,,,,,,,,
H1961,Peoples Health,"PEOPLES HEALTH, INC.",80.00%,100.00%,90.76%,5.88%,0.98%,98.59%,,0.66%,1.92%,100.00%,71.16%,86.00%,41.88%,58.81%,81.96%,,,,,,,,,,
H2001,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,84.92%,1.94%,1.88%,96.08%,,1.26%,2.12%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2012,"Humana Health Plan, Inc","HUMANA HEALTH PLAN, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Not measured,Not measured,74.10%,13.04%,0.80%,88.61%,,0.00%,1.22%,100.00%,81.56%,81.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.",Not measured,Not measured,0.00%,0.00%,0.00%,96.83%,,Not measured,Not measured,100.00%,Plan not required to report measure,85.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2108,Bravo Health,BRAVO HEALTH MID- ATLANTIC INC.,0.00%,Not measured,72.17%,0.00%,2.17%,94.81%,,0.28%,0.87%,95.00%,88.80%,81.00%,66.32%,38.81%,65.71%,,,,,,,,,,
H2111,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,66.80%,0.98%,1.88%,94.94%,,0.18%,1.80%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2112,Aetna Medicare,AETNA HEALTH INC. (MARYLAND),Not measured,Not measured,76.86%,0.00%,0.00%,96.92%,,1.71%,2.19%,100.00%,78.06%,85.00%,53.85%,57.14%,Not enough data available to calculate measure,,,,,,,,,,
H2165,HealthSpring Life & Health,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2169,UPMC Health Plan,UPMC HEALTH PLAN INC.,Not measured,Not measured,95.00%,0.77%,0.00%,93.33%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2174,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Not measured,Not measured,97.59%,0.00%,0.69%,97.37%,,1.48%,2.22%,100.00%,98.29%,93.00%,50.98%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2182,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,87.39%,3.96%,1.72%,97.30%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC",Not measured,Not measured,15.34%,0.80%,0.67%,96.97%,,0.34%,1.42%,100.00%,91.73%,79.00%,Not enough data available to calculate measure,70.15%,Not enough data available to calculate measure,,,,,,,,,,
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.",Not measured,Not measured,0.85%,0.00%,0.78%,91.03%,,0.37%,1.34%,100.00%,98.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2226,Evercare® Senior Care Options,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,43.89%,5.38%,1.88%,94.94%,,0.00%,0.99%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,38.89%,Not enough data available to calculate measure,,,,,,,,,,
H2228,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,61.91%,0.98%,1.88%,94.94%,,0.33%,0.93%,100.00%,70.16%,87.00%,75.68%,49.21%,87.50%,,,,,,,,,,
H2230,Blue Cross and Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",100.00%,100.00%,98.72%,0.97%,0.00%,94.37%,,2.31%,2.34%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2232,Health Diaglog,MASSACHUSETTS GENERAL PHYSICIANS DEMO PROJECT,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Not measured,Not measured,88.95%,8.76%,2.48%,96.88%,,0.58%,1.53%,100.00%,60.34%,73.00%,51.89%,68.66%,Not enough data available to calculate measure,,,,,,,,,,
H2241,Golden State Medicare Health Plan,GOLDEN STATE MEDICARE HEALTH PLAN,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2256,Tufts Health Plan,"TUFTS ASSOCIATED HMO, INC.",Not measured,Not measured,85.50%,3.10%,0.00%,96.67%,,0.32%,0.99%,100.00%,90.08%,86.00%,88.05%,48.26%,93.46%,,,,,,,,,,
H2261,Blue Cross and Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",0.00%,100.00%,99.17%,0.97%,0.00%,94.37%,,0.11%,1.14%,100.00%,79.89%,86.00%,74.58%,59.04%,89.44%,,,,,,,,,,
H2291,ProSalud HMO Corp,"PROSALUD HMO, CORP.",Not measured,Not measured,Not measured,1.49%,1.54%,87.27%,,0.00%,1.46%,63.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2312,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,100.00%,Not measured,46.77%,2.17%,5.04%,97.22%,,0.20%,1.21%,100.00%,63.98%,91.00%,80.00%,42.13%,91.89%,,,,,,,,,,
H2319,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,85.19%,84.85%,90.21%,0.83%,1.04%,92.45%,,0.36%,1.18%,95.00%,Plan not required to report measure,84.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2320,Priority Health Medicare,PRIORITY HEALTH,Not measured,Not measured,53.78%,0.00%,0.49%,100.00%,,0.15%,1.26%,100.00%,70.47%,95.00%,Not enough data available to calculate measure,64.20%,96.67%,,,,,,,,,,
H2322,Alliance Medicare PPO,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",100.00%,Not measured,37.80%,1.45%,5.04%,97.22%,,0.65%,1.14%,100.00%,68.89%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2323,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,Not measured,Not measured,95.65%,6.48%,0.00%,90.91%,,1.67%,2.57%,100.00%,90.28%,82.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2354,HealthPlus of Michigan,HEALTHPLUS OF MICHIGAN,Not measured,Not measured,46.51%,1.54%,0.00%,97.33%,,0.00%,1.48%,100.00%,83.19%,89.00%,Not enough data available to calculate measure,55.88%,Not enough data available to calculate measure,,,,,,,,,,
H2406,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,92.86%,2.00%,1.88%,94.94%,,0.70%,2.16%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2410,Medica Health Plans,MEDICA HEALTH PLANS,Not measured,Not measured,69.06%,0.00%,4.13%,98.86%,,0.18%,1.73%,100.00%,76.86%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2411,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,Not measured,Not measured,51.43%,0.00%,0.59%,93.88%,,0.00%,1.86%,100.00%,Plan too small to be measured,94.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2416,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,Not measured,Not measured,Not measured,0.00%,0.00%,94.51%,,0.44%,2.87%,100.00%,76.77%,86.00%,Not enough data available to calculate measure,64.86%,Not enough data available to calculate measure,,,,,,,,,,
H2417,Itasca Medical Care,ITASCA MEDICAL CARE,Not measured,Not measured,Not measured,8.53%,0.81%,100.00%,,0.00%,1.05%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,Not measured,Not measured,Not measured,0.74%,0.00%,98.41%,,0.00%,3.34%,100.00%,85.29%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2422,HealthPartners Classic MN Senior Health Options,"HEALTHPARTNERS, INC.",Not measured,Not measured,Not measured,0.00%,0.83%,97.33%,,0.31%,1.74%,100.00%,89.40%,93.00%,Not enough data available to calculate measure,56.67%,Not enough data available to calculate measure,,,,,,,,,,
H2425,Blue Plus,BLUE PLUS,66.67%,Not measured,Not measured,0.73%,0.00%,96.15%,,0.33%,3.18%,100.00%,84.22%,87.00%,44.12%,64.29%,85.37%,,,,,,,,,,
H2456,UCare,UCARE MINNESOTA,Not measured,Not measured,Not measured,0.72%,3.68%,98.18%,,0.63%,2.23%,100.00%,69.84%,89.00%,Not enough data available to calculate measure,62.24%,78.43%,,,,,,,,,,
H2457,Metropolitan Health Plan MSHO,METROPOLITAN HEALTH PLAN,Not measured,Not measured,Not measured,0.72%,0.00%,98.70%,,0.00%,2.36%,100.00%,Plan too small to be measured,91.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2458,Medica Health Plans,MEDICA HEALTH PLANS,Not measured,Not measured,Not measured,0.00%,4.13%,100.00%,,0.15%,2.64%,100.00%,73.55%,100.00%,54.17%,54.64%,87.30%,,,,,,,,,,
H2459,UCare,UCARE MINNESOTA,100.00%,100.00%,95.54%,0.37%,3.68%,95.24%,,0.06%,1.14%,100.00%,69.84%,90.00%,62.50%,58.44%,81.86%,,,,,,,,,,
H2461,Blue Cross Blue Shield of Minnesota,BLUE CROSS BLUE SHIELD OF MINNESOTA,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2481,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Not measured,Not measured,70.00%,0.00%,0.00%,96.59%,,Not measured,0.00%,100.00%,Plan too small to be measured,90.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2486,Humana Medical Plan of Utah,HUMANA MEDICAL PLAN OF UTAH,Not measured,Not measured,75.00%,2.77%,0.83%,88.06%,,3.20%,3.34%,100.00%,Plan too small to be measured,79.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Not measured,Not measured,Not measured,2.21%,0.00%,85.42%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2542,Humana Insurance Company,HUMANA INSURANCE COMPANY,60.00%,80.00%,81.38%,2.56%,0.79%,90.74%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2593,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Not measured,100.00%,32.14%,0.83%,1.73%,97.40%,,0.12%,1.60%,100.00%,97.50%,87.00%,40.00%,47.50%,82.61%,,,,,,,,,,
H2611,Mercy Health Plans,MERCY HEALTH PLANS,Not measured,Not measured,94.19%,3.61%,0.81%,97.89%,,0.92%,1.80%,100.00%,61.91%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2613,Blue Cross Blue Shield of Missouri,HEALTHY ALLIANCE LIFE INSURANCE COMPANY,Not measured,100.00%,Not measured,1.45%,5.94%,Not measured,,0.00%,1.39%,100.00%,75.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2643,L.A. Care Health Plan Medicare Advantage,L. A. CARE HEALTH PLAN,Not measured,Not measured,99.39%,2.90%,0.00%,98.25%,,0.00%,0.00%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2649,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,90.91%,79.80%,2.51%,0.80%,89.83%,,0.72%,1.67%,100.00%,78.20%,78.00%,85.00%,47.34%,80.85%,,,,,,,,,,
H2654,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",100.00%,Not measured,73.15%,1.87%,1.87%,95.81%,,0.46%,1.45%,100.00%,70.16%,86.00%,54.29%,50.13%,85.45%,,,,,,,,,,
H2663,"Group Health Plan, Inc.","GROUP HEALTH PLAN, INC.",80.00%,0.00%,26.66%,0.73%,2.21%,97.26%,,0.14%,1.78%,100.00%,70.49%,85.00%,66.67%,61.73%,81.63%,,,,,,,,,,
H2667,"Mercy Health Plans of Missouri, Inc.",MERCY HEALTH PLANS OF MISSOURI INC.,100.00%,Not measured,98.46%,3.27%,0.81%,94.79%,,0.04%,2.07%,100.00%,61.91%,87.00%,62.75%,54.41%,78.85%,,,,,,,,,,
H2672,"Coventry Health Care of Kansas, Inc.","COVENTRY HEALTH CARE OF KANSAS, INC.",100.00%,100.00%,38.10%,0.00%,2.21%,95.06%,,1.37%,3.22%,100.00%,70.00%,80.00%,Not enough data available to calculate measure,50.72%,82.98%,,,,,,,,,,
H2701,New West Health Services,NEW WEST HEALTH SERVICES,Not measured,Not measured,85.29%,0.78%,0.56%,95.65%,,1.36%,1.44%,100.00%,Plan elected not to report data,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2762,CIGNA Medicare Access,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,Not measured,66.67%,78.91%,0.00%,0.77%,91.25%,,0.55%,1.78%,100.00%,Plan not required to report measure,76.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2775,Universal American,AMERICAN PROGRESSIVE LIFE & HEALTH INSURANCE OF NY,Not measured,Not measured,87.50%,0.94%,1.06%,93.85%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2802,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",Not measured,Not measured,Not measured,2.86%,1.87%,95.81%,,0.64%,2.25%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,50.00%,Not enough data available to calculate measure,,,,,,,,,,
H2803,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,75.08%,1.89%,1.87%,95.81%,,0.88%,2.33%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,52.94%,Not enough data available to calculate measure,,,,,,,,,,
H2810,"Group Health Options, Inc.",GROUP HEALTH OPTIONS,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2899,Southeast Community Care,"ARCADIAN HEALTH PLAN OF NORTH CAROLINA, INC.",Not measured,Not measured,81.02%,1.04%,0.00%,94.12%,,0.00%,0.90%,100.00%,97.53%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2905,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",Not measured,Not measured,96.15%,1.67%,0.00%,90.00%,,0.00%,0.00%,100.00%,Plan too small to be measured,82.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2906,Senior Care Plus,HOMETOWN HEALTH PLAN,Not measured,Not measured,25.49%,1.43%,0.52%,94.92%,,6.25%,0.00%,100.00%,Plan too small to be measured,90.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2926,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,Not measured,Not measured,Not measured,0.00%,0.00%,96.74%,,0.00%,4.28%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2931,"Health Plan of Nevada, Inc.","HEALTH PLAN OF NEVADA, INC.",100.00%,0.00%,92.06%,0.77%,0.00%,94.68%,,0.00%,0.00%,100.00%,74.80%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2944,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2949,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",83.33%,62.50%,78.75%,2.22%,0.86%,86.49%,,0.47%,1.70%,100.00%,78.20%,82.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
