,Call Center,1.,Call Answer Timeliness,"This measure is defined as the percentage of calls received by the organization’s Member Services call centers (during operating hours) during the measurement year that were answered by a live voice within 30 seconds.

Numerator = Number of calls answered by a live voice within 30 seconds.

Denominator = Number of calls received by member services (during hours of operation)

This is calculated as: [(number of calls answered by a live voice within 30 seconds) / (number of calls received by member services (during hours of operation))] * 100",Higher is better,"January 1 to December 31, 2008",HEDIS,
,,2.,Call Center Understandability,"This measure is defined as the percent of plan CSRs who were understandable when they spoke. Understandability is defined as how well callers were able to understand customer service representatives (CSRs) based on volume, clarity, speed, and professionalism.  

Numerator = The number of plan CSRs who were understandable when they spoke.

Denominator = The total number of plan CSRs.

This is calculated as:  [(The number of plan CSRs who were understandable when they spoke) / (The total number of plan CSRs)] * 100.",Higher is better,February to June 2009.,Data were collected by CMS; the “Customer Service for Prospective Members – Part C” phone number associated with each plan was monitored. This measure is based on calls made to the prospective enrollee call center.  ,
,,3.,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge),"This measure is defined as the percent of discharges for MA enrollees hospitalized for mental illness during the measurement year, for which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge.

Numerator = Number of discharges for MA enrollees hospitalized for mental illness during the measurement year which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge.

Denominator = Number of discharges for MA enrollees hospitalized for mental illness during the measurement year.

This is calculated as: [Number of discharges for MA enrollees hospitalized for mental illness during the measurement year which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge) / (Number of discharges for MA enrollees hospitalized for mental illness during the measurement year)]*100.",Higher is better,"January 1 to December 31, 2008",HEDIS,
,,4.,Antidepressant Medication Management (6 months),"This measure is defined as the percentage of members 18 years of age and older who were diagnosed with a new episode of major depression, treated with antidepressant medication, and who remained on an antidepressant medication treatment.

Numerator = Number of members who remained on antidepressants for at least 180 days (6 months)

Denominator = Number of MA enrollees with a new diagnosis of depression.

This is calculated as:  [(Number of members who remained on antidepressants for at least 180 days) / (Number of MA enrollees with a new diagnosis of depression)] * 100",Higher is better,"January 1 to December 31, 2008",HEDIS,
,,5.,Continuous Beta Blocker Treatment,"This measure is defined as the percentage of members who were hospitalized and discharged alive from July 1 of the year prior to the measurement year to June 30 of the measurement year with a diagnosis of acute myocardial infarction and who received persistent beta-blocker treatment for six months after discharge.

Numerator = The eligible population.

Denominator = Number of members who received beta-blocker treatment for 180 days.

This is calculated as:  [(The eligible population) / (Number of members who received beta-blocker treatment for 180 days )] * 100",Higher is better,"January 1 to December 31, 2008",HEDIS,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
