,,4,>0:25 to <=0:35,>=80.0 to <85.7,>0.3 to <=1.3,>=72.0% to <90.0%,>=94.69 to <96.50,>0.17 to <=0.28,>60 to <=80,>7% to <=11%,>=82% to <86%,>=84% to <86%,>=91% to <93%,>=97.8 to <98.3,>9.3% to <=14.0%,>=86.0% to <87.3%,>=74.9% to <78.8%,>=74.8% to <77.9%,>=70.8% to <75.2%,,,,
,,3,>0:35 to <=2:15,>=77.3 to <80.0,>1.3 to <=3.4,>=61.5% to <72.0%,>=89.91 to <94.69,>0.28 to <=0.49,>40 to <=60,>11% to <=15%,>=80% to <82%,>=83% to <84%,>=90% to <91%,>=85.0 to <97.8,>14.0% to <=22.2%,>=83.2% to <86.0%,>=70.7% to <74.9%,>=70.1% to <74.8%,>=67.4% to <70.8%,,,,
,,2,>2:15 to <=3:31,>=72.9 to <77.3,>3.4 to <=27.6,>=33.3% to <61.5%,>=82.68 to <89.91,>0.49 to <=0.68,>20 to <=40,>15% to <=19%,>=77% to <80%,>=81% to <83%,>=88% to <90%,NA,>22.2% to <=25.1%,>=81.5% to <83.2%,>=67.4% to <70.7%,>=66.3% to <70.1%,>=61.6% to <67.4%,,,,
,,1,NA,>=7.0 to <72.9,>27.6 to <=46.1,>=0.0% to <33.3%,>=6.38 to <82.68,>0.68 to <=64.29,>=0 to <=20,>19% to <=67%,<77%,<81%,<88%,NA,>25.1% to <=49.8%,>=33.3% to <81.5%,>=27.3% to <67.4%,>=48.9% to <66.3%,>=29.4% to <61.6%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Star Rating Legend,,,,,,,,,,,,,,,,,,,,,,
,5 = Excellent,,,,,,,,,,,,,,,,,,,,,,
,4 = Above Average,,,,,,,,,,,,,,,,,,,,,,
,3 = Average,,,,,,,,,,,,,,,,,,,,,,
,2 = Below Average,,,,,,,,,,,,,,,,,,,,,,
,1 = Poor,,,,,,,,,,,,,,,,,,,,,,
,N/A = Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"NA* applies due to rounding and the placement of the predetermined 4-star cutoff, no contracts were assigned 4 base stars; all contracts meeting the cutoff for 4 base stars also met the cutoff for 5 base stars. However after application of the further criteria of significance and reliability, some plans with 5 base stars may have been assigned 4 final stars.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
