2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H0294,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0302,Local CCP,"BANNER MEDISUN, INC.",Banner MediSun,Banner Health,0:48,75.3,0.0,Not enough data available to calculate measure,99.30,0.10,80,6%,88%,85%,94%,96.7,13.8%,81.6%,79.8%,77.3%,73.4%
H0303,Local CCP,"PACIFICARE OF ARIZONA, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",0:58,76.9,0.1,Not enough data available to calculate measure,96.45,0.21,40,10%,83%,84%,91%,98.2,19.6%,85.2%,72.4%,72.9%,70.2%
H0307,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:29,84.1,3.0,No appeals required review,75.40,0.54,80,18%,81%,81%,88%,96.0,18.2%,84.9%,73.8%,72.6%,68.9%
H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA,  INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:58,76.9,0.0,Not enough data available to calculate measure,96.67,0.48,40,11%,88%,83%,93%,98.4,15.7%,84.1%,71.5%,72.6%,68.8%
H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:29,84.1,2.4,Not enough data available to calculate measure,86.43,0.66,100,19%,78%,81%,91%,96.4,18.7%,83.4%,75.9%,74.9%,72.3%
H0318,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,22.4,Not enough data available to calculate measure,Not enough data available to calculate measure,1.29,0,35%,85%,80%,89%,98.8,11.0%,87.6%,67.2%,73.4%,67.8%
H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:58,No data available,0.0,No appeals required review,87.62,0.29,60,2%,No data available,No data available,No data available,96.9,22.1%,82.4%,70.6%,69.5%,67.3%
H0320,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Desert Canyon Community Care,Arcadian Management Services Inc.,No data available,No data available,0.0,No appeals required review,90.13,0.19,0,9%,76%,81%,90%,98.2,18.8%,82.1%,68.2%,69.3%,62.6%
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:58,No data available,0.0,Not enough data available to calculate measure,94.99,0.21,80,6%,76%,82%,88%,98.0,26.7%,85.8%,67.5%,64.8%,63.5%
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"KS Plan Administrators, LLC",2:05,82.6,14.1,Not enough data available to calculate measure,98.62,0.21,80,3%,83%,88%,91%,97.8,24.6%,90.0%,74.9%,73.4%,69.5%
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",No data available,No data available,0.4,Not enough data available to calculate measure,78.24,0.21,0,19%,83%,85%,92%,98.5,20.0%,84.2%,70.4%,71.1%,67.5%
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA HealthCare of Arizona,CIGNA,0:45,88.2,12.9,Not enough data available to calculate measure,93.15,0.16,51,6%,88%,86%,90%,96.2,19.7%,83.3%,74.0%,76.4%,75.4%
H0401,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,No appeals required review,95.54,0.18,60,18%,88%,85%,92%,98.3,21.7%,81.7%,76.4%,69.5%,73.0%
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,60,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,24.4%,71.1%,27.3%,68.8%,80.3%
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,0:17,15.5,0.0,Not enough data available to calculate measure,83.20,0.62,60,16%,No data available,80%,88%,97.0,12.8%,89.0%,70.6%,63.0%,56.7%
H0490,Local CCP,MOLINA HEALTHCARE OF OHIO,Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0:45,81.3,Not enough data available to calculate measure,Not enough data available to calculate measure,90.18,Not enough data available to calculate measure,49,Not enough data available to calculate measure,No data available,No data available,No data available,103.0,25.6%,81.0%,71.8%,70.2%,62.9%
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,0:07,78.8,7.4,40.0%,95.90,0.20,80,7%,83%,86%,91%,96.8,19.7%,85.2%,74.9%,75.3%,72.6%
H0523,Local CCP,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Medicare,Aetna Inc.,No data available,No data available,18.0,55.6%,Not enough data available to calculate measure,0.23,0,16%,84%,82%,90%,98.0,12.8%,85.2%,73.6%,73.0%,70.7%
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",0:14,76.3,2.5,94.2%,90.75,0.11,80,1%,91%,91%,94%,98.4,12.7%,87.8%,84.7%,83.9%,81.6%
H0543,Local CCP,UNITEDHEALTHCARE OF CALIFORNIA,UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,0.2,76.9%,95.30,0.35,20,7%,84%,86%,92%,98.0,19.0%,84.7%,74.5%,74.9%,72.5%
H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",0:20,49.3,0.3,Not enough data available to calculate measure,92.43,0.15,80,6%,84%,90%,92%,97.4,21.5%,86.0%,73.3%,72.5%,67.1%
H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,0:35,76.8,0.0,Not enough data available to calculate measure,95.95,0.08,80,6%,87%,88%,93%,97.3,22.4%,82.9%,76.5%,74.3%,70.4%
H0562,Local CCP,HEALTH NET OF CALIFORNIA,Health Net of California,"Health Net, Inc.",No data available,No data available,7.0,70.0%,38.68,0.21,0,9%,84%,87%,92%,98.5,19.6%,85.7%,73.0%,73.8%,71.3%
H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",1:05,69.1,4.2,Not enough data available to calculate measure,89.28,0.42,60,15%,82%,83%,90%,94.2,18.2%,83.9%,69.4%,70.9%,68.3%
H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,0:31,67.1,1.3,Not enough data available to calculate measure,89.76,0.02,80,4%,86%,82%,87%,100.5,13.3%,81.4%,80.1%,82.1%,77.3%
H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",Not required to report,Not required to report,1.5,Not enough data available to calculate measure,83.24,0.08,80,4%,87%,84%,92%,96.5,18.6%,84.7%,75.5%,77.7%,72.4%
H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,77.5,0.0,60.0%,96.75,0.27,20,5%,84%,84%,92%,98.2,18.4%,86.2%,72.3%,73.7%,70.7%
H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,No data available,0.0,Not enough data available to calculate measure,80.15,0.24,60,3%,No data available,No data available,No data available,91.6,16.0%,70.3%,85.4%,78.4%,75.3%
H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,0:26,85.3,0.0,Not enough data available to calculate measure,96.40,0.00,80,10%,80%,83%,87%,99.1,23.2%,88.2%,71.9%,67.7%,67.4%
H0623,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:29,84.5,0.0,Not enough data available to calculate measure,81.75,0.73,80,14%,82%,84%,89%,96.7,16.5%,89.2%,75.1%,76.1%,74.5%
H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,No data available,0.0,Not enough data available to calculate measure,95.96,0.37,60,5%,78%,86%,92%,98.3,24.1%,87.0%,68.2%,69.9%,68.1%
H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",0:15,76.3,1.5,Not enough data available to calculate measure,89.91,0.10,80,1%,85%,90%,93%,99.1,8.2%,88.3%,77.8%,77.8%,79.4%
H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,95.96,0.63,60,7%,75%,82%,88%,98.0,19.2%,87.3%,70.2%,69.3%,63.8%
H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,6.6,Not enough data available to calculate measure,94.80,0.30,80,17%,74%,79%,87%,98.8,13.5%,88.5%,64.3%,64.1%,57.3%
H0752,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,95.01,0.87,60,16%,89%,84%,93%,98.1,12.5%,82.0%,74.0%,75.4%,70.8%
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,85.4,0.6,62.5%,92.48,0.65,80,24%,81%,81%,91%,97.8,14.1%,82.1%,75.3%,77.3%,71.4%
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",0:24,No data available,6.3,No appeals required review,99.68,0.37,100,17%,77%,83%,90%,97.6,20.6%,93.8%,67.1%,68.4%,72.8%
H0901,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,96.8,6.2%,94.3%,53.5%,62.0%,58.7%
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,0:16,No data available,Not enough data available to calculate measure,No appeals required review,99.25,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,22.6%,89.6%,66.5%,48.9%,55.3%
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,0.0,No appeals required review,94.01,0.21,80,27%,80%,79%,No data available,99.1,13.8%,90.0%,58.7%,55.8%,45.8%
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America¿s 1st Choice Insurance Company of NC, Inc.",0:13,91.7,0.0,No appeals required review,95.29,0.80,80,14%,84%,90%,93%,97.7,22.6%,84.9%,74.5%,69.9%,66.5%
H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Care Inc.,0:23,84.9,1.3,Not enough data available to calculate measure,96.52,0.30,40,18%,83%,88%,92%,98.3,23.6%,84.5%,73.2%,71.5%,60.8%
H1016,Local CCP,"AVMED, INC",AvMed Medicare,"AvMed, Inc.",0:12,86.0,0.4,Not enough data available to calculate measure,99.53,0.21,80,10%,82%,88%,93%,94.9,16.6%,83.0%,67.0%,70.7%,60.4%
H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,0:34,84.7,0.6,Not enough data available to calculate measure,96.88,0.22,80,17%,No data available,84%,91%,96.2,28.8%,86.5%,71.4%,70.2%,59.1%
H1026,Local CCP,"HEALTH OPTIONS, INC","Health Options, Inc / Blue Cross Blue Shield of FL",Blue Cross and Blue Shield of Florida,0:37,53.4,0.0,Not enough data available to calculate measure,89.51,0.36,80,28%,77%,78%,88%,98.6,11.5%,80.6%,68.9%,72.3%,63.2%
H1032,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,2.1,80.0%,91.78,0.38,60,19%,76%,85%,90%,98.8,26.1%,86.1%,68.9%,69.0%,65.2%
H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,0:15,75.9,0.0,No appeals required review,93.83,0.09,80,6%,86%,88%,95%,97.3,24.7%,83.9%,79.4%,76.9%,73.2%
H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,0:34,84.0,0.3,Not enough data available to calculate measure,79.60,0.27,100,9%,No data available,87%,92%,95.6,25.8%,84.6%,73.6%,72.0%,65.7%
H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.",Preferred Care Partners Holding Corp,0:19,73.4,0.0,41.2%,97.50,0.31,60,10%,88%,90%,93%,97.7,25.5%,84.7%,79.2%,78.1%,67.2%
H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care Inc.,0:23,84.9,3.3,Not enough data available to calculate measure,94.78,0.44,20,30%,80%,86%,91%,98.6,21.4%,85.3%,72.7%,68.7%,62.2%
H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,97.55,0.30,40,20%,85%,83%,93%,98.3,19.6%,81.2%,70.0%,70.8%,64.8%
H1099,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Medicare Plans,Health First,0:48,82.6,0.0,Not enough data available to calculate measure,98.40,0.16,100,5%,93%,82%,92%,98.2,21.9%,84.9%,73.3%,73.5%,70.0%
H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,96.43,0.58,40,6%,86%,85%,92%,97.5,26.7%,83.2%,62.7%,64.3%,54.6%
H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,No data available,No data available,19.3,Not enough data available to calculate measure,Not enough data available to calculate measure,0.41,0,23%,84%,79%,88%,98.1,10.5%,85.4%,68.3%,66.1%,60.3%
H1110,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,0.40,0,12%,No data available,No data available,No data available,96.9,9.8%,85.4%,67.6%,78.5%,68.4%
H1111,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,95.01,0.45,40,15%,77%,86%,93%,97.9,32.1%,80.6%,62.4%,60.5%,58.4%
H1112,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,5.3,Not enough data available to calculate measure,95.80,0.56,60,16%,71%,83%,89%,98.7,21.1%,86.9%,62.3%,61.9%,55.0%
H1170,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",0:12,76.3,0.7,No appeals required review,87.36,0.36,80,4%,89%,89%,92%,98.5,13.3%,85.6%,72.8%,76.3%,70.1%
H1216,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",0:19,86.1,8.5,No appeals required review,95.05,0.64,80,20%,78%,79%,87%,99.1,14.5%,83.1%,61.6%,57.5%,51.4%
H1230,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",0:13,76.3,0.0,No appeals required review,89.91,0.11,80,2%,89%,91%,95%,98.1,8.9%,92.4%,78.4%,80.7%,77.9%
H1251,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,Not required to report,Not required to report,0.0,0.0%,43.26,0.17,100,40%,No data available,84%,91%,97.5,12.7%,84.1%,76.2%,75.1%,70.9%
H1264,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",0:19,86.1,5.5,Not enough data available to calculate measure,95.32,0.67,60,29%,75%,81%,85%,98.7,21.0%,88.0%,58.9%,58.7%,52.7%
H1286,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,1.3,Not enough data available to calculate measure,94.39,0.36,40,10%,83%,83%,92%,98.3,18.9%,87.1%,77.0%,72.4%,72.2%
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0:34,84.1,No data available,No appeals required review,77.27,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H1302,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0:33,92.7,Not enough data available to calculate measure,Not enough data available to calculate measure,14.80,0.19,100,7%,86%,81%,92%,95.9,16.9%,89.5%,81.7%,76.3%,61.3%
H1303,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,77.5,0.0,Not enough data available to calculate measure,94.62,0.19,60,5%,85%,85%,93%,98.2,20.5%,87.6%,70.8%,73.3%,70.9%
H1304,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,The Regence Group,0:52,85.5,0.0,No appeals required review,96.32,0.33,80,10%,88%,83%,93%,95.6,23.5%,83.8%,76.4%,76.0%,73.8%
H1350,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0:33,92.7,5.7,40.0%,30.64,0.12,100,14%,87%,85%,94%,96.0,24.9%,84.7%,74.9%,77.4%,74.5%
H1355,Local CCP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,"HealthSpring, Inc.",0:18,83.2,Not enough data available to calculate measure,No appeals required review,84.53,Not enough data available to calculate measure,39,Not enough data available to calculate measure,No data available,No data available,No data available,95.1,31.6%,86.3%,29.1%,61.1%,65.2%
