contractid,contract_name,breastcancer_screen,rectalcancer_screen,cv_cholscreen,diabetes_cholscreen,glaucoma_test,monitoring,flu_vaccine,pn_vaccine,primaryaccess,hospital_followup,depression_followup,nodelays,carequickly,overallrating_care,overallrating_plan,calltime,doctor_communicate,osteo_manage,diabetes_eye,diabetes_kidney,diabetes_bloodsugar,diabetes_chol,antidepressant,bloodpressure,ra_manage,copd_test,betablocker,appeals_timely,appeals_review,new_contract,year,org_type,org_marketing,physical_health,mental_health,osteo_test,physical_monitor,customer_service,bladder,falling,partc_score,cv_diab_cholscreen,diab_healthy,complaints_plan,leave_plan,audit_problems,hold_times,info_accuracy,ttyt_available,diab_cholscreen,corrective_action,low_score,partcd_score,org_parent,bmi_assess,older_medication,older_function,older_pain,readmissions,access_problems,coordination,improve,enroll_timely,specialneeds_manage
H0303,"PACIFICARE OF ARIZONA, INC",3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0307,"HUMANA HEALTH PLAN, INC.",1.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0316,UNITEDHEALTHCARE OF ARIZONA INC,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,,,4.0,3.0,3.0,2.0,1.0,4.0,,3.0,3.0,2.0,2.0,,3.0,5.0,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0317,HUMANA INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0318,AETNA HEALTH INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0319,UNITED HEALTHCARE INSURANCE COMPANY,,,,2.0,,2.0,5.0,5.0,4.0,,,4.0,4.0,,3.0,1.0,,,2.0,,,,,,2.0,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0320,"ARCADIAN HEALTH PLAN, INC.",,,,4.0,,2.0,1.0,2.0,4.0,,,3.0,3.0,2.0,2.0,,,,1.0,4.0,2.0,3.0,,2.0,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321,"ARIZONA PHYSICIANS IPA, INC.",1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,,3.0,,3.0,3.0,,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0322,AETNA LIFE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,"KS PLAN ADMINISTRATORS, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351,"HEALTH NET OF ARIZONA, INC.",2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354,"CIGNA HEALTHCARE OF ARIZONA, INC.",4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,5.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0370,COVENTRY HEALTH AND LIFE INSURANCE CO. (SOUTH DAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0401,"UNITEDHEALTHCARE OF ARKANSAS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0408,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423,"METROPLUS HEALTH PLAN, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0427,"CLEAR CHOICE HEALTH PLANS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504,CALIFORNIA PHYSICIANS' SERVICE,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523,"AETNA HEALTH OF CALIFORNIA,INC.",2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,"KAISER FOUNDATION HP, INC.",5.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0532,WESTERN HEALTH ADVANTAGE,3.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,,,4.0,4.0,3.0,3.0,5.0,5.0,,3.0,4.0,3.0,3.0,,3.0,,2.0,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0540,UNICARE LIFE AND HEALTH INS. COMPANY,,,,,,,3.0,3.0,,,,4.0,4.0,3.0,3.0,,5.0,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543,PACIFICARE OF CALIFORNIA/SECURE HORIZONS,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544,CAREMORE HEALTH PLAN,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545,"INTER VALLEY HEALTH PLAN, INC.",4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,5.0,,1.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562,HEALTH NET_OF CA,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0564,BLUE CROSS OF CALIFORNIA,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571,CHINESE COMMUNITY HEALTH PLAN,3.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0,,,,,,2.0,5.0,,1.0,4.0,3.0,3.0,2.0,,3.0,1.0,1.0,,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0602,ROCKY MOUNTAIN HEALTH PLANS,4.0,4.0,3.0,3.0,3.0,1.0,4.0,5.0,5.0,,1.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609,"PACIFICARE OF COLORADO, INC",3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0620,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0621,COLORADO ACCESS,,,,,,1.0,3.0,4.0,3.0,5.0,,3.0,3.0,3.0,2.0,5.0,,,1.0,3.0,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0623,HUMANA INSURANCE COMPANY,,,,3.0,,2.0,3.0,3.0,5.0,,,4.0,4.0,3.0,2.0,3.0,4.0,,2.0,4.0,1.0,1.0,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,4.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630,KAISER FOUNDATION HP OF CO,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,,1.0,,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0710,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0712,"WELLCARE OF CONNECTICUT, INC.",,,,3.0,,3.0,2.0,1.0,4.0,,,,,,2.0,4.0,,,2.0,3.0,2.0,2.0,,3.0,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0747,EDUCATORS MUTUAL INSURANCE ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0752,"OXFORD HEALTH PLANS (CT), INC.",3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,,,4.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,2.0,5.0,,3.0,,2.0,,5.0,1.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0755,HEALTH NET OF CONNECTICUT,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,2.0,3.0,4.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0768,AETNA LIFE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0806,"ALTIUS HEALTH PLANS, INC. (WYOMING)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0838,HMO CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0846,FIRST HEALTH LIFE AND HEALTH INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0901,AETNA HEALTH INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0902,AETNA LIFE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0908,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0913,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0967,"WELLCARE HEALTH INSURANCE OF ILLINOIS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0974,HMO MINNESOTA D/B/A BLUE PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1013,"VISTA HEALTHPLAN OF SOUTH FLORIDA, INC.",3.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,,1.0,3.0,,2.0,2.0,2.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,,2.0,2.0,4.0,3.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1016,"AVMED, INC",3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,,1.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1019,CARE PLUS HEALTH PLAN,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1026,"HEALTH OPTIONS, INC",3.0,4.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0,,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1032,"WELL CARE OF FLORIDA, INC.",3.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1035,"FLORIDA HEALTH CARE PLAN, INC.",4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1036,"HUMANA MEDICAL PLAN, INC",3.0,3.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1045,PREFERRED CARE PARTNERS INC.,4.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,,1.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1076,"VISTA HEALTHPLAN, INC.",3.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,,1.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,,2.0,1.0,,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1080,"UNITED HEALTHCARE OF FL, INC.",3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1099,"HEALTH FIRST HEALTH PLANS, INC.",4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,5.0,2.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1108,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1109,AETNA HEALTH INC.(GEORGIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1110,AETNA LIFE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1111,"UNITED HEALTHCARE OF GEORGIA, INC.",,,,,,,1.0,1.0,,,,4.0,,,3.0,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1112,"WELLCARE OF GEORGIA, INC.",,,,,,,1.0,1.0,,,,,,,2.0,,4.0,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1170,"KAISER FOUNDATION HP OF GA, INC.",5.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,1.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1216,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1230,"KAISER FOUNDATION HP, INC.",5.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,,1.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1251,HAWAII MED. SRVC. ASSN.,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1254,"UPMC HEALTH BENEFITS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1264,"WELLCARE OF TEXAS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1286,UNITED HEALTHCARE INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1302,BLUE CROSS OF IDAHO HLTH SERVICES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1303,UNITED HEALTHCARE INSURANCE COMPANY,,,,2.0,,2.0,2.0,3.0,4.0,,,4.0,4.0,3.0,2.0,1.0,4.0,,1.0,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1304,REGENCE BLUE SHIELD OF IDAHO,,,,3.0,,3.0,3.0,3.0,5.0,,,4.0,4.0,4.0,3.0,4.0,5.0,,3.0,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1340,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1349,REGENCE BLUESHIELD OF IDAHO.,2.0,1.0,2.0,2.0,4.0,1.0,,,5.0,,,,,,,3.0,,1.0,4.0,3.0,2.0,2.0,,2.0,2.0,1.0,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1350,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",3.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,,,4.0,4.0,3.0,3.0,2.0,5.0,,3.0,3.0,2.0,2.0,,5.0,4.0,2.0,,5.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1364,"UNISON HEALTH PLAN OF OHIO, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1406,"HUMANA HEALTH PLAN, INC.",3.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1415,"HEALTHSPRING, INC.",,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,4.0,,2.0,3.0,2.0,4.0,,1.0,3.0,,,,1.0,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1416,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",,,,2.0,,1.0,2.0,1.0,2.0,,,4.0,,3.0,2.0,4.0,4.0,,1.0,4.0,1.0,1.0,,1.0,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1417,HEALTH ALLIANCE MEDICAL PLANS,,,,,,,4.0,4.0,,,,4.0,4.0,4.0,4.0,,5.0,,,,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1418,HUMANA INSURANCE COMPANY,,1.0,,3.0,,2.0,2.0,1.0,4.0,5.0,,4.0,4.0,3.0,2.0,3.0,5.0,,1.0,4.0,1.0,1.0,,,,,,5.0,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
