2014 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H0154,Local CCP,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,90%,CMS identified issues with this plan's data,64%,0.10,80,7%,Medicare shows only a Star Rating for this topic,87%,92%,98,9%,84%,69%,71%,66%
H0192,Demo,Amerihealth VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0248,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,0.0,Not enough data available,0.69,100,34%,Medicare shows only a Star Rating for this topic,83%,87%,98,1%,91%,74%,75%,69%
H0251,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",97%,3.2,77%,0.27,0,11%,Medicare shows only a Star Rating for this topic,88%,95%,99,18%,83%,66%,66%,64%
H0281,Demo,IlliniCare Health Plan,ILLINICARE HEALTH PLAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",92%,Not enough data available,Not enough data available,0.65,80,Not enough data available,Not enough data available,No data available,No data available,99,8%,85%,83%,71%,68%
H0302,Local CCP,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",96%,0.9,No data available,0.08,80,6%,Medicare shows only a Star Rating for this topic,85%,91%,97,4%,85%,79%,80%,75%
H0303,Local CCP,UnitedHealthcare,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",90%,0.4,79%,0.19,0,7%,Medicare shows only a Star Rating for this topic,84%,91%,99,7%,85%,74%,77%,72%
H0316,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",93%,0.4,75%,0.26,0,13%,Medicare shows only a Star Rating for this topic,82%,92%,99,6%,86%,74%,77%,72%
H0317,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,98%,1.0,Not enough data available,0.36,100,16%,Medicare shows only a Star Rating for this topic,84%,88%,98,1%,86%,79%,80%,75%
H0318,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,97%,0.0,Not enough data available,0.63,20,13%,Medicare shows only a Star Rating for this topic,82%,92%,99,4%,90%,75%,76%,70%
H0319,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,0.0,No data available,0.17,0,4%,Medicare shows only a Star Rating for this topic,No data available,No data available,99,12%,71%,88%,82%,75%
H0320,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",98%,4.0,Not enough data available,2.03,80,19%,Medicare shows only a Star Rating for this topic,76%,88%,98,3%,81%,74%,71%,69%
H0321,Local CCP,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",97%,3.0,67%,0.26,0,7%,Medicare shows only a Star Rating for this topic,87%,92%,99,11%,86%,68%,69%,65%
H0332,Local CCP,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",95%,0.6,71%,0.10,80,10%,Medicare shows only a Star Rating for this topic,87%,93%,99,1%,89%,76%,77%,71%
H0336,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Local CCP,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",13%,0.5,80%,0.23,80,12%,Medicare shows only a Star Rating for this topic,84%,91%,98,9%,86%,73%,76%,71%
H0354,Local CCP,Cigna HealthCare of Arizona,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,89%,2.8,Not enough data available,0.17,80,4%,Medicare shows only a Star Rating for this topic,90%,93%,98,6%,84%,77%,79%,76%
H0408,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,Not enough data available,No data available,Not enough data available,0,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0423,Local CCP,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,91%,17.0,No data available,0.20,10,16%,Medicare shows only a Star Rating for this topic,82%,88%,99,5%,90%,73%,69%,63%
H0435,Local CCP,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","The Oklahoma City Clinic, P.C.",14%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0439,Local CCP,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,Demo,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",80%,Not enough data available,No data available,Not enough data available,100,Not enough data available,Not enough data available,No data available,No data available,98,3%,84%,78%,67%,64%
H0504,Local CCP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,91%,2.3,Not enough data available,0.23,80,7%,Medicare shows only a Star Rating for this topic,88%,92%,99,7%,87%,75%,77%,73%
H0523,Local CCP,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,97%,1.2,100%,0.28,20,11%,Medicare shows only a Star Rating for this topic,85%,91%,99,4%,85%,73%,76%,71%
H0524,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",96%,0.4,92%,0.10,80,1%,Medicare shows only a Star Rating for this topic,92%,94%,100,2%,88%,84%,85%,81%
H0543,Local CCP,UnitedHealthcare,"UHC OF CALIFORNIA, INC.","UnitedHealth Group, Inc.",90%,0.3,73%,0.24,0,7%,Medicare shows only a Star Rating for this topic,85%,92%,99,6%,86%,76%,77%,73%
H0544,Local CCP,CareMore Health Plan,CAREMORE HEALTH PLAN,"WellPoint, Inc.",85%,0.6,60%,0.18,40,8%,Medicare shows only a Star Rating for this topic,88%,92%,99,4%,89%,74%,76%,70%
H0545,Local CCP,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,98%,0.0,Not enough data available,0.06,80,6%,Medicare shows only a Star Rating for this topic,89%,92%,99,6%,85%,76%,77%,73%
H0562,Local CCP,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",18%,1.9,80%,0.21,80,8%,Medicare shows only a Star Rating for this topic,86%,92%,98,8%,88%,74%,76%,73%
H0564,Local CCP,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",95%,0.0,No data available,0.78,60,13%,Medicare shows only a Star Rating for this topic,82%,90%,97,6%,87%,71%,73%,70%
H0571,Local CCP,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,86%,0.0,No data available,0.02,60,5%,Medicare shows only a Star Rating for this topic,82%,87%,94,1%,90%,84%,84%,79%
H0602,1876 Cost,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",Plan not required to report measure,No data available,Not enough data available,0.05,100,4%,Medicare shows only a Star Rating for this topic,83%,91%,97,8%,85%,77%,79%,75%
H0609,Local CCP,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",93%,0.5,92%,0.21,0,4%,Medicare shows only a Star Rating for this topic,83%,92%,99,7%,87%,75%,78%,73%
H0620,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,4.6,No data available,0.07,0,3%,Medicare shows only a Star Rating for this topic,No data available,No data available,99,7%,75%,84%,82%,68%
H0621,Local CCP,Colorado Access Advantage,COLORADO ACCESS,Colorado Access,94%,6.1,Not enough data available,0.10,80,6%,Medicare shows only a Star Rating for this topic,83%,87%,98,3%,88%,71%,72%,71%
H0624,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,5.1,No data available,0.14,0,9%,Medicare shows only a Star Rating for this topic,86%,90%,99,14%,85%,70%,76%,73%
H0630,Local CCP,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",96%,0.1,Not enough data available,0.11,100,2%,Medicare shows only a Star Rating for this topic,91%,95%,100,3%,89%,80%,82%,80%
H0710,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,0.0,Not enough data available,0.19,0,1%,Medicare shows only a Star Rating for this topic,No data available,No data available,99,6%,83%,76%,76%,74%
H0712,Local CCP,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",98%,6.1,Not enough data available,0.43,80,13%,Medicare shows only a Star Rating for this topic,79%,88%,99,3%,88%,70%,73%,66%
H0755,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",93%,1.4,73%,0.18,0,9%,Medicare shows only a Star Rating for this topic,81%,91%,99,4%,83%,77%,80%,73%
H0773,Demo,Health Alliance Connect,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0811,Demo,GuildNet Gold Plus,"GUILDNET, INC.",Jewish Guild Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Local CCP,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",73%,0.0,No data available,0.32,80,13%,Medicare shows only a Star Rating for this topic,86%,90%,99,14%,91%,70%,72%,71%
H0840,Local CCP,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0879,Local CCP,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,76%,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0901,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,97%,Not enough data available,No data available,Not enough data available,20,Not enough data available,Not enough data available,No data available,No data available,99,2%,88%,61%,63%,59%
H0908,Local CCP,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,95%,0.0,Not enough data available,0.33,31,18%,Not enough data available,82%,No data available,99,13%,90%,66%,59%,55%
H0913,Local CCP,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",98%,0.0,No data available,0.20,60,25%,Medicare shows only a Star Rating for this topic,79%,85%,99,2%,89%,62%,64%,51%
H0927,Demo,Blue Cross Blue Shield of IL,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",92%,3.5,No data available,1.00,100,19%,Medicare shows only a Star Rating for this topic,84%,91%,99,8%,83%,71%,70%,67%
H1013,Local CCP,Coventry Health Plan of Florida,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Aetna Inc.,92%,0.0,No data available,0.23,80,13%,Medicare shows only a Star Rating for this topic,91%,93%,99,6%,88%,76%,77%,65%
H1016,Local CCP,AvMed Medicare,"AVMED, INC.","AvMed, Inc.",98%,2.2,Not enough data available,0.05,60,10%,Medicare shows only a Star Rating for this topic,88%,92%,98,3%,86%,76%,79%,68%
H1019,Local CCP,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,96%,0.8,Not enough data available,0.25,100,13%,Medicare shows only a Star Rating for this topic,86%,91%,98,2%,90%,75%,76%,66%
H1026,Local CCP,Florida Blue HMO,"HEALTH OPTIONS, INC.",Blue Cross and Blue Shield of Florida,78%,1.6,58%,0.55,80,11%,Medicare shows only a Star Rating for this topic,88%,93%,99,5%,84%,76%,79%,71%
H1032,Local CCP,WellCare,"WELLCARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",98%,3.9,68%,0.33,80,15%,Medicare shows only a Star Rating for this topic,87%,90%,99,5%,87%,74%,74%,69%
H1035,Local CCP,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",Blue Cross and Blue Shield of Florida,78%,0.0,Not enough data available,0.09,80,5%,Medicare shows only a Star Rating for this topic,89%,92%,99,8%,83%,79%,79%,76%
H1036,Local CCP,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC.",Humana Inc.,98%,1.9,100%,0.25,100,7%,Medicare shows only a Star Rating for this topic,87%,91%,97,1%,90%,76%,77%,69%
H1045,Local CCP,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,"UnitedHealth Group, Inc.",99%,CMS identified issues with this plan's data,Not enough data available,0.42,80,9%,Medicare shows only a Star Rating for this topic,89%,92%,99,3%,87%,79%,81%,70%
H1076,Local CCP,Coventry Health Care of Florida,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Aetna Inc.,92%,0.0,No data available,0.14,80,18%,Medicare shows only a Star Rating for this topic,85%,90%,99,7%,89%,75%,70%,64%
H1080,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",90%,0.9,100%,0.33,0,19%,Medicare shows only a Star Rating for this topic,83%,91%,99,6%,80%,74%,75%,70%
H1099,Local CCP,"Health First Health Plans, Inc.",HEALTH FIRST HEALTH PLANS,Health First,95%,0.0,Not enough data available,0.15,100,4%,Medicare shows only a Star Rating for this topic,82%,92%,99,6%,82%,76%,78%,72%
H1108,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",88%,0.0,No data available,0.19,0,12%,Medicare shows only a Star Rating for this topic,87%,91%,99,11%,77%,66%,72%,64%
H1109,Local CCP,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),Aetna Inc.,97%,0.0,Not enough data available,0.20,20,9%,Medicare shows only a Star Rating for this topic,82%,90%,99,4%,83%,67%,72%,64%
H1110,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,97%,7.2,No data available,0.15,20,1%,Medicare shows only a Star Rating for this topic,86%,94%,99,4%,81%,71%,76%,72%
H1111,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",90%,1.7,Not enough data available,0.56,0,14%,Medicare shows only a Star Rating for this topic,86%,92%,99,8%,84%,69%,67%,63%
H1112,Local CCP,WellCare,"WELLCARE OF GEORGIA, INC.","WellCare Health Plans, Inc.",98%,1.3,Not enough data available,0.44,80,14%,Medicare shows only a Star Rating for this topic,84%,89%,99,5%,86%,65%,64%,60%
H1170,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",96%,0.0,No data available,0.34,100,3%,Medicare shows only a Star Rating for this topic,88%,92%,100,3%,88%,76%,78%,72%
H1216,Local CCP,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",98%,10.0,Not enough data available,0.65,80,24%,Medicare shows only a Star Rating for this topic,84%,89%,99,3%,87%,60%,65%,59%
H1230,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",96%,1.1,No data available,0.11,100,1%,Medicare shows only a Star Rating for this topic,90%,93%,98,3%,91%,80%,82%,79%
H1237,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1264,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",98%,3.1,Not enough data available,0.49,80,21%,Medicare shows only a Star Rating for this topic,84%,88%,99,4%,90%,62%,65%,57%
H1286,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",93%,0.7,100%,0.07,0,4%,Medicare shows only a Star Rating for this topic,82%,92%,99,7%,86%,77%,78%,76%
