2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H0251,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",5,2,4,3,1,4,3,5,5,4,1,2,1,1,2
H0281,Demo,IlliniCare Health Plan,ILLINICARE HEALTH PLAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,Not enough data available,Not enough data available,1,4,Not enough data available,Not enough data available,No data available,No data available,4,3,3,5,2,3
H0302,Local CCP,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",4,4,No data available,5,4,5,3,4,4,3,4,3,5,5,5
H0303,Local CCP,UnitedHealthcare,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",2,4,4,3,1,5,5,4,4,4,3,3,4,4,4
H0316,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",3,4,4,3,1,3,4,2,4,4,3,4,4,4,4
H0317,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,4,Not enough data available,2,5,2,5,4,2,4,5,4,5,5,5
H0318,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,5,Not enough data available,1,1,3,2,2,4,4,4,5,4,4,3
H0319,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,3,1,5,3,No data available,No data available,4,1,1,5,5,5
H0320,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",5,1,Not enough data available,1,4,2,3,1,2,4,5,1,4,2,3
H0321,Local CCP,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",5,2,2,3,1,5,4,4,4,4,2,4,2,2,2
H0332,Local CCP,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",4,4,3,5,4,4,4,4,4,4,5,5,4,4,4
H0336,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Local CCP,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",1,4,4,3,4,3,3,4,4,4,2,4,3,4,4
H0354,Local CCP,Cigna HealthCare of Arizona,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,2,2,Not enough data available,3,4,5,5,5,4,4,3,2,5,5,5
H0408,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0423,Local CCP,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,3,1,No data available,3,1,2,4,2,2,4,4,5,3,2,2
H0435,Local CCP,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","The Oklahoma City Clinic, P.C.",1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0439,Local CCP,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,Demo,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",1,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,4,5,2,5,1,2
H0504,Local CCP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,3,2,Not enough data available,3,4,5,3,5,4,4,3,5,4,4,4
H0523,Local CCP,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,5,4,5,3,1,4,4,4,4,4,4,3,3,4,4
H0524,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",4,4,5,5,4,5,3,5,5,5,5,5,5,5,5
H0543,Local CCP,UnitedHealthcare,"UHC OF CALIFORNIA, INC.","UnitedHealth Group, Inc.",2,5,4,3,1,5,5,4,4,4,3,4,4,4,4
H0544,Local CCP,CareMore Health Plan,CAREMORE HEALTH PLAN,"WellPoint, Inc.",1,4,2,3,2,5,4,5,4,4,4,5,4,4,3
H0545,Local CCP,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,5,5,Not enough data available,5,4,5,5,5,4,4,3,3,4,4,4
H0562,Local CCP,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",1,2,4,3,4,5,5,4,4,4,3,5,4,4,4
H0564,Local CCP,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",4,5,No data available,1,3,3,2,2,3,3,3,5,3,3,3
H0571,Local CCP,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,1,5,No data available,5,3,5,4,2,1,3,5,5,5,5,5
H0602,1876 Cost,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",Plan not required to report measure,No data available,Not enough data available,5,5,5,4,2,4,3,3,3,5,5,5
H0609,Local CCP,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",3,4,5,3,1,5,5,2,4,4,3,5,4,4,4
H0620,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,1,No data available,5,1,5,3,No data available,No data available,4,3,1,5,5,3
H0621,Local CCP,Colorado Access Advantage,COLORADO ACCESS,Colorado Access,3,1,Not enough data available,5,4,5,5,2,1,4,5,5,3,3,4
H0624,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,1,No data available,4,1,4,3,4,3,4,1,3,2,4,4
H0630,Local CCP,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",4,5,Not enough data available,4,5,5,5,5,5,5,5,5,5,5,5
H0710,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,Not enough data available,3,1,5,4,No data available,No data available,4,3,2,4,4,4
H0712,Local CCP,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",5,1,Not enough data available,2,4,3,4,1,2,4,5,5,2,3,2
H0755,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",3,3,4,3,1,4,5,1,4,4,4,2,5,5,4
H0773,Demo,Health Alliance Connect,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0811,Demo,GuildNet Gold Plus,"GUILDNET, INC.",Jewish Guild Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Local CCP,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",1,5,No data available,3,4,3,3,4,3,4,1,5,2,3,4
H0840,Local CCP,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0879,Local CCP,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0901,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,4,5,5,1,1,1
H0908,Local CCP,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,4,5,Not enough data available,2,2,2,Not enough data available,2,No data available,4,1,5,1,1,1
H0913,Local CCP,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",5,5,No data available,3,3,1,4,1,2,4,5,5,1,1,1
H0927,Demo,Blue Cross Blue Shield of IL,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3,1,No data available,1,5,2,1,4,4,4,3,2,3,2,2
H1013,Local CCP,Coventry Health Plan of Florida,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Aetna Inc.,3,5,No data available,3,4,3,5,5,4,4,3,5,4,4,2
H1016,Local CCP,AvMed Medicare,"AVMED, INC.","AvMed, Inc.",5,2,Not enough data available,5,3,4,5,5,4,4,5,4,4,5,3
H1019,Local CCP,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,4,4,Not enough data available,3,5,3,4,4,4,4,5,5,4,4,2
H1026,Local CCP,Florida Blue HMO,"HEALTH OPTIONS, INC.",Blue Cross and Blue Shield of Florida,1,3,1,1,4,4,5,5,5,4,4,2,4,5,4
H1032,Local CCP,WellCare,"WELLCARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",5,1,2,2,4,2,5,4,3,4,4,5,4,3,3
H1035,Local CCP,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",Blue Cross and Blue Shield of Florida,1,5,Not enough data available,5,4,5,2,5,4,4,3,2,5,5,5
H1036,Local CCP,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC.",Humana Inc.,5,2,5,3,5,5,4,4,4,3,5,5,4,4,3
H1045,Local CCP,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,"UnitedHealth Group, Inc.",5,1,Not enough data available,2,4,4,5,5,4,4,5,5,5,5,3
H1076,Local CCP,Coventry Health Care of Florida,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Aetna Inc.,3,5,No data available,4,4,2,4,4,3,4,3,5,4,2,2
H1080,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",2,4,5,2,1,2,3,2,4,4,3,1,4,4,3
H1099,Local CCP,"Health First Health Plans, Inc.",HEALTH FIRST HEALTH PLANS,Health First,4,5,Not enough data available,4,5,5,3,2,4,4,3,2,4,4,4
H1108,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,3,1,3,3,4,4,4,2,1,1,3,2
H1109,Local CCP,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),Aetna Inc.,5,5,Not enough data available,3,1,4,1,2,3,4,4,2,2,3,2
H1110,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,5,1,No data available,4,1,5,4,4,5,4,4,1,3,4,4
H1111,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",2,3,Not enough data available,1,1,3,4,4,4,4,3,2,2,1,2
H1112,Local CCP,WellCare,"WELLCARE OF GEORGIA, INC.","WellCare Health Plans, Inc.",5,4,Not enough data available,2,4,3,3,4,2,4,4,4,1,1,1
H1170,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",4,5,No data available,2,5,5,5,5,4,5,5,5,4,4,4
H1216,Local CCP,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",5,1,Not enough data available,1,4,1,3,4,2,4,5,5,1,1,1
H1230,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",4,4,No data available,4,5,5,4,5,5,4,5,5,5,5,5
H1237,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1264,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",5,2,Not enough data available,2,4,1,4,4,2,4,4,5,1,1,1
H1286,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,4,5,5,1,5,4,2,4,4,3,4,5,4,5
H1291,PFFS,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,5,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,4,5,2,4,5,4
H1302,Local CCP,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.","Blue Cross of Idaho Health Services, Inc.",4,1,Not enough data available,3,4,1,3,2,4,4,4,4,3,4,4
H1303,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,5,3,1,5,5,2,4,4,3,5,4,4,5
H1304,Local CCP,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,"Cambia Health Solutions, Inc.",3,1,Not enough data available,5,5,5,4,4,5,4,2,2,4,5,5
H1350,Local CCP,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.","Blue Cross of Idaho Health Services, Inc.",4,1,1,4,5,3,4,4,4,4,3,4,5,5,5
H1365,Local CCP,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",4,1,No data available,5,5,2,2,4,4,4,5,5,4,5,4
H1367,Local CCP,AmeriHealth Caritas VIP Plans,"AMERIHEALTH OF LOUISIANA, INC.",Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1406,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,5,4,Not enough data available,2,5,5,5,4,4,4,5,5,4,4,3
H1415,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,1,5,No data available,1,4,3,4,4,4,4,5,5,3,2,2
H1416,Local CCP,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",5,2,No data available,2,4,3,4,4,4,4,5,5,2,2,2
H1417,Local CCP,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,2,5,No data available,2,5,5,3,5,5,4,3,2,5,5,5
H1418,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,3,Not enough data available,2,5,4,3,2,1,4,5,3,5,5,4
H1419,Local CCP,Aetna Medicare,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,4,5,5,2,2,2
H1444,Local CCP,Total Medicare Plus,"TOTAL HEALTH CARE, INC.","Total Health Care, Inc.",2,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1463,Local CCP,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,2,5,No data available,5,5,5,3,5,5,4,3,3,5,5,5
H1468,Local CCP,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,5,5,Not enough data available,5,5,5,3,4,2,4,5,5,5,5,5
H1509,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,4,4,4,1,5,3,4,5,4,2,2,4,4,4
H1510,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,5,5,3,5,4,4,4,2,4,5,3,5,5,5
H1517,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",4,4,Not enough data available,1,2,1,3,2,4,3,2,5,5,5,5
