AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 HOME HEALTH REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,,
01110,ALABAMA                  ,CHOCTAW,"-17,059","-12,477","-18,112","-9,541","-11,229","-25,185","-13,367","-30,336","-10,893","-16,137",,,,,,
01120,ALABAMA                  ,CLARKE,"-49,600","-25,646","-51,373","-20,586","-18,212","-70,008","-40,602","-82,286","-36,774","-37,322",,,,,,
01130,ALABAMA                  ,CLAY,"-40,536","-17,320","-37,203","-10,678","-12,037","-22,018","-13,658","-21,636","-12,050","-13,304",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-21,781","-22,132","-24,630","-12,962","-19,814","-23,396","-17,182","-24,664","-12,345","-21,430",,,,,,
01150,ALABAMA                  ,COFFEE,"-86,939","-57,309","-84,286","-51,352","-66,037","-78,070","-53,583","-92,720","-53,342","-75,228",,,,,,
01160,ALABAMA                  ,COLBERT,"-127,706","-77,432","-158,366","-231,268","-259,453","-210,076","-114,818","-275,172","-466,104","-422,006",,,,,,
01170,ALABAMA                  ,CONECUH,"-33,042","-17,886","-20,135","-11,184","-13,450","-37,986","-28,340","-36,534","-19,152","-22,801",,,,,,
01180,ALABAMA                  ,COOSA,"-21,314","-12,519","-16,145","-8,935","-12,418","-16,544","-12,553","-22,463","-12,299","-12,036",,,,,,
01190,ALABAMA                  ,COVINGTON,"-88,912","-58,092","-88,014","-54,177","-61,285","-121,924","-88,853","-144,358","-66,637","-74,804",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-33,528","-22,723","-24,051","-11,696","-13,436","-34,725","-23,053","-33,860","-15,461","-20,824",,,,,,
01210,ALABAMA                  ,CULLMAN,"-149,127","-116,348","-133,371","-59,941","-74,470","-154,117","-107,852","-138,066","-86,161","-83,474",,,,,,
01220,ALABAMA                  ,DALE,"-94,994","-61,713","-129,758","-67,173","-71,216","-76,291","-59,451","-117,658","-64,635","-61,783",,,,,,
01230,ALABAMA                  ,DALLAS,"-74,605","-39,958","-49,756","-27,110","-32,860","-91,697","-57,128","-69,402","-35,086","-36,309",,,,,,
01240,ALABAMA                  ,DEKALB,"-115,733","-86,599","-103,553","-62,314","-59,686","-138,730","-113,365","-164,695","-75,806","-86,942",,,,,,
01250,ALABAMA                  ,ELMORE,"-30,965","-37,197","-74,559","-78,209","-98,802","-29,114","-38,211","-86,286","-79,742","-104,586",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-92,373","-55,914","-89,317","-46,433","-46,972","-159,963","-112,371","-176,786","-100,244","-95,351",,,,,,
01270,ALABAMA                  ,ETOWAH,"-182,205","-223,572","-166,807","-352,141","253,614","-230,072","-360,142","-212,014","-414,346","292,087",,,,,,
01280,ALABAMA                  ,FAYETTE,"-31,190","-15,302","-25,640","-16,838","-20,608","-31,554","-22,148","-33,006","-26,570","-25,360",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-80,459","-52,167","-84,555","-41,134","-51,256","-121,041","-87,249","-118,503","-84,141","-93,888",,,,,,
01300,ALABAMA                  ,GENEVA,"-50,913","-34,389","-86,085","-64,814","-82,032","-45,006","-35,066","-95,297","-68,655","-73,311",,,,,,
01310,ALABAMA                  ,GREENE,"-4,909","2,730",-422,"-4,657","-8,392","-8,371","8,442","-3,596","-15,277","-19,771",,,,,,
01320,ALABAMA                  ,HALE,"-8,555","6,695","-3,332","-16,603","-20,446","-12,495","13,492","-3,760","-28,509","-39,378",,,,,,
01330,ALABAMA                  ,HENRY,"-21,998","-14,294","-36,696","-30,598","-35,617","-21,429","-15,530","-43,192","-29,837","-41,052",,,,,,
01340,ALABAMA                  ,HOUSTON,"-101,719","-63,676","-207,462","-162,765","-159,891","-73,601","-61,675","-203,895","-155,301","-182,291",,,,,,
01350,ALABAMA                  ,JACKSON,"-105,554","-85,097","-117,918","-56,638","-66,041","-112,761","-98,498","-130,571","-64,635","-78,843",,,,,,
01360,ALABAMA                  ,JEFFERSON,"-771,383","-728,008","-653,414","-221,894","-305,950","-695,822","-715,225","-640,888","-248,721","-295,800",,,,,,
01370,ALABAMA                  ,LAMAR,"-40,427","-23,814","-23,917","-15,636","-19,520","-46,261","-32,968","-38,747","-22,477","-29,144",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-181,827","-91,807","-208,384","-307,624","-387,332","-202,650","-98,948","-264,851","-452,073","-452,381",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-107,421","-64,420","-69,296","-80,703","-46,429","-144,651","-70,930","-80,198","-100,979","-68,043",,,,,,
01400,ALABAMA                  ,LEE,"-106,055","-85,390","-21,214","-137,243","38,391","-111,188","-70,064","-20,760","-161,943","33,261",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-72,303","-82,869","-95,138","-78,584","-101,385","-114,104","-121,559","-135,428","-125,952","-155,222",,,,,,
01420,ALABAMA                  ,LOWNDES,"-4,708","-3,363","-8,615","-9,537","-12,958","-9,001","-9,206","-18,177","-23,902","-23,803",,,,,,
01430,ALABAMA                  ,MACON,"-21,348","-14,830","-21,402","-10,033","-11,775","-22,233","-13,638","-24,486","-12,709","-12,442",,,,,,
01440,ALABAMA                  ,MADISON,"-229,976","-272,252","-350,946","-397,660","-474,235","-210,035","-219,028","-311,234","-365,610","-490,798",,,,,,
01450,ALABAMA                  ,MARENGO,"-30,148","-16,688","-18,795","-10,289","-10,482","-53,632","-30,021","-40,745","-18,400","-15,482",,,,,,
01460,ALABAMA                  ,MARION,"-58,583","-42,828","-73,791","-38,264","-40,480","-85,448","-60,081","-97,870","-59,852","-59,459",,,,,,
01470,ALABAMA                  ,MARSHALL,"-167,603","-130,718","-178,726","-102,830","-87,875","-176,565","-143,221","-231,923","-139,944","-145,558",,,,,,
01480,ALABAMA                  ,MOBILE,"-432,121","-495,857","-485,216","-349,361","-517,969","-379,706","-408,310","-443,497","-340,003","-511,518",,,,,,
01490,ALABAMA                  ,MONROE,"-40,147","-25,819","-38,526","-17,109","-18,360","-71,224","-38,392","-54,288","-29,813","-35,234",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-89,350","-96,268","-223,306","-265,058","-387,622","-113,411","-111,392","-262,282","-311,055","-383,137",,,,,,
01510,ALABAMA                  ,MORGAN,"-375,401","-223,072","-314,964","-292,839","-186,673","-344,134","-222,833","-312,287","-347,519","-217,281",,,,,,
01520,ALABAMA                  ,PERRY,"-9,958","-6,735","-14,115","-4,260","-7,016","-30,941","-16,977","-22,277","-9,730","-11,312",,,,,,
01530,ALABAMA                  ,PICKENS,"-51,108","-28,635","-45,944","-20,925","-26,565","-127,001","-63,123","-122,205","-56,435","-85,108",,,,,,
01540,ALABAMA                  ,PIKE,"-43,866","-27,202","-40,192","-16,385","-21,533","-66,176","-43,032","-58,156","-31,564","-45,015",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-38,333","-28,477","-35,793","-13,639","-19,797","-41,308","-30,157","-34,310","-16,193","-27,191",,,,,,
01560,ALABAMA                  ,RUSSELL,"36,534","-39,429","-40,516","-70,380","-93,911","24,004","-26,379","-27,149","-38,753","-65,724",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-69,797","-69,057","-70,856","-22,862","-25,787","-55,235","-48,130","-48,118","-19,386","-18,893",,,,,,
01580,ALABAMA                  ,SHELBY,"-127,737","-103,148","-101,027","-38,064","-50,123","-108,975","-97,322","-99,194","-41,407","-53,155",,,,,,
01590,ALABAMA                  ,SUMTER,"-13,764","-7,273","-10,632","-5,636","-6,761","-31,726","-17,476","-31,661","-15,160","-18,751",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-139,170","-90,440","-110,591","-56,621","-61,846","-109,797","-80,299","-91,180","-55,524","-76,268",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-57,613","-39,519","-57,041","-31,043","-39,850","-73,029","-66,273","-85,610","-51,057","-67,210",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-47,675","75,977","-18,080","-171,940","-304,457","-66,495","103,705","-30,117","-315,605","-505,249",,,,,,
01630,ALABAMA                  ,WALKER,"-144,440","-141,961","-132,018","-42,563","-67,306","-239,386","-184,075","-168,826","-57,817","-79,019",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-33,113","-19,325","-25,644","-14,202","-8,877","-41,223","-33,959","-43,214","-26,299","-20,588",,,,,,
01650,ALABAMA                  ,WILCOX,"-20,778","-9,984","-17,722","-7,019","-9,358","-24,137","-12,547","-21,159","-9,916","-11,268",,,,,,
01660,ALABAMA                  ,WINSTON,"-56,046","-42,265","-64,297","-28,077","-30,503","-73,575","-47,214","-63,869","-33,334","-43,518",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,-76,224,155,127,208,35,98,93,21,0,,,,,,
02020,ALASKA                   ,ANCHORAGE,"41,935","69,118","70,351","53,208","45,692","42,549","56,732","61,213","42,257","54,431",,,,,,
02040,ALASKA                   ,BARROW DIVISION,-387,-385,0,-42,-228,115,68,-360,"-2,371",25,,,,,,
02050,ALASKA                   ,BETHEL,207,97,67,-382,-139,219,421,96,449,148,,,,,,
02060,ALASKA                   ,BRISTOL BAY,-91,-288,227,"-1,866",-516,-117,-161,-92,-257,-122,,,,,,
02070,ALASKA                   ,DILLINGHAM,"1,234",146,159,118,123,92,"1,881",145,0,2,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,-548,0,-22,3,60,0,0,9,417,0,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-8,961",-184,"-14,258","-13,134","-12,500","-5,422","-5,216","-26,970","-19,634","-15,603",,,,,,
02100,ALASKA                   ,HAINES,"1,089",169,224,-218,166,719,390,835,40,0,,,,,,
02110,ALASKA                   ,JUNEAU,"29,685","16,486","17,136","11,927","4,728","33,252","13,993","14,521","28,103","2,764",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"179,875","48,563","59,674","52,351","12,856","108,294","41,499","45,240","33,936","8,889",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"58,868","20,083","50,624","64,777","15,064","94,982","32,717","61,429","62,086","11,647",,,,,,
02140,ALASKA                   ,KOBUK,951,0,125,64,314,26,0,0,459,213,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"3,436","2,383","3,263","12,154",578,"8,078","1,296","5,686","13,406",896,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,144,56,226,297,0,0,122,0,0,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"17,986","28,473","24,926","17,657","21,929","9,800","13,199","17,698","15,530","20,597",,,,,,
02180,ALASKA                   ,NOME,-69,455,"1,372",376,81,52,351,700,35,0,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,632,"3,039",34,159,"1,169",0,0,0,0,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,15,-25,"1,458",454,0,-254,0,"2,788",517,,,,,,
02210,ALASKA                   ,SEWARD,"13,310","1,425",641,133,548,"11,666","1,384",83,"1,120",-340,,,,,,
02220,ALASKA                   ,SITKA,"15,521","5,348","3,540","5,669",398,"9,677","1,857","10,004","5,593","1,592",,,,,,
02230,ALASKA                   ,SKAGWAY,811,494,130,155,117,205,157,263,336,187,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,904,113,50,537,-102,-232,-172,-165,-138,-25,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,508,142,63,28,-94,0,0,0,0,0,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,502,773,"1,083",310,318,0,0,203,-46,71,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,9,774,239,165,45,0,548,119,5,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"3,055",466,"1,146","1,710",656,984,599,99,"1,249",155,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,612,181,6,-202,492,17,336,-320,-36,102,,,,,,
03000,ARIZONA                  ,APACHE,"2,743","3,403","4,306",251,151,"1,070","1,167","5,409","3,176",-668,,,,,,
03010,ARIZONA                  ,COCHISE,"13,026","28,982","22,984","10,249",359,"31,241","52,548","48,141","19,887","-3,745",,,,,,
03020,ARIZONA                  ,COCONINO,"90,518","100,234","134,757","68,255","-13,429","81,892","42,975","69,803","61,318","-10,243",,,,,,
03030,ARIZONA                  ,GILA,"18,048","34,370","42,151","30,106","3,691","15,501","28,551","27,758","17,547","2,684",,,,,,
03040,ARIZONA                  ,GRAHAM,"10,692","13,835","18,024","6,148",-181,"6,459","10,759","11,540","10,502","1,800",,,,,,
03050,ARIZONA                  ,GREENLEE,"2,056","2,673","3,635",287,-77,"1,062","2,073","4,685","3,198",769,,,,,,
03055,ARIZONA                  ,LA PAZ,"2,924","2,934",830,431,"-1,609","1,387","1,274","1,210",148,-128,,,,,,
03060,ARIZONA                  ,MARICOPA,"840,168","854,941","510,761","-670,073","-641,305","399,128","440,329","310,755","-455,206","-470,759",,,,,,
03070,ARIZONA                  ,MOHAVE,"74,515","98,897","28,826","-146,055","-104,935","29,135","51,310","18,905","-124,221","-77,907",,,,,,
03080,ARIZONA                  ,NAVAJO,"12,008","25,511","37,789","11,433",707,"6,285","10,479","15,524","9,774","3,145",,,,,,
03090,ARIZONA                  ,PIMA,"-115,436","-199,573","-213,826","-623,765","-545,378","-70,046","-101,450","-140,375","-491,554","-412,785",,,,,,
03100,ARIZONA                  ,PINAL,"50,340","51,774","32,390","-51,774","-42,096","24,510","27,223","22,868","-19,968","-25,820",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"1,193","1,330",672,"-1,349","-3,765","2,075","5,537","5,897",819,"-1,322",,,,,,
03120,ARIZONA                  ,YAVAPAI,"746,406","596,084","640,540","783,603","-90,128","296,071","229,146","355,311","485,603","-58,324",,,,,,
03130,ARIZONA                  ,YUMA,"99,977","15,694","56,075","105,890","63,073","48,314","6,624","25,841","64,093","36,838",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"1,378",-806,"-4,849","1,581","3,157",-799,"-1,804","-7,369",-133,"3,001",,,,,,
04010,ARKANSAS                 ,ASHLEY,"3,474","-1,957","-8,800","1,871","7,195","3,033",-19,"-7,970","1,853","6,609",,,,,,
04020,ARKANSAS                 ,BAXTER,-50,-621,"-6,819","1,590","12,184","2,018","-1,852","-8,491","2,886","11,519",,,,,,
04030,ARKANSAS                 ,BENTON,"165,460","227,769","180,527","257,438","303,473","135,845","200,567","163,582","209,888","322,572",,,,,,
04040,ARKANSAS                 ,BOONE,"5,300","-1,065","-14,198","2,866","10,472","2,794",-759,"-10,032","1,180","5,936",,,,,,
04050,ARKANSAS                 ,BRADLEY,"1,653",-668,"-3,811","1,005","5,245","5,267","-1,270","-13,137","3,584","11,397",,,,,,
04060,ARKANSAS                 ,CALHOUN,501,-212,"-2,515",556,"1,896","1,869",-304,"-3,526",685,"2,291",,,,,,
04070,ARKANSAS                 ,CARROLL,"3,225",312,"-4,711","2,101","9,250","6,164",561,"-4,625","2,584","8,433",,,,,,
04080,ARKANSAS                 ,CHICOT,"1,833","-3,088","-2,537",995,"3,954","1,986",-422,"-3,254",746,"4,552",,,,,,
04090,ARKANSAS                 ,CLARK,"1,853","-3,013","-7,752","1,988","5,093","2,216",-978,"-5,247","1,553","4,503",,,,,,
04100,ARKANSAS                 ,CLAY,"2,029","-1,346","-9,038","1,430","10,438","7,475","-2,031","-17,108","3,505","15,683",,,,,,
04110,ARKANSAS                 ,CLEBURNE,676,"-3,096","-11,929","2,571","10,820","2,852","-1,273","-12,764","1,229","10,445",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-10,682",116,"-1,428","11,969","-2,696","-18,535",572,"-1,617","18,314","-4,341",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"4,470",-833,"-6,164","1,632","7,328","6,604",-789,"-6,205","1,861","5,912",,,,,,
04140,ARKANSAS                 ,CONWAY,201,"-1,180","-4,444","1,098","2,889","1,729","-1,119","-3,213","1,073","3,631",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"76,346","48,064","31,857","73,065","62,136","71,735","35,533","30,415","53,687","58,202",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"16,346","-10,830","29,520",827,"46,814","30,457","-14,103","51,134","1,531","46,894",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-41,783","-29,728","-29,105","-33,587","-20,225","-40,443","-30,604","-43,244","-58,776","-53,633",,,,,,
04180,ARKANSAS                 ,CROSS,"2,113",-658,"-5,467","1,132","6,988","3,605",493,"-6,198","2,549","6,623",,,,,,
04190,ARKANSAS                 ,DALLAS,"1,697",-212,"-3,271",768,"2,083","2,971",-807,"-4,882","1,224","3,847",,,,,,
04200,ARKANSAS                 ,DESHA,"1,042",87,"-7,094","2,300","5,270","2,028",-577,"-12,473","3,482","10,830",,,,,,
04210,ARKANSAS                 ,DREW,"2,115",-34,"-11,323","3,498","12,172","2,812","-1,817","-11,201","3,380","15,786",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-43,725","-30,963","-9,831","9,234","12,364","-24,262","-13,815","-6,765","6,220","7,181",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"4,291","-2,887","11,816",584,"16,259","7,480","-2,772","12,304",659,"11,592",,,,,,
04240,ARKANSAS                 ,FULTON,"1,908",-504,"-6,364","1,584","6,297","3,427","-1,236","-10,989","2,591","14,144",,,,,,
04250,ARKANSAS                 ,GARLAND,"71,383","-60,019","-67,209","-13,898","-70,164","43,233","-41,973","-55,890","-13,355","-62,954",,,,,,
04260,ARKANSAS                 ,GRANT,"-10,974","-12,965","-4,746","4,146","3,110","-7,102","-6,805","-2,765","2,243","1,950",,,,,,
04270,ARKANSAS                 ,GREENE,"7,263","-2,020","-16,604","4,050","18,569","3,915","-1,028","-13,630","3,179","12,163",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"2,804",-996,"-10,531","1,732","8,732",644,-269,"-7,258","3,067","11,702",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"6,049","-4,019","-17,690","3,632","15,787","5,857","-3,584","-17,906","2,834","16,678",,,,,,
04300,ARKANSAS                 ,HOWARD,705,146,"-6,311","1,294","7,153",996,-449,"-10,208","1,237","6,706",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"5,911","-1,526","-16,408","3,623","21,951","5,518","-1,386","-16,134","5,288","20,649",,,,,,
04320,ARKANSAS                 ,IZARD,"1,739",186,"-8,177",717,"6,057","1,846",-739,"-5,665","3,133","12,215",,,,,,
04330,ARKANSAS                 ,JACKSON,"-1,872","-3,354","-7,101","2,779","7,846",666,"-1,863","-6,472","3,151","9,388",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-62,274","-1,868","-7,706","76,304","-15,537","-40,349",611,"-8,024","81,867","-17,699",,,,,,
04350,ARKANSAS                 ,JOHNSON,"1,553",-330,"-3,940",561,"5,784","3,021",-889,"-1,068",366,"4,847",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,594,12,"-2,953",682,"2,600",338,160,"-1,864",431,"4,032",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"4,418",-304,"-4,757","2,234","7,043","2,490",-669,"-4,900","1,844","6,722",,,,,,
04380,ARKANSAS                 ,LEE,"1,213",-525,"-3,672",913,"2,186","1,809",-823,"-4,482","1,002","3,674",,,,,,
04390,ARKANSAS                 ,LINCOLN,"-9,458",350,"-1,576","10,953","-2,064","-7,678",325,-851,"14,342","-3,852",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"2,796",-555,"-5,456","1,473","9,242","4,586",622,"-9,622","2,185","9,751",,,,,,
04410,ARKANSAS                 ,LOGAN,"2,507","-1,361","-5,905","1,191","8,033","2,758","-1,406","-8,442","2,366","9,127",,,,,,
04420,ARKANSAS                 ,LONOKE,"-30,763","-26,185","-10,089","8,557","9,694","-22,641","-14,763","-5,777","4,254","5,603",,,,,,
04430,ARKANSAS                 ,MADISON,"14,266","21,608","16,831","24,240","29,804","14,848","27,608","26,858","46,640","44,137",,,,,,
04440,ARKANSAS                 ,MARION,"1,034",255,"-3,167",561,"3,491","2,084",-447,"-5,181","1,564","6,791",,,,,,
04450,ARKANSAS                 ,MILLER,"-8,807","14,224","-14,675","-11,949","25,095","-13,347","18,679","-18,355","-17,990","26,590",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"3,986","-1,488","-10,142",922,"7,132","5,465","-1,589","-9,015","1,862","8,726",,,,,,
04470,ARKANSAS                 ,MONROE,888,-894,"-4,907",762,"5,109","1,447",38,"-4,373","1,323","7,211",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,610,-518,"-2,036",376,"2,976","1,369",-282,"-2,943",565,"2,941",,,,,,
04490,ARKANSAS                 ,NEVADA,"1,307",-978,"-2,580",625,"3,130",496,-168,"-3,188","2,722","6,961",,,,,,
04500,ARKANSAS                 ,NEWTON,821,-115,"-4,572","1,052","3,768","1,075",-528,"-6,627","1,006","3,525",,,,,,
04510,ARKANSAS                 ,OUACHITA,"2,462","-1,261","-7,838","1,824","8,375","3,197","-1,091","-8,783","2,130","7,203",,,,,,
04520,ARKANSAS                 ,PERRY,"-8,344","-3,505","-1,746","1,382","1,542","-3,379","-3,581",-275,937,"1,561",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"2,268","-2,914","-9,564","1,863","8,846","2,702","-2,003","-10,042","1,670","8,060",,,,,,
04540,ARKANSAS                 ,PIKE,323,-881,"-4,336",409,"3,520",400,452,"-3,240",-163,"2,617",,,,,,
04550,ARKANSAS                 ,POINSETT,"20,964","19,879","9,592","27,402","21,840","24,745","23,564","12,837","29,136","28,112",,,,,,
04560,ARKANSAS                 ,POLK,"4,900",-698,"-6,485","1,621","9,108","8,812","-1,518","-11,260","3,249","10,983",,,,,,
04570,ARKANSAS                 ,POPE,"3,471",-739,"-9,277","2,123","8,140","3,230",663,"-7,361","1,834","8,627",,,,,,
04580,ARKANSAS                 ,PRAIRIE,740,-822,"-6,186",928,"5,148",633,-622,"-1,545","1,271","3,194",,,,,,
04590,ARKANSAS                 ,PULASKI,"-260,393","-260,669","-80,075","65,962","76,148","-184,449","-143,849","-48,472","41,791","48,238",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"2,990",-118,"-3,731",949,"3,013","5,097",-418,"-7,496","-1,202","9,271",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,-382,"-2,099","-7,186","2,525","7,611","1,120","-3,994","-11,143","2,831","15,197",,,,,,
04620,ARKANSAS                 ,SALINE,"-48,127","-59,985","-17,591","12,345","13,193","-32,664","-29,874","-11,340","10,032","8,243",,,,,,
04630,ARKANSAS                 ,SCOTT,"1,849",-362,"-1,052",708,"2,672","1,640",-556,"-1,567",122,"3,133",,,,,,
04640,ARKANSAS                 ,SEARCY,"1,294",-541,"-6,151",827,"3,378","2,137",-604,"-6,267","1,653","5,990",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"38,872","-23,416","68,630","1,512","103,197","56,380","-28,340","91,081","3,743","120,510",,,,,,
04660,ARKANSAS                 ,SEVIER,"1,570",-159,"-5,846","1,413","7,787","5,498",-511,"-10,964","2,677","10,377",,,,,,
04670,ARKANSAS                 ,SHARP,"3,010",-964,"-8,114","1,161","12,659","2,356","-1,030","-12,672","3,938","17,953",,,,,,
04680,ARKANSAS                 ,STONE,"1,975",-973,"-6,609","1,691","7,301","2,037","-1,074","-8,861","2,392","10,942",,,,,,
04690,ARKANSAS                 ,UNION,"3,202","-1,529","-8,528","3,280","15,785",353,"-1,554","-5,228","4,317","16,927",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"2,085","-1,428","-9,779","1,952","6,854","5,727","-1,566","-19,744","3,166","11,861",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"147,532","200,444","154,345","236,361","309,236","99,355","198,875","180,232","263,236","330,217",,,,,,
04720,ARKANSAS                 ,WHITE,"2,237","-2,777","-27,440","6,484","25,963","2,546","-2,259","-25,410","5,573","23,475",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"1,296",-574,"-3,829",847,"3,804","2,277",-539,"-7,122","1,298","4,662",,,,,,
04740,ARKANSAS                 ,YELL,165,-843,"-4,189","2,121","6,508","2,777",-117,"-6,524","1,221","7,391",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"1,809,314","1,791,509","1,283,767","633,039","646,889","1,278,158","1,167,266","965,811","508,736","596,057",,,,,,
05010,CALIFORNIA               ,ALPINE,975,"4,176",97,52,130,"1,180",287,4,0,98,,,,,,
05020,CALIFORNIA               ,AMADOR,"125,216","44,146","26,964","54,714","56,774","38,864","18,940","18,704","33,238","43,122",,,,,,
05030,CALIFORNIA               ,BUTTE,"148,733","-22,988","195,920","27,888","-165,319","104,404","-15,292","142,022","16,999","-116,407",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"236,282","88,434","41,149","69,946","67,868","164,933","90,436","34,182","64,709","59,301",,,,,,
05050,CALIFORNIA               ,COLUSA,"55,116","21,432","11,852","22,545","18,153","32,945","11,208","10,104","8,649","5,375",,,,,,
