DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 HOME HEALTH REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-13,762","-8,574","-14,467","-6,051","-8,008","-14,449","-10,944","-22,039","-11,515","-11,734",,,,,,
01270,ALABAMA                  ,ETOWAH,"-28,376","-28,387","-20,707","-52,393","35,375","-40,468","-57,990","-33,212","-62,534","45,202",,,,,,
01280,ALABAMA                  ,FAYETTE,"-2,878","-3,142","-6,208","-2,939","-2,912","-5,362","-4,091","-5,610","-4,874","-3,408",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-8,770","-6,625","-8,765","-4,640","-4,131","-13,053","-7,765","-11,018","-6,819","-8,091",,,,,,
01300,ALABAMA                  ,GENEVA,"-8,687","-5,297","-8,863","-8,359","-9,064","-5,679","-4,054","-10,978","-6,888","-6,368",,,,,,
01310,ALABAMA                  ,GREENE,-356,863,-439,"-1,241","-1,732","-1,229","1,954",-260,"-2,856","-4,857",,,,,,
01320,ALABAMA                  ,HALE,"-1,394","1,901",-309,"-3,824","-4,118","-1,336",252,-330,"-2,640","-4,513",,,,,,
01330,ALABAMA                  ,HENRY,"-2,310","-2,105","-4,182","-6,056","-4,933","-3,876","-2,751","-5,327","-6,310","-4,249",,,,,,
01340,ALABAMA                  ,HOUSTON,"-12,411","-10,705","-36,061","-30,180","-25,751","-8,963","-6,874","-23,363","-23,262","-23,372",,,,,,
01350,ALABAMA                  ,JACKSON,"-16,708","-14,398","-12,426","-11,214","-10,295","-18,968","-19,005","-26,287","-10,986","-12,732",,,,,,
01360,ALABAMA                  ,JEFFERSON,"-81,587","-88,512","-78,285","-22,907","-34,260","-96,729","-69,133","-73,997","-24,046","-31,218",,,,,,
01370,ALABAMA                  ,LAMAR,"-7,967","-5,046","-4,088","-1,925","-3,496","-6,228","-3,354","-6,756","-3,283","-4,032",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-22,070","-11,390","-30,008","-43,737","-42,906","-26,408","-12,553","-32,727","-56,532","-66,060",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-16,585","-11,681","-9,320","-13,468","-6,227","-17,054","-11,900","-13,375","-13,056","-9,934",,,,,,
01400,ALABAMA                  ,LEE,"-12,879","-12,401","-2,449","-18,292","6,061","-13,485","-9,783","-4,174","-23,256","3,787",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-14,981","-11,233","-15,147","-14,373","-14,704","-12,935","-19,299","-21,478","-16,970","-20,404",,,,,,
01420,ALABAMA                  ,LOWNDES,-945,"-1,062","-2,306","-2,072","-1,287","-1,301","-1,057","-3,353","-3,459","-3,035",,,,,,
01430,ALABAMA                  ,MACON,"-1,181","-1,596","-2,985","-2,146","-1,881","-2,306","-1,862",-861,"-2,512","-1,531",,,,,,
01440,ALABAMA                  ,MADISON,"-19,302","-34,265","-35,750","-37,254","-59,705","-28,522","-30,066","-28,434","-47,398","-58,194",,,,,,
01450,ALABAMA                  ,MARENGO,"-5,470","-2,219","-5,229","-2,307","-2,587","-5,333","-3,917","-3,679","-1,829","-1,849",,,,,,
01460,ALABAMA                  ,MARION,"-5,652","-8,388","-10,686","-4,985","-5,213","-9,444","-9,080","-9,899","-6,707","-8,380",,,,,,
01470,ALABAMA                  ,MARSHALL,"-20,969","-16,000","-23,100","-14,244","-15,760","-29,092","-22,781","-33,437","-17,118","-20,666",,,,,,
01480,ALABAMA                  ,MOBILE,"-51,928","-58,963","-66,166","-51,075","-76,836","-73,798","-62,533","-67,256","-41,526","-77,292",,,,,,
01490,ALABAMA                  ,MONROE,"-4,254","-1,757","-7,561","-2,783","-2,974","-10,555","-5,046","-7,135","-4,079","-4,169",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-7,486","-10,244","-21,620","-26,075","-46,092","-12,138","-11,553","-27,763","-33,385","-32,457",,,,,,
01510,ALABAMA                  ,MORGAN,"-42,890","-27,836","-33,055","-31,232","-25,227","-59,641","-32,735","-42,131","-49,135","-25,840",,,,,,
01520,ALABAMA                  ,PERRY,"-2,373",-919,"-1,428","-1,598","-1,783","-3,868","-1,974","-2,433",-985,"-1,778",,,,,,
01530,ALABAMA                  ,PICKENS,"-7,951","-2,783","-7,050","-2,064","-4,536","-17,237","-7,992","-14,839","-5,797","-7,341",,,,,,
01540,ALABAMA                  ,PIKE,"-4,922","-5,917","-5,978","-4,226","-2,943","-6,817","-5,254","-2,951","-2,888","-5,966",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-7,268","-3,487","-4,146","-1,833","-3,248","-6,924","-4,277","-6,539","-1,932","-4,450",,,,,,
01560,ALABAMA                  ,RUSSELL,"7,556","-6,239","-4,723","-5,130","-13,759","4,880","-3,275","-4,325","-5,479","-12,632",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-9,762","-9,879","-8,898","-3,242","-3,481","-9,764","-11,646","-6,722","-2,981","-3,576",,,,,,
01580,ALABAMA                  ,SHELBY,"-14,320","-13,260","-10,634","-5,511","-6,236","-13,189","-10,179","-13,186","-2,580","-7,238",,,,,,
01590,ALABAMA                  ,SUMTER,"-3,513","-2,118","-1,750","-1,298","-1,708","-2,911","-2,718","-4,184","-2,003","-3,175",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-22,620","-17,803","-24,610","-9,537","-16,259","-24,323","-10,962","-18,606","-13,399","-12,362",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-10,170","-8,588","-8,049","-5,360","-6,614","-11,989","-8,268","-9,933","-7,944","-15,616",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-6,803","9,900","-3,079","-30,585","-52,556","-7,751","11,545","-4,325","-40,267","-65,365",,,,,,
01630,ALABAMA                  ,WALKER,"-23,603","-26,778","-25,659","-8,200","-10,785","-37,649","-20,981","-19,499","-7,276","-7,844",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-5,142","-2,654","-4,756","-1,130","-3,169","-4,610","-1,988","-4,213","-1,720","-3,371",,,,,,
01650,ALABAMA                  ,WILCOX,"-2,658","-2,206","-2,876","-1,542","-2,247","-4,308","-2,479","-3,593","-1,292","-1,755",,,,,,
01660,ALABAMA                  ,WINSTON,"-12,882","-8,327","-6,549","-3,272","-3,613","-14,522","-14,308","-11,349","-4,283","-7,132",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,221,96,0,0,0,0,0,,,,,,
02020,ALASKA                   ,ANCHORAGE,"5,838","9,510","8,499","6,786","8,162","6,507","15,636","10,590","7,841","6,411",,,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,93,216,307,0,0,0,0,48,,,,,,
02050,ALASKA                   ,BETHEL,0,0,0,0,0,0,0,0,0,0,,,,,,
02060,ALASKA                   ,BRISTOL BAY,0,0,0,-169,-155,-7,0,-502,0,0,,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,0,125,0,0,0,0,0,0,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,0,0,0,0,0,0,0,0,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,-410,"-1,166","-1,214","-1,404","-1,122",-737,-582,"-1,433","-2,654",-739,,,,,,
02100,ALASKA                   ,HAINES,412,30,41,0,0,412,302,0,20,0,,,,,,
02110,ALASKA                   ,JUNEAU,"3,764",559,193,"2,336",78,"4,376","1,542","3,493","2,754",125,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"23,303","11,406","9,662","12,876","1,331","16,601","8,722","14,641","10,667","2,239",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"23,348","2,143","7,905","6,724","1,792","4,221","4,842","12,472","4,134","2,260",,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,0,42,0,0,0,0,0,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,"1,170",600,0,841,"6,614",564,203,78,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,4,0,0,0,0,0,0,0,0,0,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"4,295","1,474","2,937","2,590","2,591","1,762","3,040","1,339","2,958","2,800",,,,,,
02180,ALASKA                   ,NOME,0,0,0,28,0,0,0,0,0,0,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,0,69,0,0,0,0,0,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,45,0,105,0,0,0,576,399,,,,,,
02210,ALASKA                   ,SEWARD,"2,069",795,50,0,-3,626,324,0,0,0,,,,,,
02220,ALASKA                   ,SITKA,600,0,17,"1,208",138,444,177,0,"5,419","1,194",,,,,,
02230,ALASKA                   ,SKAGWAY,227,0,0,0,0,0,0,0,0,0,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,-169,-181,-171,0,0,-147,0,0,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,0,0,0,0,0,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,50,0,0,0,0,0,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,86,0,112,0,0,0,0,0,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,125,191,399,117,34,77,-829,-889,-613,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,0,34,0,44,0,0,0,,,,,,
03000,ARIZONA                  ,APACHE,90,952,"1,294",-319,-52,145,695,656,477,-111,,,,,,
03010,ARIZONA                  ,COCHISE,"2,069","2,696","2,455","3,540",172,"2,925","3,586","3,986","2,115",-171,,,,,,
03020,ARIZONA                  ,COCONINO,"16,132","7,465","14,007","2,797","-2,573","9,777","4,375","10,664","7,977","-1,698",,,,,,
03030,ARIZONA                  ,GILA,"2,047","3,509","4,449","3,800","1,066","1,673","3,461","4,046","2,178",694,,,,,,
03040,ARIZONA                  ,GRAHAM,947,"1,568","1,220","1,223",155,"1,337","1,761","2,999","1,571",269,,,,,,
03050,ARIZONA                  ,GREENLEE,112,"1,068",962,166,-5,34,211,228,275,142,,,,,,
03055,ARIZONA                  ,LA PAZ,19,104,57,90,59,0,18,0,0,161,,,,,,
03060,ARIZONA                  ,MARICOPA,"64,166","60,991","45,463","-58,701","-55,134","35,124","34,016","22,563","-46,829","-47,930",,,,,,
03070,ARIZONA                  ,MOHAVE,"5,177","9,751","3,821","-10,076","-9,249","10,528","10,198","5,531","-10,887","-6,032",,,,,,
03080,ARIZONA                  ,NAVAJO,"1,207","3,767","2,637","3,064",-98,762,"1,247","1,246",482,612,,,,,,
03090,ARIZONA                  ,PIMA,"-7,954","-13,933","-16,652","-49,992","-41,023","-6,163","-9,393","-8,828","-28,715","-26,604",,,,,,
03100,ARIZONA                  ,PINAL,"5,685","7,609","3,265","-4,027","-6,081","6,745","7,241","3,352","-5,873","-5,695",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,133,342,233,330,70,94,730,690,60,14,,,,,,
03120,ARIZONA                  ,YAVAPAI,"48,003","31,208","48,905","57,787","-7,492","42,421","28,193","45,081","55,725","-8,383",,,,,,
03130,ARIZONA                  ,YUMA,"6,535","1,047","3,437","4,113","4,262","5,445",823,605,"4,357","3,344",,,,,,
04000,ARKANSAS                 ,ARKANSAS,371,-494,-690,143,597,77,-86,-708,-13,"1,079",,,,,,
04010,ARKANSAS                 ,ASHLEY,-228,-226,-872,145,995,285,244,-570,516,827,,,,,,
04020,ARKANSAS                 ,BAXTER,453,-43,"-1,283",148,654,"1,063",-16,"-1,167",282,"1,107",,,,,,
04030,ARKANSAS                 ,BENTON,"13,536","24,533","17,171","19,933","28,381","14,302","19,618","21,550","29,864","48,071",,,,,,
04040,ARKANSAS                 ,BOONE,"1,692",-567,"-2,349",438,"1,641",626,-158,"-1,523",342,644,,,,,,
04050,ARKANSAS                 ,BRADLEY,277,-54,"-1,267",116,509,617,-118,"-1,496",185,"1,606",,,,,,
04060,ARKANSAS                 ,CALHOUN,202,-13,-129,72,189,196,-26,-255,38,278,,,,,,
04070,ARKANSAS                 ,CARROLL,294,951,-629,231,621,763,41,"-1,660",361,"1,897",,,,,,
04080,ARKANSAS                 ,CHICOT,316,-266,"-1,218",87,995,-52,-31,-366,43,622,,,,,,
04090,ARKANSAS                 ,CLARK,223,-189,-782,108,"1,168",320,-146,"-1,526",284,"1,281",,,,,,
04100,ARKANSAS                 ,CLAY,505,-32,"-1,526",199,"1,716",372,-303,"-2,258",195,"1,699",,,,,,
04110,ARKANSAS                 ,CLEBURNE,165,-131,"-1,108",349,947,286,-121,-726,217,801,,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-2,155",75,-141,"1,922",-539,"-1,805",249,-190,"3,403",-621,,,,,,
04130,ARKANSAS                 ,COLUMBIA,895,-167,-958,165,618,324,-95,-749,181,750,,,,,,
04140,ARKANSAS                 ,CONWAY,229,-211,-578,137,512,501,-236,-476,163,694,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"11,439","8,248","4,239","8,037","8,937","6,319","3,989","4,152","7,736","6,629",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"2,936","-1,263","2,654",59,"5,974","6,678","-2,617","6,836",508,"7,828",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-5,574","-5,165","-5,618","-7,250","-5,743","-13,558","-5,990","-9,874","-13,039","-10,683",,,,,,
04180,ARKANSAS                 ,CROSS,-786,-97,"-1,159",39,554,423,-159,"-1,286",310,"1,296",,,,,,
04190,ARKANSAS                 ,DALLAS,203,-71,-406,96,416,183,-39,-288,154,533,,,,,,
04200,ARKANSAS                 ,DESHA,307,-107,"-1,892",282,187,569,-143,"-1,911",563,"1,227",,,,,,
04210,ARKANSAS                 ,DREW,531,-168,"-1,496",124,"1,229",406,-449,"-1,392",281,"1,409",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-4,778","-4,980","-1,376","1,332",714,"-6,196","-4,467","-1,543",742,"1,282",,,,,,
04230,ARKANSAS                 ,FRANKLIN,132,-320,946,19,"2,355",291,-317,"1,943",36,609,,,,,,
04240,ARKANSAS                 ,FULTON,242,-46,-606,130,668,182,-106,-953,348,"1,871",,,,,,
04250,ARKANSAS                 ,GARLAND,"9,815","-5,148","-6,606","-1,531","-8,906","8,259","-5,980","-7,346","-2,224","-7,468",,,,,,
04260,ARKANSAS                 ,GRANT,"-1,102","-1,519",-451,538,266,"-1,378",-434,-298,539,237,,,,,,
04270,ARKANSAS                 ,GREENE,352,-505,"-2,388",669,"2,553","1,085",-373,"-1,515",459,"3,148",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,158,-53,"-1,419",22,783,-373,81,"-1,129",138,"1,652",,,,,,
04290,ARKANSAS                 ,HOT SPRING,308,-178,"-1,867",291,"2,089",917,-283,"-1,976",125,85,,,,,,
04300,ARKANSAS                 ,HOWARD,146,-38,-590,124,588,3,50,-836,107,"1,380",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,798,-157,"-2,152",368,"3,382","1,030",-192,"-2,786",497,"2,780",,,,,,
04320,ARKANSAS                 ,IZARD,161,-76,-787,129,767,102,-60,-318,344,"1,669",,,,,,
04330,ARKANSAS                 ,JACKSON,"-1,103","-1,110",-562,445,"1,691",-23,-106,-522,262,732,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-8,081",-417,"-1,341","6,818","-1,729","-7,481",-152,"-1,153","11,390","-2,494",,,,,,
04350,ARKANSAS                 ,JOHNSON,215,-67,32,425,"1,257",388,-64,-695,-701,371,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,-15,-9,-204,134,440,197,-35,-148,103,169,,,,,,
04370,ARKANSAS                 ,LAWRENCE,398,113,1,193,841,52,-103,-576,370,"2,051",,,,,,
04380,ARKANSAS                 ,LEE,91,-12,-264,96,528,543,-335,"-1,096",152,757,,,,,,
04390,ARKANSAS                 ,LINCOLN,"-1,147",36,-354,798,-260,"-2,082",111,-282,870,-236,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,635,-63,-636,174,"1,954",663,-471,"-1,059",238,"1,301",,,,,,
04410,ARKANSAS                 ,LOGAN,682,-138,-922,222,599,731,-216,-774,224,"1,499",,,,,,
04420,ARKANSAS                 ,LONOKE,"-3,523","-3,240","-1,382",671,"1,330","-3,724","-2,458",-954,"1,446","1,124",,,,,,
04430,ARKANSAS                 ,MADISON,"1,428","5,559","1,290","2,044","4,533","2,257","3,965","3,322","3,700","3,850",,,,,,
04440,ARKANSAS                 ,MARION,75,-93,-455,99,"2,165",552,5,"1,489",181,701,,,,,,
04450,ARKANSAS                 ,MILLER,"-1,228","2,757","-2,696","-1,541","2,499","-2,128","2,570","-3,139","-1,919","2,612",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,559,140,"-1,650",873,"1,913","1,099",-934,"-2,673",-252,"2,259",,,,,,
04470,ARKANSAS                 ,MONROE,156,-80,-527,156,728,130,-524,"-1,262",210,"1,143",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,59,-63,-255,16,128,337,13,-714,57,241,,,,,,
04490,ARKANSAS                 ,NEVADA,118,-513,-550,155,866,137,-25,-310,69,312,,,,,,
04500,ARKANSAS                 ,NEWTON,147,-65,-281,69,135,221,-29,-270,518,363,,,,,,
04510,ARKANSAS                 ,OUACHITA,688,457,"-1,031",441,"1,163",787,-180,"-1,239",261,"1,633",,,,,,
04520,ARKANSAS                 ,PERRY,"-1,240",-481,-135,186,219,-693,-610,-213,94,90,,,,,,
04530,ARKANSAS                 ,PHILLIPS,351,-315,"-2,249",104,834,349,-222,-836,249,"1,575",,,,,,
04540,ARKANSAS                 ,PIKE,160,-7,-779,97,379,106,-10,-95,197,275,,,,,,
04550,ARKANSAS                 ,POINSETT,"3,167","2,805","1,544","5,623","3,471","2,751","1,939","2,193","5,516","5,143",,,,,,
04560,ARKANSAS                 ,POLK,353,"1,159",-928,204,"1,113",883,-214,"-1,634",184,"1,414",,,,,,
04570,ARKANSAS                 ,POPE,311,-279,-975,279,"2,093",318,-168,"-1,523",444,"2,653",,,,,,
04580,ARKANSAS                 ,PRAIRIE,136,-44,"-1,068",191,682,81,-34,-158,31,261,,,,,,
04590,ARKANSAS                 ,PULASKI,"-31,525","-33,929","-9,285","7,548","10,277","-27,165","-23,796","-6,160","5,539","6,427",,,,,,
04600,ARKANSAS                 ,RANDOLPH,173,-56,-181,163,379,445,-66,-347,120,"1,035",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,-79,-645,"-1,991",169,"1,039",-104,-962,"-2,596",-142,"1,477",,,,,,
04620,ARKANSAS                 ,SALINE,"-6,139","-5,907","-2,094","1,448","1,818","-7,224","-8,694","-2,127","2,207","2,034",,,,,,
04630,ARKANSAS                 ,SCOTT,624,-203,-891,145,"1,101",130,-194,50,82,"1,555",,,,,,
04640,ARKANSAS                 ,SEARCY,195,-115,-627,83,474,382,-78,-707,136,726,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"4,332","-3,211","8,755",217,"11,548","12,074","-4,816","18,292",919,"19,127",,,,,,
04660,ARKANSAS                 ,SEVIER,385,-66,-667,158,701,596,-147,"-1,377",468,"2,415",,,,,,
04670,ARKANSAS                 ,SHARP,877,-117,"-2,045",688,"1,477",560,-95,"-1,583",441,"3,491",,,,,,
04680,ARKANSAS                 ,STONE,192,-76,-527,60,573,201,-11,-770,245,"1,515",,,,,,
04690,ARKANSAS                 ,UNION,359,-305,-955,633,"1,757",308,-159,-895,324,"3,294",,,,,,
04700,ARKANSAS                 ,VAN BUREN,12,-357,"-1,020",305,563,503,-195,-657,141,"1,306",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"16,574","18,646","20,090","34,275","42,011","13,948","18,536","22,508","36,137","48,052",,,,,,
04720,ARKANSAS                 ,WHITE,144,"-1,163","-3,110",921,"3,853",271,-201,"-3,387",397,"3,118",,,,,,
04730,ARKANSAS                 ,WOODRUFF,168,-86,"-1,368",239,"1,452",499,-510,"-1,924",-123,620,,,,,,
04740,ARKANSAS                 ,YELL,174,-32,-465,282,"1,145",293,-189,-522,146,754,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"188,503","183,819","144,137","69,513","72,779","110,914","128,887","91,439","55,128","62,768",,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0,0,317,0,0,0,0,471,,,,,,
05020,CALIFORNIA               ,AMADOR,"6,014","4,753","1,771","2,275","7,180","11,943","2,645",962,"2,186","1,831",,,,,,
05030,CALIFORNIA               ,BUTTE,"15,381",-947,"17,978","3,112","-20,435","8,879","-2,209","14,908","1,752","-12,849",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"26,004","9,240","7,690","8,214","4,734","27,806","13,626","2,346","4,820","6,005",,,,,,
05050,CALIFORNIA               ,COLUSA,"4,696","1,035","1,333","2,189","1,907","1,487",743,"1,165","2,050","1,251",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"106,228","106,429","81,241","31,785","40,248","61,240","41,112","54,617","25,228","24,373",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"7,371","2,771","2,082","2,120","1,722","2,358","1,901","2,443","1,819","1,245",,,,,,
05080,CALIFORNIA               ,EL DORADO,"30,807","13,695","18,788","6,101","8,049","17,720","6,931","6,766","4,335","5,268",,,,,,
05090,CALIFORNIA               ,FRESNO,"72,577","42,840","71,414","46,071","21,445","83,265","55,433","63,902","46,301","22,043",,,,,,
05100,CALIFORNIA               ,GLENN,"5,320","1,932","3,508","6,624","4,679","2,205","2,766","1,600","2,827","2,733",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"52,452","20,658","11,462","23,005","21,766","69,021","23,801","14,148","19,727","25,801",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"-6,918","-2,180","-3,244","-3,905","-15,803","-15,068","-7,490","-3,339","-6,851","-34,225",,,,,,
05130,CALIFORNIA               ,INYO,"2,128",798,837,"1,453",667,360,179,341,"1,472","1,009",,,,,,
05140,CALIFORNIA               ,KERN,"68,685","19,059","3,618",-940,"-61,915","74,765","25,247","6,074",-152,"-58,922",,,,,,
05150,CALIFORNIA               ,KINGS,"15,881","7,644","3,503","2,039","-5,314","12,422","6,310","3,035",52,"-2,042",,,,,,
05160,CALIFORNIA               ,LAKE,"33,092","15,305","9,098","16,455","18,052","19,410","6,108","7,635","9,762","7,075",,,,,,
05170,CALIFORNIA               ,LASSEN,"4,950","1,582",975,"1,699",494,"8,417","1,631",971,"3,345",687,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"819,779","570,635","8,685","261,198","116,210","1,596,986","1,189,173","3,156","609,959","276,465",,,,,,
05300,CALIFORNIA               ,MADERA,"1,051","2,017","3,116","3,897","3,409","5,464","5,412","4,217","3,868","2,669",,,,,,
