2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:11,1:07,76.2%,69.3,0.0,Not enough data available to calculate measure,75.8%,0.57,0.05,No data available,73.1%,81.6%,85.7%,100.0%,98.6,14.0%,88.7%,,
H0251,AmeriChoice Secure Plus Complete,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",0:52,0:40,40.6%,63.1,14.0,Not enough data available to calculate measure,80.8%,0.24,0.41,20,82.9%,87.4%,91.6%,99.7%,97.9,39.1%,83.0%,,
H0302,Banner MediSun,"BANNER MEDISUN, INC.",0:33,1:05,77.2%,79.9,0.5,Not enough data available to calculate measure,20.5%,0.07,0.04,No data available,84.9%,82.5%,91.6%,99.5%,90.7,18.1%,80.9%,,
H0303,SecureHorizons by UnitedHealthcare,"PACIFICARE OF ARIZONA, INC",0:35,0:35,64.8%,70.7,1.7,75.0%,91.7%,0.18,0.19,20,79.2%,81.4%,90.8%,98.4%,97.7,17.9%,85.5%,,
H0307,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:12,1:12,76.2%,67.9,12.6,Not enough data available to calculate measure,62.3%,0.49,0.32,No data available,81.7%,83.5%,90.8%,99.8%,98.6,18.1%,85.1%,,
H0316,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA,  INC.",0:35,0:35,64.8%,70.7,1.5,Not enough data available to calculate measure,99.0%,0.29,0.26,No data available,76.0%,80.0%,89.1%,99.4%,97.4,14.5%,87.1%,,
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:12,1:12,76.2%,67.9,14.7,Not enough data available to calculate measure,64.0%,0.55,0.53,No data available,81.0%,79.7%,90.1%,99.2%,98.8,19.4%,84.0%,,
H0318,Aetna Medicare,AETNA HEALTH INC.,0:38,0:31,64.0%,50.7,8.1,Not enough data available to calculate measure,100.0%,0.46,0.93,No data available,79.2%,77.5%,86.6%,99.8%,98.6,7.2%,90.8%,,
H0319,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:27,0:35,64.8%,70.7,5.4,Not enough data available to calculate measure,87.9%,0.44,0.33,No data available,77.6%,80.5%,87.7%,99.7%,97.6,23.9%,84.3%,,
H0320,Desert Canyon Community Care,"ARCADIAN HEALTH PLAN, INC.",0:51,1:09,74.4%,54.2,3.3,No appeals required review,82.1%,0.40,0.33,No data available,82.4%,81.3%,90.3%,99.9%,99,18.5%,82.2%,,
H0321,APIPA Personal Care Plus,"ARIZONA PHYSICIANS IPA, INC.",0:53,0:37,40.6%,63.1,0.6,Not enough data available to calculate measure,100.0%,0.08,0.14,No data available,75.0%,80.5%,83.0%,100.0%,Not enough data available to calculate measure,28.2%,87.2%,,
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC",0:24,0:14,85.7%,84.7,3.9,23.1%,93.8%,0.17,0.15,44,91.5%,90.2%,90.9%,99.9%,97.3,26.2%,90.5%,,
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",1:00,0:49,81.9%,72.7,1.3,Not enough data available to calculate measure,39.1%,0.29,0.15,69,77.9%,78.2%,90.3%,99.7%,96.9,20.9%,85.2%,,
H0354,CIGNA HealthCare of Arizona,"CIGNA HEALTHCARE OF ARIZONA, INC.",0:17,1:35,79.1%,81.3,30.0,100.0%,73.3%,0.11,0.07,No data available,86.4%,86.3%,90.2%,98.9%,97.1,20.9%,84.8%,,
H0370,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE CO. (SOUTH DAKO,0:31,0:41,69.2%,74.3,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.3%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,
H0401,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.",0:36,0:35,64.8%,70.7,0.0,No appeals required review,100.0%,0.39,0.26,No data available,78.8%,82.6%,91.6%,99.5%,97.3,20.1%,76.9%,,
H0408,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:25,0:38,64.8%,70.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,28.8%,72.0%,,
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",1:09,0:11,79.4%,21.7,0.0,No appeals required review,34.1%,0.17,0.17,No data available,74.3%,82.4%,87.0%,98.0%,95.4,12.1%,89.5%,,
H0474,Essence Healthcare,"ESSENCE HEALTHCARE OF NEW YORK, INC.",0:21,0:34,74.7%,60.8,Plan too new to be measured,No appeals required review,17.3%,1.32,0.00,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H0490,Molina Healthcare of Ohio,MOLINA HEALTHCARE OF OHIO,0:39,0:27,57.3%,76.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.4%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,0:32,0:14,66.8%,74.8,11.6,50.0%,70.4%,0.19,0.15,No data available,68.8%,83.4%,86.3%,97.7%,96.9,20.3%,84.4%,,
H0523,Aetna Medicare,"AETNA HEALTH OF CALIFORNIA,INC.",0:36,0:30,64.0%,51.0,10.0,60.0%,88.7%,0.33,0.19,No data available,80.2%,82.9%,92.1%,99.8%,98.5,10.7%,85.0%,,
H0524,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",0:30,0:11,73.7%,72.7,2.5,82.3%,99.8%,0.06,0.05,No data available,84.5%,90.0%,94.2%,98.7%,98.8,13.6%,88.2%,,
H0540,Unicare Life & Health Ins. Company,UNICARE LIFE AND HEALTH INS. COMPANY,0:50,0:50,57.5%,43.1,3.4,Not enough data available to calculate measure,99.0%,0.83,0.39,56,81.7%,78.6%,89.3%,99.8%,Not enough data available to calculate measure,17.1%,83.1%,,
H0543,SecureHorizons by UnitedHealthcare,PACIFICARE OF CALIFORNIA,0:35,0:36,64.6%,70.5,1.8,93.8%,98.2%,0.22,0.16,20,76.8%,83.4%,90.4%,99.0%,97.6,17.3%,85.2%,,
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,0:20,0:34,78.9%,84.0,0.3,33.3%,6.2%,0.08,0.07,No data available,88.6%,89.8%,92.9%,99.7%,98,23.4%,85.6%,,
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",0:18,0:18,85.3%,77.3,0.0,No appeals required review,84.0%,0.05,0.07,No data available,92.6%,88.6%,92.8%,99.7%,97.7,23.4%,82.2%,,
H0562,Health Net of California,HEALTH NET OF CALIFORNIA,0:36,0:49,81.0%,79.2,0.2,55.6%,34.9%,0.18,0.19,19,75.5%,83.4%,90.0%,97.1%,96.9,19.8%,86.0%,,
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,0:51,0:42,57.5%,43.4,4.1,Not enough data available to calculate measure,100.0%,0.25,0.24,No data available,64.4%,79.6%,89.6%,100.0%,Not enough data available to calculate measure,19.6%,83.9%,,
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,0:35,1:36,81.1%,64.6,0.0,Not enough data available to calculate measure,11.1%,0.02,0.00,No data available,79.6%,78.3%,82.4%,99.7%,95.5,15.0%,79.5%,,
H0609,SecureHorizons by UnitedHealthcare,"PACIFICARE OF COLORADO, INC",0:37,0:35,64.8%,70.7,1.3,Not enough data available to calculate measure,98.8%,0.28,0.16,20,79.0%,82.9%,91.4%,99.2%,97.2,16.5%,85.7%,,
H0620,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:24,0:35,64.8%,70.7,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.00,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,91.4,16.0%,73.4%,,
H0621,Colorado Access,COLORADO ACCESS,0:16,0:18,73.7%,82.5,0.0,No appeals required review,5.9%,0.10,0.20,17,77.4%,80.4%,85.1%,99.5%,96.4,21.4%,88.8%,,
H0623,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:09,1:10,76.2%,67.9,0.0,Not enough data available to calculate measure,68.2%,0.35,0.29,No data available,79.1%,82.2%,89.0%,99.8%,98.3,18.0%,87.8%,,
H0624,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:27,0:35,64.8%,70.7,4.1,No appeals required review,100.0%,0.28,0.25,No data available,69.5%,81.8%,89.3%,99.7%,97.5,22.9%,87.5%,,
H0630,Kaiser Permanente Senior Advantage,KAISER FOUNDATION HP OF CO,0:25,0:16,78.5%,79.9,1.4,80.0%,96.7%,0.09,0.04,No data available,86.7%,88.4%,93.3%,99.7%,98.9,8.5%,88.6%,,
H0710,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,6.0,Not enough data available to calculate measure,95.5%,0.25,0.11,No data available,82.8%,83.1%,87.7%,99.9%,97.6,17.2%,86.5%,,
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",0:44,0:27,76.8%,84.7,0.0,No appeals required review,100.0%,0.22,0.22,No data available,68.8%,77.3%,83.2%,100.0%,99.3,13.2%,90.0%,,
H0752,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.",0:20,0:38,64.8%,70.7,18.7,Not enough data available to calculate measure,89.3%,0.75,1.22,No data available,81.0%,81.6%,89.3%,99.5%,96.7,11.2%,80.8%,,
H0755,UnitedHealthcare,HEALTH NET OF CONNECTICUT,0:48,0:54,82.8%,61.1,0.0,27.3%,69.6%,0.11,0.09,72,77.7%,80.2%,88.6%,99.5%,96.3,14.4%,80.9%,,
H0838,Brand New Day,HMO CALIFORNIA,0:05,0:14,67.2%,93.8,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.44,0.22,No data available,81.1%,82.2%,89.1%,60.7%,95,23.3%,89.5%,,
H0901,Aetna Medicare,AETNA HEALTH INC.,0:34,0:30,64.0%,50.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.1%,96.9,3.7%,95.8%,,
H0908,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",0:31,0:31,54.4%,78.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,20.3%,94.6%,,
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",0:40,0:27,76.0%,86.8,4.4,No appeals required review,100.0%,0.49,0.29,No data available,68.4%,73.3%,76.6%,99.9%,98.2,18.3%,92.2%,,
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",1:22,0:14,86.7%,82.6,0.0,Not enough data available to calculate measure,50.0%,0.71,0.67,No data available,82.0%,85.4%,89.4%,96.1%,97.9,20.3%,84.7%,,
H1013,Coventry Health Plan of Florida,"COVENTRY HEALTH PLAN OF FLORIDA, INC",0:30,0:28,69.2%,74.3,0.0,No appeals required review,78.0%,0.33,0.20,No data available,78.6%,87.2%,89.9%,79.7%,98.8,24.3%,85.2%,,
H1016,AvMed Medicare,"AVMED, INC",1:35,0:18,77.7%,69.4,0.5,Not enough data available to calculate measure,0.0%,0.11,0.21,No data available,85.4%,81.5%,88.9%,98.7%,95.1,16.1%,82.5%,,
H1019,"CarePlus Health Plans, Inc.",CARE PLUS HEALTH PLAN,0:44,1:06,77.4%,80.8,0.8,Not enough data available to calculate measure,98.4%,0.15,0.18,No data available,78.2%,85.0%,89.1%,99.8%,97.8,29.0%,85.9%,,
H1026,"Health Options, Inc / Blue Cross Blue Shield of FL","HEALTH OPTIONS, INC",0:42,0:20,57.3%,25.2,0.0,Not enough data available to calculate measure,81.2%,0.50,0.25,No data available,77.9%,76.2%,88.7%,98.2%,98.4,19.9%,80.2%,,
H1032,WellCare,"WELL CARE OF FLORIDA, INC.",0:25,0:28,76.2%,82.6,2.9,Not enough data available to calculate measure,96.2%,0.19,0.34,No data available,76.9%,83.2%,89.4%,99.8%,98.4,28.1%,86.2%,,
H1035,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",0:07,0:08,66.1%,62.2,0.0,Not enough data available to calculate measure,61.5%,0.05,0.05,No data available,89.2%,88.1%,94.4%,82.6%,96.5,26.7%,84.1%,,
H1036,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC",1:02,1:06,76.2%,67.9,4.0,40.7%,55.5%,0.24,0.13,18,84.6%,86.9%,92.1%,99.8%,98.4,26.2%,84.7%,,
H1045,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,1:22,0:39,74.3%,64.6,0.0,25.0%,39.9%,0.22,0.25,No data available,82.9%,89.0%,90.5%,96.6%,Not enough data available to calculate measure,25.6%,83.7%,,
H1076,Coventry Health Care of Florida,"COVENTRY HEALTH CARE OF FLORIDA, INC",0:28,0:28,69.2%,74.3,0.0,No appeals required review,84.2%,0.43,0.17,No data available,82.8%,84.4%,89.6%,99.3%,99.8,23.0%,84.3%,,
H1080,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",0:37,0:38,64.8%,70.7,2.8,Not enough data available to calculate measure,93.3%,0.09,0.19,No data available,80.8%,79.9%,90.4%,99.4%,97.2,15.0%,81.5%,,
H1099,Health First Medicare Plans,"HEALTH FIRST HEALTH PLANS, INC.",0:42,0:31,87.1%,84.7,0.0,Not enough data available to calculate measure,86.6%,0.07,0.03,No data available,86.8%,82.5%,92.7%,98.1%,99.9,24.2%,85.7%,,
H1108,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,0.8,Not enough data available to calculate measure,100.0%,0.43,0.35,No data available,74.8%,83.3%,87.9%,99.3%,97.5,26.7%,83.4%,,
H1109,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),0:34,0:30,64.0%,50.7,0.0,Not enough data available to calculate measure,93.5%,0.70,0.32,No data available,83.8%,80.4%,87.4%,99.5%,97.6,8.7%,89.0%,,
H1110,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0:34,0:30,64.0%,50.7,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.4%,97.7,9.7%,83.6%,,
H1111,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.",0:37,0:38,64.8%,70.7,0.0,No appeals required review,97.6%,0.26,0.66,No data available,77.2%,83.9%,89.6%,99.3%,97.7,29.2%,80.3%,,
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",0:41,0:27,77.0%,83.3,0.0,Not enough data available to calculate measure,97.7%,0.18,0.62,No data available,72.1%,79.3%,84.2%,99.9%,98.9,24.2%,88.4%,,
H1170,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP OF GA, INC.",0:43,0:09,64.3%,75.7,0.0,Not enough data available to calculate measure,96.5%,0.26,0.16,No data available,89.8%,88.2%,90.9%,99.7%,98.6,14.7%,87.4%,,
H1216,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",0:38,0:28,81.1%,84.0,0.0,Not enough data available to calculate measure,90.0%,0.43,1.16,No data available,62.8%,73.7%,77.3%,99.5%,97.9,16.4%,83.3%,,
H1230,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",0:10,0:09,66.1%,75.4,0.0,No appeals required review,96.0%,0.05,0.03,No data available,86.8%,89.2%,94.5%,99.3%,99,8.4%,92.5%,,
H1264,WellCare,"WELLCARE OF TEXAS, INC.",0:47,0:28,76.0%,85.4,1.6,No appeals required review,95.5%,0.22,0.74,No data available,73.5%,78.8%,83.1%,99.9%,98.9,25.0%,88.9%,,
H1286,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:37,0:36,64.6%,70.5,2.5,Not enough data available to calculate measure,98.5%,0.47,0.39,No data available,71.5%,78.3%,88.7%,99.7%,97.1,15.8%,87.2%,,
H1291,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H1302,Blue Cross of Idaho,BLUE CROSS OF IDAHO HLTH SERVICES INC,1:06,2:07,75.2%,91.0,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,81.0%,94.2,19.0%,93.4%,,
H1303,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:35,0:35,64.8%,70.7,5.6,Not enough data available to calculate measure,100.0%,0.46,0.19,No data available,76.3%,82.0%,89.9%,99.2%,97.5,20.7%,87.0%,,
H1304,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,0:24,0:49,76.8%,79.2,12.2,Not enough data available to calculate measure,56.3%,0.29,0.16,No data available,86.6%,79.3%,91.8%,100.0%,94.6,24.2%,85.3%,,
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",1:06,2:07,75.2%,91.0,13.9,44.4%,98.4%,0.07,0.08,No data available,86.7%,83.7%,92.2%,81.0%,96.2,26.4%,86.4%,,
H1355,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",0:24,0:41,66.3%,72.7,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H1365,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",0:15,1:00,89.5%,93.7,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,84.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H1406,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:06,1:09,76.2%,67.9,3.3,Not enough data available to calculate measure,42.1%,0.25,0.12,No data available,82.2%,85.4%,91.1%,99.8%,97.9,13.4%,86.6%,,
H1415,"HealthSpring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",0:21,1:02,78.6%,84.0,3.9,Not enough data available to calculate measure,83.7%,0.35,0.32,No data available,75.4%,83.7%,89.3%,99.3%,95.5,12.4%,87.8%,,
H1416,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",0:43,0:28,74.9%,85.4,2.3,Not enough data available to calculate measure,98.0%,0.24,0.42,No data available,71.9%,75.0%,80.1%,99.7%,97.9,13.1%,89.1%,,
H1417,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,0:12,0:37,86.6%,84.7,0.0,No appeals required review,95.2%,0.00,0.04,No data available,86.3%,82.8%,92.4%,99.7%,96.7,26.7%,82.7%,,
H1418,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,8.7,Not enough data available to calculate measure,71.2%,1.01,0.34,No data available,82.3%,78.6%,87.8%,97.6%,98.3,14.1%,85.3%,,
H1419,Aetna Medicare,"AETNA HEALTH,  INC.",0:35,0:31,64.0%,50.7,9.4,Not enough data available to calculate measure,Not enough data available to calculate measure,0.55,0.37,No data available,80.2%,76.2%,89.3%,98.6%,98.5,4.0%,85.2%,,
H1463,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,0:12,0:37,86.6%,84.7,0.0,No appeals required review,66.7%,0.08,0.08,No data available,91.1%,87.3%,94.7%,99.7%,97.1,27.3%,85.4%,,
H1468,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC",1:06,1:09,76.2%,67.9,20.7,No appeals required review,70.8%,0.09,0.05,No data available,83.2%,83.0%,90.7%,88.9%,98,25.7%,81.0%,,
H1509,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:37,0:38,64.8%,70.7,6.9,Not enough data available to calculate measure,98.6%,0.33,0.32,20,77.3%,82.3%,90.7%,99.2%,97.3,16.8%,82.5%,,
H1510,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,5.2,Not enough data available to calculate measure,61.4%,0.43,0.23,No data available,82.2%,83.2%,89.8%,99.8%,98.3,23.7%,84.2%,,
H1517,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",0:43,0:50,57.5%,43.1,14.2,No appeals required review,100.0%,0.74,1.34,No data available,74.9%,75.8%,87.1%,100.0%,Not enough data available to calculate measure,19.2%,81.9%,,
H1595,HealthPlus,HEALTHPLUS INSURANCE COMPANY,0:23,0:35,75.8%,20.1,Plan too new to be measured,No appeals required review,16.7%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,95.7%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H1607,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",0:42,0:53,57.5%,43.1,6.1,Not enough data available to calculate measure,81.8%,0.14,0.23,No data available,78.2%,79.2%,90.8%,99.9%,Not enough data available to calculate measure,20.9%,84.6%,,
H1608,Coventry Health Care,COVENTRY HEALTH AND LIFE INS COMPANY,0:31,0:41,69.2%,74.3,0.0,No appeals required review,95.8%,0.09,0.24,No data available,80.6%,81.4%,91.5%,99.6%,Not enough data available to calculate measure,18.1%,82.7%,,
