Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H0028,"CHA HMO, INC.",Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,96%,Not enough data available,Not enough data available,87%,68%,Not enough data available,91%,0:15,91%,62%,96%,0.62,Not enough data available,0.00%,No data available,No data available,0.45%,0:33,81.40%,6.7%,0.0%,99.10%,92%,100,0.62,4.8%,No Data Available
H0104,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,Local CCP,42%,99%,50%,86%,90%,75%,33%,89%,0:08,76%,67%,96%,0.13,22.1%,1.00%,66.67%,100.00%,1.00%,0:08,74.78%,9.4%,1.6%,99.40%,100%,100,0.13,6.1%,29.63%
H0108,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,Local CCP,41%,98%,Not enough data available,Not enough data available,89%,75%,Not enough data available,Not enough data available,0:45,89%,67%,93%,4.15,Not enough data available,0.52%,No data available,No data available,0.52%,0:45,87.13%,7.3%,1.0%,99.80%,100%,99,4.15,2.9%,No Data Available
H0117,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",Local CCP,50%,84%,44%,Not enough data available,92%,60%,33%,91%,0:41,81%,63%,93%,2.91,64.1%,0.83%,100.00%,No data available,0.83%,0:41,76.87%,6.3%,0.5%,99.70%,100%,99,2.91,6.6%,No Data Available
H0141,CARESOURCE MICHIGAN,CareSource Management Group Co.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:26,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,45.7%,0.00%,No data available,100.00%,0.00%,0:26,Plan not required to report measure,7.1%,0.0%,98.60%,100%,102,No data available,0.0%,No data available
H0150,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,Local CCP,38%,80%,48%,88%,93%,71%,43%,92%,0:04,89%,70%,96%,5.39,57.6%,0.21%,100.00%,No data available,0.21%,0:04,77.21%,9.5%,1.0%,99.60%,100%,99,5.39,28.6%,32.54%
H0151,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",Local CCP,49%,86%,47%,85%,92%,65%,32%,90%,0:24,86%,64%,94%,4.27,34.1%,0.42%,100.00%,No data available,0.42%,0:24,74.60%,9.7%,1.4%,99.90%,100%,99,4.27,0.5%,22.80%
H0154,"VIVA HEALTH, INC.",UAB Health System,Local CCP,27%,77%,52%,86%,93%,69%,41%,91%,0:17,88%,70%,96%,0.51,29.8%,0.00%,75.00%,100.00%,0.00%,0:17,86.83%,9.7%,1.4%,99.80%,100%,99,0.51,1.6%,33.33%
H0248,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,92%,75%,Not enough data available,92%,0:51,89%,70%,94%,1.39,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:51,87.31%,4.0%,0.8%,99.90%,100%,100,1.39,2.1%,No Data Available
H0251,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,65%,87%,47%,87%,91%,64%,32%,90%,0:28,Plan not required to report measure,57%,92%,3.78,24.7%,0.00%,58.33%,100.00%,0.00%,0:28,Plan not required to report measure,9.5%,1.7%,100.00%,100%,99,3.78,0.8%,31.43%
H0294,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.45%,0:33,81.40%,No data available,No data available,99.30%,92%,No data available,No data available,No data available,No data available
H0302,"BANNER MEDISUN, INC.",Banner Health,Local CCP,65%,88%,65%,89%,95%,88%,46%,89%,0:18,84%,76%,97%,0.46,100.0%,4.38%,No data available,100.00%,4.38%,0:18,74.82%,5.9%,1.6%,99.50%,100%,No Data Available,0.46,No data available,No Data Available
H0303,"PACIFICARE OF ARIZONA, INC","UnitedHealth Group, Inc.",Local CCP,71%,86%,59%,83%,91%,85%,39%,89%,0:30,86%,74%,95%,9.24,58.1%,0.90%,100.00%,50.00%,0.90%,0:30,74.60%,7.3%,1.1%,100.00%,100%,99,9.24,0.8%,19.59%
H0307,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,41%,98%,63%,87%,91%,78%,33%,89%,0:45,89%,72%,94%,2.40,Plan not required to report measure,0.52%,100.00%,No data available,0.52%,0:45,87.13%,5.8%,0.8%,99.90%,100%,99,2.40,3.5%,20.00%
H0316,"UNITEDHEALTHCARE OF ARIZONA,  INC.","UnitedHealth Group, Inc.",Local CCP,73%,86%,58%,87%,89%,80%,43%,90%,0:25,86%,75%,93%,6.37,14.8%,0.26%,100.00%,No data available,0.26%,0:25,74.60%,5.5%,1.2%,99.90%,100%,99,6.37,0.9%,38.46%
H0317,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,54%,98%,58%,95%,90%,82%,45%,88%,0:45,89%,72%,96%,2.71,Plan not required to report measure,0.52%,100.00%,No data available,0.52%,0:45,87.13%,6.5%,1.0%,99.80%,100%,99,2.71,3.3%,No Data Available
H0318,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,93%,Not enough data available,Not enough data available,93%,84%,Not enough data available,89%,0:23,90%,67%,96%,15.56,Plan not required to report measure,0.79%,No data available,No data available,0.79%,0:23,83.60%,4.9%,0.8%,99.90%,100%,99,15.56,No Data Available,No data available
H0319,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,Not enough data available,0:24,Plan not required to report measure,Not enough data available,99%,0.75,49.2%,0.00%,No data available,No data available,0.00%,0:24,Plan not required to report measure,13.6%,0.0%,99.90%,100%,No Data Available,0.75,0.0%,28.01%
H0320,"ARCADIAN HEALTH PLAN, INC.",Humana Inc.,Local CCP,Not enough data available,81%,59%,Not enough data available,91%,72%,25%,87%,0:52,86%,66%,92%,1.85,Plan not required to report measure,0.00%,No data available,100.00%,0.00%,0:52,72.14%,8.3%,0.7%,100.00%,100%,No Data Available,1.85,41.4%,No Data Available
H0321,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",Local CCP,52%,79%,40%,81%,91%,71%,33%,Not enough data available,0:26,Plan not required to report measure,58%,93%,2.86,45.7%,0.00%,0.00%,No data available,0.00%,0:26,Plan not required to report measure,7.5%,1.1%,100.00%,100%,99,2.86,0.8%,19.05%
H0332,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",Local CCP,62%,83%,69%,87%,95%,88%,53%,94%,0:25,87%,81%,98%,1.35,Plan not required to report measure,0.63%,100.00%,100.00%,0.63%,0:25,74.03%,5.8%,1.2%,99.70%,100%,100,1.35,No data available,66.67%
H0351,"HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",Local CCP,74%,91%,64%,91%,93%,81%,37%,90%,0:15,86%,75%,95%,1.37,35.2%,0.00%,100.00%,No data available,0.00%,0:15,77.19%,7.4%,1.2%,99.70%,100%,No Data Available,1.37,12.8%,24.69%
H0354,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Local CCP,57%,86%,52%,85%,96%,84%,33%,90%,0:41,87%,79%,96%,1.18,81.1%,2.00%,100.00%,100.00%,2.00%,0:41,84.49%,7.0%,1.3%,99.90%,100%,98,1.18,8.6%,29.60%
H0401,"UNITEDHEALTHCARE OF ARKANSAS, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,67%,Not enough data available,86%,68%,Not enough data available,90%,0:24,86%,67%,93%,7.40,Plan not required to report measure,0.21%,100.00%,100.00%,0.21%,0:24,74.60%,6.5%,1.6%,99.90%,100%,99,7.40,0.0%,28.57%
H0408,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:23,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,100.0%,0.00%,No data available,No data available,0.00%,0:23,Plan not required to report measure,No Data Available,No Data Available,100.00%,100%,No Data Available,No data available,No Data Available,47.83%
H0423,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Local CCP,55%,63%,51%,Not enough data available,91%,65%,45%,89%,0:53,79%,55%,95%,1.70,Data issues found,0.83%,No data available,No data available,0.83%,0:53,67.05%,3.2%,1.1%,99.80%,96%,99,1.70,0.8%,No Data Available
H0435,"GLOBALHEALTH,  INC.","The Oklahoma City Clinic, P.C.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,MOLINA HEALTHCARE OF OHIO,"Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:18,85%,Not enough data available,Plan too small to be measured,Not enough data available,Data issues found,1.67%,No data available,No data available,1.67%,0:18,76.16%,1.5%,0.0%,98.90%,100%,99,No data available,No Data Available,No data available
H0502,CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H0504,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Local CCP,29%,71%,50%,88%,90%,73%,26%,89%,0:32,87%,79%,92%,5.12,Plan not required to report measure,0.50%,100.00%,No data available,0.50%,0:32,70.03%,7.7%,1.3%,95.80%,100%,99,5.12,0.6%,12.23%
H0523,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Inc.,Local CCP,25%,93%,50%,86%,89%,70%,25%,89%,0:23,90%,74%,95%,6.30,Plan not required to report measure,0.79%,100.00%,100.00%,0.79%,0:23,83.60%,9.1%,1.2%,99.90%,100%,99,6.30,25.7%,16.88%
H0524,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,79%,82%,71%,92%,95%,79%,81%,92%,0:09,88%,84%,96%,4.23,Data issues found,0.38%,100.00%,80.00%,0.38%,0:09,90.49%,3.2%,1.7%,99.50%,96%,99,4.23,73.8%,19.45%
H0543,UNITEDHEALTHCARE OF CALIFORNIA,"UnitedHealth Group, Inc.",Local CCP,35%,86%,54%,86%,91%,73%,28%,92%,0:34,86%,77%,94%,7.03,63.7%,0.53%,100.00%,100.00%,0.53%,0:34,74.60%,7.5%,1.0%,99.90%,100%,99,7.03,0.9%,17.66%
H0544,CAREMORE HEALTH PLAN,"WellPoint, Inc.",Local CCP,45%,91%,52%,93%,95%,65%,43%,88%,0:13,86%,70%,97%,1.12,69.3%,0.78%,66.67%,No data available,0.78%,0:13,78.74%,7.5%,1.3%,99.10%,96%,100,1.12,2.0%,17.72%
H0545,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,Local CCP,6%,93%,51%,86%,90%,77%,29%,89%,0:06,90%,76%,96%,1.31,70.7%,0.00%,No data available,No data available,0.00%,0:07,81.23%,8.9%,1.3%,99.70%,96%,100,1.31,No data available,14.29%
H0562,HEALTH NET OF CALIFORNIA,"Health Net, Inc.",Local CCP,62%,91%,53%,90%,89%,74%,27%,90%,0:20,91%,74%,95%,1.54,15.6%,0.50%,88.89%,91.67%,0.50%,0:20,77.27%,7.4%,1.1%,99.70%,100%,No Data Available,1.54,10.6%,13.33%
H0564,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",Local CCP,33%,0 - Plan reported a Biased Rate,43%,88%,85%,64%,18%,88%,1:32,87%,71%,90%,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,1:32,62.77%,8.0%,1.1%,100.00%,100%,98,No data available,7.6%,17.78%
H0571,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Local CCP,Not enough data available,93%,36%,Not enough data available,88%,60%,17%,82%,0:03,88%,50%,96%,Not enough data available,Not enough data available,2.50%,No data available,No data available,2.50%,0:03,79.48%,4.9%,0.5%,99.60%,100%,98,No data available,No data available,3.03%
H0602,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",1876 Cost,73%,79%,58%,82%,78%,83%,35%,91%,Not enough data available,Not enough data available,78%,96%,8.65,Plan not required to report measure,Not enough data available,100.00%,100.00%,No data available,No data available,No data available,6.5%,2.0%,99.60%,100%,98,8.65,79.2%,23.38%
H0609,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",Local CCP,54%,86%,59%,80%,91%,81%,42%,89%,0:33,86%,80%,96%,6.74,Plan not required to report measure,0.60%,89.47%,100.00%,0.60%,0:33,74.60%,6.5%,1.1%,99.90%,100%,99,6.74,1.0%,19.69%
H0620,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,100%,62%,Not enough data available,Not enough data available,0:22,Plan not required to report measure,Not enough data available,99%,0.47,98.6%,0.00%,No data available,No data available,0.00%,0:22,Plan not required to report measure,12.1%,0.8%,99.90%,100%,103,0.47,0.0%,19.40%
H0621,COLORADO ACCESS,Colorado Access,Local CCP,84%,84%,47%,Not enough data available,90%,62%,33%,Not enough data available,0:12,88%,60%,92%,5.88,59.6%,0.00%,0.00%,No data available,0.00%,0:12,78.81%,5.7%,2.7%,99.90%,100%,100,5.88,15.8%,9.09%
H0623,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,98%,65%,77%,89%,78%,Not enough data available,91%,0:41,89%,70%,91%,1.36,Plan not required to report measure,0.45%,No data available,No data available,0.45%,0:41,87.13%,5.5%,1.4%,99.80%,100%,100,1.36,2.2%,11.11%
H0624,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,76%,86%,50%,Not enough data available,91%,58%,28%,87%,0:17,Plan not required to report measure,70%,92%,6.54,51.6%,0.00%,100.00%,No data available,0.00%,0:17,Plan not required to report measure,8.0%,2.9%,99.90%,100%,99,6.54,0.4%,No Data Available
H0630,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",Local CCP,88%,86%,80%,99%,95%,75%,63%,92%,0:05,88%,86%,96%,Not enough data available,Data issues found,0.50%,No data available,No data available,0.50%,0:05,90.49%,3.0%,0.7%,99.60%,96%,99,No data available,57.0%,24.32%
H0657,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,59%,Plan too small to be measured,93%,Not enough data available,Not enough data available,71%,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H0710,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,57%,Not enough data available,95%,54%,33%,Not enough data available,0:20,Plan not required to report measure,58%,96%,2.91,68.8%,0.00%,100.00%,No data available,0.00%,0:20,Plan not required to report measure,8.1%,1.1%,99.90%,100%,99,2.91,0.5%,24.59%
H0712,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",Local CCP,47%,85%,Not enough data available,Not enough data available,90%,64%,29%,90%,0:31,81%,55%,94%,2.38,53.5%,2.50%,No data available,No data available,2.50%,0:31,76.87%,3.1%,0.7%,99.80%,100%,99,2.38,7.0%,18.75%
H0752,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,91%,73%,31%,91%,0:15,86%,69%,94%,4.72,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:15,74.60%,5.9%,1.2%,100.00%,100%,99,4.72,0.0%,11.76%
H0755,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,71%,86%,45%,87%,91%,77%,39%,92%,0:22,86%,70%,96%,7.92,Plan not required to report measure,2.50%,90.91%,100.00%,2.50%,0:22,74.60%,5.8%,1.3%,100.00%,100%,99,7.92,0.9%,23.92%
H0838,"UNIVERSAL CARE, INC.","Universal Care, Inc",Local CCP,83%,90%,Not enough data available,Not enough data available,85%,Not enough data available,77%,Not enough data available,0:03,66%,42%,91%,4.55,Data issues found,0.00%,No data available,No data available,0.00%,0:03,67.81%,3.1%,1.1%,98.60%,100%,No Data Available,4.55,69.6%,No data available
H0879,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
