CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H0154,"VIVA HEALTH, INC.",UAB Health System,Local CCP,29%,77%,56%,90%,92%,68%,34%,91%,0:10,87%,69%,96%,0.71,CMS Found Issues with Plan’s Data,0.00%,69%,70%,28%,1%,75%,100.00%,0.00%,0:10,83%,9.8%,0.97%,99.90%,100%,100,0.71,11.8%,22.75%,82%,0:20,98,98%
H0192,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0248,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,95%,59%,Not enough data available,92%,73%,32%,91%,0:20,87%,67%,94%,0.61,Plan not required to report measure,2.17%,82%,82%,47%,4%,100%,No data available,2.17%,0:20,92%,4.2%,0.47%,99.60%,100%,101,0.61,9.2%,21.43%,Not enough data available,0:08,97,95%
H0251,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,63%,87%,46%,91%,93%,59%,30%,Not enough data available,0:16,Plan not required to report measure,57%,94%,CMS Found Issues with Plan’s Data,16.4%,0.50%,68%,82%,32%,2%,85%,100.00%,0.50%,0:16,Plan not required to report measure,9.5%,1.27%,100.00%,100%,99,CMS Found Issues with Plan's Data,1.1%,22.89%,Not enough data available,0:16,99,No data available
H0281,ILLINICARE HEALTH PLAN,Centene Corporation,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,98%,No data available,Not enough data available,No data available,0:22,84%,No data available,93%,No data available,Plan not required to report measure,0.83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%,No data available,0.41%,0:30,81%,11.9%,1.01%,99.50%,100%,99,No Data Available,2.0%,No data available,No data available,0:11,98,86%
H0302,"MEDISUN, INC.","Veritage, LLC",Local CCP,67%,91%,71%,90%,94%,91%,54%,88%,0:10,89%,78%,97%,0.29,Plan not required to report measure,0.63%,78%,80%,47%,0%,No data available,No data available,0.63%,0:10,83%,5.5%,0.79%,99.50%,96%,99,0.29,8.5%,No data available,Not enough data available,0:06,86,98%
H0303,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",Local CCP,77%,76%,63%,85%,92%,82%,40%,88%,0:16,83%,76%,94%,5.98,7.7%,0.72%,75%,82%,34%,1%,92%,75.00%,0.72%,0:16,82%,6.6%,1.04%,99.90%,100%,99,5.98,2.6%,24.28%,Not enough data available,0:16,97,98%
H0307,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,52%,95%,68%,83%,92%,77%,35%,Not enough data available,0:20,87%,71%,95%,2.13,Plan not required to report measure,1.38%,68%,77%,47%,2%,100%,No data available,1.38%,0:20,92%,6.5%,0.74%,99.90%,100%,100,2.13,14.0%,28.57%,Not enough data available,0:10,97,97%
H0316,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",Local CCP,69%,76%,58%,83%,90%,83%,35%,88%,0:15,83%,71%,93%,4.11,Plan not required to report measure,2.76%,70%,82%,42%,2%,100%,50.00%,2.76%,0:15,82%,5.6%,1.48%,100.00%,100%,100,4.11,2.8%,38.46%,Not enough data available,0:16,97,97%
H0317,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,62%,95%,64%,93%,91%,83%,34%,Not enough data available,0:20,87%,72%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,1.38%,78%,81%,42%,1%,No data available,No data available,1.38%,0:20,92%,7.2%,0.81%,99.60%,100%,101,CMS Found Issues with Plan's Data,13.4%,No data available,Not enough data available,0:10,97,96%
H0318,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,91%,84%,Not enough data available,90%,0:19,89%,67%,95%,3.42,Plan not required to report measure,0.47%,Not enough data available,Not enough data available,59%,8%,100%,No data available,0.47%,0:19,85%,4.7%,0.00%,99.90%,100%,99,3.42,43.2%,No data available,Not enough data available,0:09,98,99%
H0319,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,No data available,0:25,Plan not required to report measure,No data available,100%,0.23,95.8%,1.25%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.25%,0:25,Plan not required to report measure,12.4%,0.68%,99.90%,100%,No data available,0.23,0.0%,28.94%,No data available,0:16,100,No data available
H0320,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",Local CCP,Not enough data available,80%,52%,89%,92%,71%,25%,87%,0:23,87%,61%,93%,Plan not required to report measure,Plan not required to report measure,0.00%,80%,83%,40%,0%,No data available,No data available,0.00%,0:23,87%,6.9%,1.03%,100.00%,92%,99,No data available,No data available,No data available,Not enough data available,0:15,97,93%
H0321,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",Local CCP,63%,83%,51%,88%,91%,68%,33%,Not enough data available,0:24,Plan not required to report measure,63%,94%,CMS Found Issues with Plan’s Data,41.7%,1.05%,72%,86%,53%,5%,50%,100.00%,1.05%,0:24,Plan not required to report measure,7.1%,1.23%,100.00%,100%,100,CMS Found Issues with Plan's Data,2.0%,28.33%,Not enough data available,0:16,98,No data available
H0332,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",Local CCP,54%,92%,51%,91%,96%,87%,49%,92%,0:05,83%,81%,98%,1.08,Plan not required to report measure,0.00%,71%,80%,35%,3%,No data available,50.00%,0.00%,0:05,88%,6.5%,0.41%,99.80%,100%,100,1.08,CMS Found Issues with Plan's Data,35.71%,Not enough data available,0:06,97,98%
H0336,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,"HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",Local CCP,74%,85%,62%,93%,93%,83%,39%,89%,0:18,83%,75%,95%,2.10,22.2%,1.52%,73%,81%,38%,1%,80%,100.00%,1.52%,0:18,70%,7.0%,1.33%,99.80%,96%,99,2.10,29.2%,19.44%,83%,0:18,98,99%
H0354,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Local CCP,52%,82%,60%,89%,96%,85%,39%,90%,0:14,87%,77%,97%,1.13,40.8%,0.00%,54%,81%,28%,2%,100%,No data available,0.00%,0:14,85%,6.8%,0.16%,99.90%,100%,98,1.13,19.4%,25.20%,Not enough data available,0:09,99,97%
H0401,"UNITEDHEALTHCARE OF ARKANSAS, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,66%,Not enough data available,90%,71%,Not enough data available,92%,0:16,83%,70%,94%,4.03,Plan not required to report measure,2.66%,60%,70%,43%,2%,50%,100.00%,2.66%,0:16,82%,8.3%,1.22%,99.90%,100%,100,4.03,1.0%,13.64%,87%,0:16,98,98%
H0408,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:23,Plan not required to report measure,No data available,Not enough data available,No data available,100.0%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.00%,0:23,Plan not required to report measure,0.0%,0.00%,100.00%,100%,No data available,No Data Available,No data available,30.43%,No data available,0:16,No data available,No data available
H0423,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Local CCP,51%,65%,34%,Not enough data available,94%,66%,44%,Not enough data available,0:59,90%,53%,95%,CMS Found Issues with Plan’s Data,29.6%,0.00%,70%,92%,52%,6%,No data available,No data available,0.00%,0:59,62%,4.3%,0.78%,99.50%,100%,99,CMS Found Issues with Plan's Data,12.5%,No data available,Not enough data available,0:15,100,96%
H0435,"GLOBALHEALTH, INC.","The Oklahoma City Clinic, P.C.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
