CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,85.71%,100.00%,93.91%,7.58%,7.17%,1.63%,55.31%,100.00%,7.26%,58.24%,89.81%,52.06%,84.47%,5.41%,,,,,,,,,,
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",Not measured,Not measured,91.49%,0.49%,8.94%,1.54%,60.17%,100.00%,6.91%,4.26%,85.27%,46.72%,77.14%,35.77%,,,,,,,,,,
H0562,Health Net of California,HEALTH NET OF CALIFORNIA,90.91%,75.00%,90.14%,1.26%,7.81%,1.29%,61.29%,100.00%,14.44%,53.69%,82.21%,51.83%,85.18%,54.42%,,,,,,,,,,
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,100.00%,Not measured,80.82%,0.00%,7.56%,1.23%,57.98%,100.00%,17.50%,21.88%,86.96%,40.63%,68.42%,41.12%,,,,,,,,,,
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Not measured,Not measured,99.34%,0.00%,6.05%,0.61%,67.95%,100.00%,3.30%,Not enough data available to calculate measure,93.30%,Not enough data available to calculate measure,Not enough data available to calculate measure,48.18%,,,,,,,,,,
H0602,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,100.00%,100.00%,88.23%,Not measured,7.54%,2.17%,64.40%,100.00%,5.21%,50.00%,81.06%,61.08%,81.36%,36.98%,,,,,,,,,,
H0609,SecureHorizons by UnitedHealthcare,"PACIFICARE OF COLORADO, INC",16.67%,100.00%,91.78%,1.68%,7.74%,1.53%,62.35%,91.67%,8.31%,63.38%,85.29%,50.10%,78.37%,32.87%,,,,,,,,,,
H0620,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,95.01%,1.01%,10.79%,0.38%,72.81%,91.67%,4.42%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,20.99%,,,,,,,,,,
H0621,Colorado Access,COLORADO ACCESS,Not measured,Not measured,98.80%,0.00%,7.88%,1.57%,56.63%,100.00%,9.98%,78.57%,89.91%,54.55%,Not enough data available to calculate measure,42.09%,,,,,,,,,,
H0623,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,82.98%,1.62%,7.02%,1.91%,61.21%,100.00%,30.94%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,18.73%,,,,,,,,,,
H0624,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,91.69%,2.50%,8.65%,1.25%,54.01%,91.67%,21.22%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,31.79%,,,,,,,,,,
H0630,Kaiser Permanente Senior Advantage,KAISER FOUNDATION HP OF CO,Not measured,100.00%,89.68%,0.00%,3.09%,0.93%,73.70%,100.00%,2.48%,93.75%,75.92%,79.87%,90.29%,96.23%,,,,,,,,,,
H0657,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0710,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,94.57%,2.08%,7.85%,1.71%,55.41%,91.67%,41.48%,61.40%,85.29%,57.89%,78.79%,18.06%,,,,,,,,,,
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",Not measured,Not measured,98.68%,0.42%,3.84%,1.25%,47.73%,100.00%,27.15%,45.10%,88.25%,Not enough data available to calculate measure,Not enough data available to calculate measure,27.98%,,,,,,,,,,
H0747,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Not measured,Not measured,Not measured,Not measured,11.17%,1.62%,64.76%,100.00%,4.63%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H0752,SecureHorizons by UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.",100.00%,Not measured,95.17%,0.83%,5.28%,3.25%,63.01%,91.67%,12.46%,Not enough data available to calculate measure,84.16%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.63%,,,,,,,,,,
H0755,UnitedHealthcare,HEALTH NET OF CONNECTICUT,72.73%,77.78%,94.15%,0.00%,6.45%,1.61%,62.99%,100.00%,10.97%,86.30%,76.66%,56.51%,88.74%,41.05%,,,,,,,,,,
H0806,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (WYOMING)",Not measured,100.00%,Not measured,0.83%,10.09%,0.00%,47.72%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0838,Brand New Day,HMO CALIFORNIA,Not measured,0.00%,93.97%,0.83%,6.19%,2.36%,63.58%,100.00%,20.86%,80.00%,92.06%,Not enough data available to calculate measure,Not enough data available to calculate measure,76.25%,,,,,,,,,,
H0901,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,Not measured,0.00%,6.01%,0.00%,61.05%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0908,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Not measured,Not measured,91.24%,0.00%,9.88%,0.00%,37.82%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",Not measured,Not measured,98.98%,1.67%,3.78%,0.55%,37.48%,100.00%,33.14%,Not enough data available to calculate measure,90.80%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.13%,,,,,,,,,,
H0974,Blue Plus,HMO MINNESOTA D/B/A BLUE PLUS,Not measured,Not measured,Not measured,0.00%,11.05%,5.27%,68.36%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",66.67%,100.00%,87.32%,0.84%,7.03%,1.84%,55.57%,100.00%,20.70%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H1013,Coventry Health Plan of Florida,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Not measured,Not measured,85.37%,0.83%,7.50%,1.69%,50.87%,100.00%,17.54%,45.28%,71.48%,41.38%,93.33%,10.44%,,,,,,,,,,
H1016,AvMed Medicare,"AVMED, INC",100.00%,100.00%,99.80%,1.67%,8.48%,0.50%,53.60%,100.00%,9.41%,48.65%,76.06%,55.70%,88.10%,28.22%,,,,,,,,,,
H1019,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",75.00%,50.00%,97.36%,0.83%,6.67%,1.06%,51.35%,100.00%,18.15%,42.18%,97.42%,40.79%,90.57%,11.19%,,,,,,,,,,
H1026,"Health Options, Inc / Blue Cross Blue Shield of FL","HEALTH OPTIONS, INC",100.00%,Not measured,87.91%,0.83%,6.97%,1.47%,54.92%,100.00%,32.29%,58.82%,0 - Plan reported a Biased Rate,38.93%,73.44%,67.00%,,,,,,,,,,
H1032,WellCare,"WELL CARE OF FLORIDA, INC.",100.00%,Not measured,97.20%,0.84%,6.94%,1.60%,52.91%,100.00%,25.61%,51.71%,89.57%,39.48%,77.86%,44.77%,,,,,,,,,,
H1035,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",100.00%,100.00%,88.10%,0.00%,10.51%,1.01%,66.34%,100.00%,5.63%,77.50%,88.76%,48.95%,84.62%,74.94%,,,,,,,,,,
H1036,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC",96.15%,100.00%,90.96%,1.54%,6.33%,1.25%,55.34%,100.00%,10.73%,40.96%,97.42%,41.13%,87.98%,35.77%,,,,,,,,,,
H1045,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,88.89%,100.00%,98.28%,0.00%,8.31%,2.07%,54.95%,100.00%,12.98%,0 - Plan reported a Biased Rate,68.84%,42.08%,80.65%,15.33%,,,,,,,,,,
H1076,Coventry Health Care of Florida,"COVENTRY HEALTH CARE OF FLORIDA, INC",Not measured,Not measured,88.10%,1.67%,7.09%,2.15%,53.09%,100.00%,21.86%,38.89%,72.45%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.11%,,,,,,,,,,
H1080,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",100.00%,Not measured,89.05%,1.09%,6.77%,1.53%,56.18%,91.67%,11.56%,58.49%,85.29%,52.12%,78.35%,27.31%,,,,,,,,,,
H1099,Health First Medicare Plans,"HEALTH FIRST HEALTH PLANS, INC.",0.00%,100.00%,91.62%,1.67%,8.24%,2.36%,61.79%,100.00%,6.03%,89.47%,79.35%,53.57%,87.25%,65.94%,,,,,,,,,,
H1108,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,95.71%,2.08%,7.85%,1.54%,47.93%,91.67%,34.38%,53.95%,85.29%,47.06%,68.00%,28.94%,,,,,,,,,,
H1109,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),Not measured,100.00%,Not measured,0.00%,4.38%,1.38%,50.18%,100.00%,20.72%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,38.53%,,,,,,,,,,
H1110,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,100.00%,100.00%,Not measured,0.00%,8.95%,1.76%,56.69%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1111,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.",Not measured,Not measured,94.78%,1.09%,7.30%,2.06%,45.11%,91.67%,19.25%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,33.72%,,,,,,,,,,
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",Not measured,Not measured,98.72%,2.51%,5.97%,1.70%,47.36%,100.00%,22.21%,47.37%,90.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,33.58%,,,,,,,,,,
H1170,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP OF GA, INC.",Not measured,0.00%,83.08%,0.00%,4.50%,1.04%,62.56%,100.00%,13.20%,82.05%,82.00%,57.69%,50.82%,97.81%,,,,,,,,,,
H1200,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1216,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",Not measured,Not measured,98.03%,2.08%,4.25%,1.18%,46.52%,100.00%,32.61%,21.95%,90.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.75%,,,,,,,,,,
H1230,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",Not measured,Not measured,86.62%,1.67%,2.63%,0.85%,71.05%,100.00%,2.66%,Not enough data available to calculate measure,93.92%,57.99%,77.78%,87.46%,,,,,,,,,,
H1251,HMSA's 65C Plus,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Not measured,Not measured,78.92%,Not measured,6.02%,0.97%,61.06%,100.00%,5.36%,90.48%,76.30%,44.92%,81.16%,79.00%,,,,,,,,,,
H1254,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",,,,,,,,Not measured,1.30%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H1264,WellCare,"WELLCARE OF TEXAS, INC.",Not measured,Not measured,98.75%,1.25%,4.63%,2.33%,43.65%,100.00%,40.06%,59.72%,90.93%,22.58%,73.33%,37.96%,,,,,,,,,,
H1286,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,91.47%,0.79%,6.19%,1.53%,62.49%,91.67%,15.14%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,40.51%,,,,,,,,,,
H1302,Blue Cross of Idaho,BLUE CROSS OF IDAHO HLTH SERVICES INC,Not measured,Not measured,94.59%,0.83%,8.68%,0.00%,58.54%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1303,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,93.20%,1.31%,8.57%,2.41%,62.35%,91.67%,8.23%,44.44%,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,35.42%,,,,,,,,,,
H1304,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,100.00%,Not measured,94.07%,0.00%,9.77%,1.95%,63.82%,100.00%,31.76%,Not enough data available to calculate measure,72.25%,52.00%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,,,,,,,,,,
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Not measured,100.00%,93.51%,0.83%,8.75%,1.17%,62.63%,100.00%,5.68%,41.49%,72.52%,60.53%,86.21%,37.47%,,,,,,,,,,
H1355,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",Not measured,100.00%,87.50%,0.00%,0.00%,0.00%,69.23%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1364,Unison Advantage,"UNISON HEALTH PLAN OF OHIO, INC.",Not measured,Not measured,Not measured,1.67%,7.10%,4.46%,54.30%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1365,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",100.00%,Not measured,88.24%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1406,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,100.00%,89.27%,1.48%,5.94%,1.12%,57.01%,100.00%,6.41%,43.09%,97.42%,41.15%,79.69%,56.69%,,,,,,,,,,
H1415,"HealthSpring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",100.00%,100.00%,93.93%,0.83%,5.15%,1.30%,48.42%,100.00%,15.46%,31.25%,87.77%,26.67%,Not enough data available to calculate measure,1.91%,,,,,,,,,,
H1416,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",Not measured,Not measured,98.67%,0.84%,5.25%,1.84%,48.79%,100.00%,21.28%,31.16%,87.36%,32.14%,67.86%,55.72%,,,,,,,,,,
H1417,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Not measured,Not measured,85.52%,0.00%,10.21%,1.29%,66.76%,100.00%,8.20%,Not enough data available to calculate measure,80.73%,52.27%,Not enough data available to calculate measure,3.21%,,,,,,,,,,
H1418,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,92.03%,1.48%,6.56%,1.40%,58.58%,100.00%,19.17%,82.05%,97.42%,51.43%,Not enough data available to calculate measure,38.44%,,,,,,,,,,
