,,2.,Diabetes Medication Dosing,"This measure is defined as the percent of patients who were dispensed a dose higher than the daily recommended dose for the following diabetes treatment therapeutic categories of oral hypoglycemics: biguanides, sulfonlyureas and thiazolidinediones.

Numerator = Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a dose of an oral hypoglycemic higher than the daily recommended dose.

Denominator = Number of member-years of beneficiaries enrolled during the measurement period who were dispensed at least one prescription of an oral hypoglycemic.

This is calculated as: [(Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a dose of an oral hypoglycemic higher than the daily recommended dose) / (Number of member-years of beneficiaries enrolled during the measurement period who were dispensed at least one prescription of an oral hypoglycemic)]*100.",Lower is better,"January 1, 2009 to December 31, 2009",Data were obtained from PDE data files submitted by drug plans to Medicare for the reporting period. Please refer to Appendix 2: Medication List for Diabetes Medication Dosing (DMD) Measure for a comprehensive list of medications and their maximum dosage amounts used in this analysis from the PQA measure concept specifications.,None.
,,3.,Adherence - Proportion of Days Covered (PDC),"This measure is defined as the percent of beneficiaries who adhere to their prescribed drug therapy for five drug classes: biguanides, sulfonylureas, thiazolidinediones, angiotensin converting enzyme inhibitor (ACEI) or angiotensin receptor blocker (ARB), and cholesterol medications.

Numerator = Number of member-years of beneficiaries enrolled during the measurement period with a proportion of days covered (PDC) at 80 percent or over.

Denominator = Number of member-years of beneficiaries enrolled during the measurement period with at least two fills of either the same medication or medication in the same drug class of medications measured for adherence.

This is calculated as: [(Number of member-years of beneficiaries enrolled during the measurement period with a proportion of days covered (PDC) at 80 percent or over) / (Number of member-years of beneficiaries enrolled during the measurement period with at least two fills of either the same medication or medication in the same drug class of medications measured for adherence)]*100.
",Higher is better,"January 1, 2009 to December 31, 2009",Data were obtained from PDE data files submitted by drug plans to Medicare for the reporting period. Please refer to Appendix 3: Medication List for Adherence - Proportion of Days Covered (PDC) Measure for a comprehensive list of medications used in this analysis from the PQA measure specifications.,None.
,Plan Finder,1.,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website,"This measure is defined as percent of pricing data file submissions that do not result in suppression of pricing data on www.medicare.gov.  

Numerator = Number of pricing data file submissions that do not result in suppression of pricing data on www.medicare.gov

Denominator = Total Number of pricing data submissions

This is calculated as: [(Number  of pricing data file submissions that do not result in suppression of pricing data on www.medicare.gov) / (Total Number of pricing data submissions)]*100.",Higher is better,"Jnauary 1 to September 10, 2009",,None.
Part C,,1.,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge),"This measure is defined as the percent of discharges for MA enrollees hospitalized for mental illness during the measurement year, for which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge.

Numerator = Number of discharges for MA enrollees hospitalized for mental illness during the measurement year which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge.

Denominator = Number of discharges for MA enrollees hospitalized for mental illness during the measurement year.

This is calculated as: [Number of discharges for MA enrollees hospitalized for mental illness during the measurement year which at least one follow up visit with a mental health practitioner occurred within 30 days of discharge) / (Number of discharges for MA enrollees hospitalized for mental illness during the measurement year)]*100.",Higher is better,"January 1 to December 31, 2009",HEDIS,
,,2.,Call Answer Timeliness,"This measure is defined as the percentage of calls received by the organization’s Member Services call centers (during operating hours) during the measurement year that were answered by a live voice within 30 seconds.

Numerator = Number of calls answered by a live voice within 30 seconds.

Denominator = Number of calls received by member services (during hours of operation)

This is calculated as: [(number of calls answered by a live voice within 30 seconds) / (number of calls received by member services (during hours of operation))] * 100",Higher is better,"January 1 to December 31, 2009",HEDIS,
,,3.,Antidepressant Medication Management (6 months),"This measure is defined as the percentage of members 18 years of age and older who were diagnosed with a new episode of major depression, treated with antidepressant medication, and who remained on an antidepressant medication treatment.

Numerator = Number of members who remained on antidepressants for at least 180 days (6 months)

Denominator = Number of MA enrollees with a new diagnosis of depression.

This is calculated as:  [(Number of members who remained on antidepressants for at least 180 days) / (Number of MA enrollees with a new diagnosis of depression)] * 100",Higher is better,"January 1 to December 31, 2009",HEDIS,
,,4.,Continuous Beta Blocker Treatment,"This measure is defined as the percentage of members who were hospitalized and discharged alive from July 1 of the year prior to the measurement year to June 30 of the measurement year with a diagnosis of acute myocardial infarction and who received persistent beta-blocker treatment for six months after discharge.

Numerator = The eligible population.

Denominator = Number of members who received beta-blocker treatment for 180 days.

This is calculated as:  [(The eligible population) / (Number of members who received beta-blocker treatment for 180 days )] * 100",Higher is better,"January 1 to December 31, 2009",HEDIS,
,,5.,Adult BMI Assessment,"This measure is defined as the percentage of members 18–74 years of age who had an outpatient visit and who had their body mass index (BMI) documented during the measurement year or the year prior the measurement year.

Numerator = members 18–74 years of age who had an outpatient visit and who had their body mass index (BMI) documented during the measurement year or the year prior the measurement year.

Denominator = members 18–74 years of age who had an outpatient visit during the measurement year or the year prior the measurement year.

This is calculated as:  [(members 18–74 years of age who had an outpatient visit and who had their body mass index (BMI) documented during the measurement year or the year prior the measurement year) / (members 18–74 years of age who had an outpatient visit during the measurement year or the year prior the measurement year)] * 100",Higher is better,"January 1 to December 31, 2009",HEDIS,
Part C & D,,,Voluntary Disenrollment,"This measure is defined as the percentage of members that chose to leave the plan.  The data are from the Medicare enrollment system. The percent is calculated as the number of members who chose to leave the plan between January 1, 2009–December 31, 2009 divided by all members enrolled in the plan at any time during 2009.  

Numerator = number of members who chose to leave the plan.

Denominator = all members enrolled in the plan at any time during 2009.

This is calculated as:  [(number of members who chose to leave the plan) / (all members enrolled in the plan at any time during 2009)] * 100

",Lower is better,"January 1 to December 31, 2009",Medicare Beneficiary Database Suite of Systems,"Members who did not choose to leave the plan, such as members who moved out of the service area or those members affected by a service area reduction or reassignment are excluded from the numerator. Employer Group members are excluded from the data. The data for contracts with less than 1000 enrollees are not reported in this measure."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
