CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H0084,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",47%,87%,51%,86%,89%,68%,43%,90%,66%,95%,47.8%,69%,74%,31%,1%,58%,43%,35%,76%,Not enough data available,56%,61%,80%,100.00%,5.4%,0.75%,96%,99,12.4%,18.18%,No data available,98,0.0%,0.0%,35%,18%,97%,0.64,18,27,16,14,15,80
H0104,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,47%,94%,53%,95%,92%,78%,33%,91%,65%,97%,Plan not required to report measure,73%,72%,32%,1%,54%,36%,34%,74%,Not enough data available,41%,73%,36%,96.15%,7.2%,0.29%,100%,98,12.9%,23.33%,No data available,98,0.0%,0.0%,28%,13%,94%,0.32,7,7,39,6,5,80
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,90%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,38%,97%,46%,87%,89%,71%,22%,No data available,72%,93%,Plan not required to report measure,69%,84%,28%,1%,52%,40%,40%,75%,Not enough data available,45%,68%,100%,No data available,5.3%,0.70%,100%,98,19.2%,7.32%,No data available,98,0.0%,0.0%,44%,23%,97%,1.86,22,24,15,9,14,60
H0117,WellCare,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",41%,84%,35%,Not enough data available,91%,58%,26%,91%,64%,92%,CMS Found Issues with Plan’s Data,72%,76%,31%,1%,67%,60%,51%,89%,Not enough data available,60%,71%,67%,100.00%,5.8%,0.08%,96%,98,11.2%,25.00%,No data available,97,No data available,No data available,51%,49%,98%,6.20,24,32,11,13,18,20
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100
H0141,McLarenAdvantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Not enough data available,70%,Not enough data available,Not enough data available,85%,Not enough data available,Not enough data available,No data available,No data available,93%,39.4%,Not enough data available,Not enough data available,47%,3%,No data available,No data available,No data available,No data available,No data available,No data available,72%,No data available,No data available,13.4%,0.00%,96%,93,10.7%,No data available,No data available,99,No data available,0.0%,No data available,No data available,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,100
H0147,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,35%,83%,69%,96%,95%,73%,40%,92%,64%,97%,56.1%,68%,77%,31%,2%,65%,51%,48%,75%,Not enough data available,57%,81%,100%,No data available,7.6%,0.96%,92%,99,26.7%,22.05%,79%,99,6.7%,20.0%,51%,35%,97%,1.99,18,31,22,6,7,100
H0151,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",42%,86%,41%,89%,93%,67%,34%,No data available,59%,95%,17.8%,68%,74%,32%,1%,61%,54%,47%,74%,Not enough data available,53%,63%,100%,No data available,8.3%,1.03%,96%,98,14.2%,21.64%,No data available,98,0.0%,0.0%,52%,33%,97%,3.19,17,17,22,9,11,80
H0154,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,29%,73%,46%,87%,95%,72%,33%,91%,67%,96%,2.3%,69%,70%,35%,2%,59%,43%,39%,71%,91%,50%,73%,100%,100.00%,7.9%,0.74%,100%,97,34.4%,16.91%,84%,99,0.0%,0.0%,43%,34%,99%,0.57,14,16,18,8,10,100
H0192,Amerihealth VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,97%,53%,Not enough data available,94%,72%,20%,No data available,73%,95%,Plan not required to report measure,Not enough data available,Not enough data available,38%,5%,55%,55%,49%,84%,Not enough data available,69%,67%,No data available,No data available,3.9%,0.19%,100%,98,11.6%,No data available,No data available,98,No data available,0.0%,50%,30%,97%,1.14,11,15,31,8,8,80
H0251,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",65%,89%,42%,92%,93%,60%,33%,No data available,64%,95%,42.3%,70%,81%,29%,2%,61%,48%,48%,83%,Not enough data available,52%,58%,100%,No data available,8.2%,1.26%,96%,98,20.9%,18.00%,No data available,98,6.7%,20.0%,49%,34%,No data available,1.61,23,36,5,9,11,80
H0281,IlliniCare Health,ILLINICARE HEALTH PLAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Care Improvement Plus,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,87%,60%,Not enough data available,90%,76%,Not enough data available,90%,75%,96%,17.1%,80%,69%,44%,5%,67%,50%,42%,92%,Not enough data available,50%,Not enough data available,100%,No data available,5.4%,1.45%,96%,99,12.1%,No data available,77%,98,0.0%,0.0%,36%,19%,97%,0.60,20,15,31,12,17,80
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",43%,86%,59%,93%,98%,90%,52%,89%,80%,97%,Plan not required to report measure,77%,82%,35%,1%,58%,31%,33%,84%,93%,48%,82%,No data available,No data available,4.5%,0.90%,100%,98,14.3%,No data available,82%,98,No data available,6.7%,23%,10%,96%,0.16,10,17,38,9,8,80
H0303,UnitedHealthcare,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",63%,86%,53%,86%,92%,84%,38%,90%,79%,95%,No data available,76%,81%,37%,2%,63%,45%,37%,80%,Not enough data available,50%,71%,100%,100.00%,5.5%,1.22%,96%,98,18.1%,20.00%,No data available,97,6.7%,0.0%,48%,18%,97%,4.69,14,18,30,9,10,60
H0316,UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",47%,86%,51%,79%,89%,82%,35%,90%,72%,93%,Plan not required to report measure,70%,75%,34%,1%,63%,45%,39%,85%,Not enough data available,48%,70%,100%,No data available,5.1%,1.17%,96%,99,16.9%,18.52%,81%,97,0.0%,6.7%,42%,12%,97%,4.28,5,8,32,4,5,80
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,48%,97%,55%,88%,91%,81%,34%,No data available,73%,97%,Plan not required to report measure,68%,74%,34%,3%,60%,39%,38%,80%,Not enough data available,46%,69%,100%,No data available,6.5%,1.09%,100%,97,21.8%,No data available,82%,97,0.0%,0.0%,55%,19%,96%,1.83,13,16,44,6,10,80
H0318,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,89%,82%,Not enough data available,93%,83%,Not enough data available,89%,68%,96%,Plan not required to report measure,Not enough data available,Not enough data available,50%,7%,62%,48%,40%,76%,Not enough data available,50%,69%,No data available,No data available,5.0%,0.37%,100%,97,38.4%,No data available,No data available,98,No data available,0.0%,37%,16%,100%,3.35,12,18,31,7,7,80
H0319,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,Not enough data available,Not enough data available,97%,Not enough data available,Not enough data available,No data available,No data available,97%,95.3%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,30%,No data available,No data available,8.3%,0.75%,96%,No data available,0.0%,22.18%,No data available,100,No data available,0.0%,No data available,No data available,No data available,0.17,No data available,No data available,No data available,No data available,No data available,100
H0320,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",Not enough data available,85%,51%,Not enough data available,92%,75%,19%,No data available,68%,94%,Plan not required to report measure,73%,76%,29%,5%,57%,38%,35%,78%,Not enough data available,49%,61%,No data available,50.00%,5.9%,0.93%,96%,98,13.0%,No data available,No data available,96,No data available,0.0%,35%,31%,96%,6.33,13,11,34,12,16,20
H0321,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",67%,83%,48%,85%,91%,74%,30%,No data available,61%,95%,28.4%,71%,85%,43%,3%,63%,51%,50%,80%,Not enough data available,50%,63%,100%,100.00%,6.9%,1.49%,96%,98,15.7%,19.79%,No data available,97,0.0%,13.3%,49%,27%,No data available,0.75,10,9,7,0,8,80
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",60%,94%,44%,89%,96%,88%,54%,93%,83%,98%,Plan not required to report measure,74%,85%,26%,2%,80%,63%,51%,99%,97%,64%,85%,No data available,No data available,5.2%,0.21%,100%,100,81.0%,24.24%,86%,97,No data available,No data available,40%,24%,99%,CMS Found Issues with Plan's Data,13,29,23,5,8,100
H0336,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",34%,74%,51%,88%,94%,83%,39%,90%,75%,96%,53.0%,76%,83%,25%,1%,56%,45%,34%,80%,89%,50%,71%,100%,100.00%,6.0%,0.50%,100%,98,19.6%,18.64%,81%,97,0.0%,0.0%,38%,25%,98%,2.07,15,29,31,8,7,80
