Medicare Part C Display Measures,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Colorectal Cancer Screening - C01,Cardiovascular Care – Cholesterol Screening - C02,Diabetes Care – Cholesterol Screening - C03,Adult BMI Assessment - C08,Care for Older Adults – Medication Review - C10,Care for Older Adults – Functional Status Assessment - C11,Care for Older Adults – Pain Assessment - C12,Osteoporosis Management in Women who had a Fracture - C13,Diabetes Care – Eye Exam - C14,Diabetes Care – Kidney Disease Monitoring - C15,Diabetes Care – Blood Sugar Controlled - C16,Diabetes Care – Cholesterol Controlled - C17,Controlling Blood Pressure - C18,Rheumatoid Arthritis Management - C19,Plan All-Cause Readmissions - C22
H3144,"Coventry Health Care of Illinois, Inc.","COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,54%,Not enough data available,93%,98.53,Not enough data available,Not enough data available,Not enough data available,Not enough data available,73%,96%,90%,63%,75%,Not enough data available,2.88
H3283,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.90
H3503,Heart of America Health Plan,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Health Plan,75%,Not enough data available,Not enough data available,80.00,Not enough data available,Not enough data available,Not enough data available,Benefit not offered by plan ,Not enough data available,Not enough data available,Not enough data available,Not enough data available,71%,Benefit not offered by plan ,Not enough data available
H3533,"Humana Health Company of New York, Inc.","HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,53%,85%,84%,84.65,73%,86.67,83.33,Not enough data available,55%,86%,76%,53%,67%,Not enough data available,14.44
H3708,Universal American Corp.,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,90%,100.00,93.22,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,18.73
H3712,Preferred Medical Plan,"PREFERRED MEDICAL PLAN, INC.","Preferred Medical Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,79%,Not enough data available,Not enough data available
H4123,MercyCare Health Plans,"MERCYCARE HMO, INC.","Mercy Alliance, Inc.",76%,Not enough data available,92%,93.97,Not enough data available,Not enough data available,Not enough data available,Not enough data available,67%,97%,93%,66%,69%,Not enough data available,Plan not required to report measure
H4211,Amerigroup,"AMGP GEORGIA MANAGED CARE COMPANY, INC.","WellPoint, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,50%,Not enough data available,Not enough data available
H4227,"Vista Health Plan, Inc.","VISTA HEALTH PLAN, INC.",Independence Blue Cross,Not enough data available,Not enough data available,Not enough data available,Not enough data available,68%,57.97,55.07,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,64%,Not enough data available,Not enough data available
H4738,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",55%,Not enough data available,86%,90.30,Not enough data available,Not enough data available,Not enough data available,Not enough data available,60%,87%,72%,55%,59%,Not enough data available,11.86
H4871,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4910,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,66%,88%,92%,87.10,Not enough data available,Not enough data available,Not enough data available,Not enough data available,68%,90%,80%,64%,75%,Not enough data available,12.46
H5141,CarePoint Health Plans,CAREPOINT INSURANCE COMPANY,IJKG Opco LLC,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,39%,Not enough data available,Not enough data available
H5190,Sunshine Health,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",67%,Not enough data available,89%,99.01,96%,100.00,100.00,Not enough data available,79%,92%,80%,62%,81%,Not enough data available,10.09
H5209,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",74%,67%,78%,95.10,95%,100.00,98.98,Not enough data available,78%,89%,79%,56%,81%,Not enough data available,13.21
H5475,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",69%,91%,94%,94.49,89%,89.00,95.00,Not enough data available,80%,94%,84%,61%,83%,Not enough data available,16.03
H5685,HAP Midwest Advantage,"HAP MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,48%,69%,80%,82.68,67%,41.54,46.15,Not enough data available,67%,89%,57%,34%,62%,Not enough data available,7.73
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,73%,Not enough data available,91%,91.20,Not enough data available,Not enough data available,Not enough data available,Not enough data available,84%,86%,75%,60%,73%,Not enough data available,Not enough data available
H5750,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,53%,Not enough data available,83%,97.20,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,86%,65%,63%,66%,Not enough data available,Not enough data available
H5779,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5832,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,65%,Not enough data available,77%,90.20,Not enough data available,Not enough data available,Not enough data available,Not enough data available,65%,83%,73%,44%,65%,Not enough data available,12.48
H5852,AHF,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,62%,93%,90%,93.19,97%,89.13,96.74,Not enough data available,58%,87%,73%,52%,68%,Not enough data available,29.15
H5896,Amerigroup Community Care,"AMERIGROUP MARYLAND, INC.","WellPoint, Inc.",62%,Not enough data available,83%,83.56,68%,31.65,77.70,Not enough data available,64%,88%,65%,40%,54%,Not enough data available,10.31
H5943,VillageHealth,SCAN HEALTH PLAN,SCAN Health Plan,47%,72%,68%,56.74,31%,96.23,82.39,Not enough data available,75%,100%,9%,10%,Not enough data available,Not enough data available,10.76
H5950,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5989,"CenterLight Healthcare, Inc.","CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",76%,Not enough data available,91%,100.00,100%,100.00,100.00,Not enough data available,87%,80%,86%,70%,Not enough data available,Not enough data available,8.91
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",77%,Not enough data available,Not enough data available,100.00,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,87%,Not enough data available,10.81
H6132,"Select Health of South Carolina, Inc.","SELECT HEALTH OF SOUTH CAROLINA, INC.",Independence Blue Cross,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6864,GuildNet,"GUILDNET, INC.",Lighthouse Guild International,55%,Not enough data available,92%,84.21,61%,42.45,39.57,Not enough data available,65%,91%,58%,41%,56%,Not enough data available,14.77
H6881,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",64%,Not enough data available,Not enough data available,89.58,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,63%,Not enough data available,23.01
H6972,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,Not enough data available,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,39%,90%,57%,42%,44%,Not enough data available,Not enough data available
H7173,Peach State Health Plan,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7475,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",56%,Not enough data available,73%,89.33,93%,100.00,97.35,Not enough data available,79%,91%,73%,27%,92%,Not enough data available,14.89
H7971,Horizon Blue Cross Blue Shield of New Jersey,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",47%,Not enough data available,Not enough data available,3.13,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8064,FirstCarolinaCare Insurance Company,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",Not enough data available,Not enough data available,77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,53%,83%,57%,23%,58%,Not enough data available,Not enough data available
H8091,ARKANSAS BLUE CROSS AND BLUE SHIELD,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,30%,Not enough data available,79%,4.48,Not enough data available,Not enough data available,Not enough data available,Not enough data available,32%,81%,0%,0%,0 - Plan reported a Biased Rate,Not enough data available,4.57
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.","Molina Healthcare, Inc.,",56%,Not enough data available,89%,78.11,42%,37.72,54.39,Not enough data available,57%,91%,54%,33%,43%,Not enough data available,8.68
H8870,Molina Healthcare of Illinois,"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8908,"Humana Medical Plan of Michigan, Inc.","HUMANA MEDICAL PLAN OF MICHIGAN, INC.",Humana Inc.,Not enough data available,Not enough data available,96%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,59%,96%,78%,61%,56%,Not enough data available,Not enough data available
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare, Inc.,",61%,95%,85%,84.67,81%,45.83,91.67,Not enough data available,74%,94%,65%,47%,60%,Not enough data available,5.54
H9285,EASY CHOICE HEALTH PLAN OF NEW YORK,"ATLANTIS HEALTH PLAN, INC.","America's 1st Choice NY Holdings, LLC",30%,Not enough data available,71%,62.90,Not enough data available,Not enough data available,Not enough data available,Not enough data available,16%,79%,29%,17%,38%,Not enough data available,11.47
H9412,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,36%,Not enough data available,Not enough data available
H9525,Anthem Blue Cross and Blue Shield,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,"WellPoint, Inc.",Not enough data available,Not enough data available,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,61%,91%,86%,58%,78%,Not enough data available,Not enough data available
H9788,ActiveSaver MSA or BlueSaver MSA,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,51%,Not enough data available,62%,68.05,Not enough data available,Not enough data available,Not enough data available,Benefit not offered by plan ,43%,67%,52%,38%,44%,Benefit not offered by plan ,13.05
H9834,Gundersen Health Plan Minnesota,GUNDERSEN HEALTH PLAN OF MINNESOTA,Gundersen Lutheran Health System Inc.,88%,Not enough data available,92%,96.88,Not enough data available,Not enough data available,Not enough data available,Not enough data available,83%,100%,0%,56%,81%,Not enough data available,Not enough data available
H9915,"MedStar Family Choice, Inc","MEDSTAR FAMILY CHOICE, INC.","Medstar Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
